Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																			
Дата голосования: 02.12.2007																																																																			
																																																																			
Наименование Избирательной комиссии:    Пензенская																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
		Сумма	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022					
1	"Число избирателей, внесенных в списки избирателей"	41980	1442	665	132	1180	2985	285	156	1184	539	688	52	168	1614	110	1771	677	182	1919	1993	130	585	2239	488	1070	378	2480	1175	409	561	228	372	446	1057	402	1060	133	2783	552	45	148	1189	1186	471	325	717	151	401	170	344	401	110	437	117	180	321	115	307	94	228	233					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	36890	1263	500	118	1125	2559	231	140	1039	476	545	44	139	1400	110	1592	604	172	1665	1879	117	504	1989	420	867	308	2140	990	349	495	197	325	412	908	347	915	112	2413	452	49	129	1090	1052	409	318	623	138	373	160	290	352	103	406	106	164	300	104	275	95	290	203					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	24892	725	434	66	710	1957	180	94	594	270	360	18	84	993	77	1032	334	116	1313	1315	60	353	1009	355	583	241	1749	739	293	378	96	169	292	584	218	609	79	1370	354	31	85	654	644	253	220	366	110	231	108	234	231	65	299	90	148	215	73	195	84	178	175					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2975	141	29	26	17	11	25	5	116	24	73	22	40	93	15	111	54	24	54	49	35	23	185	27	83	18	91	95	0	39	47	46	23	90	30	80	0	110	0	0	31	124	156	107	28	84	16	82	40	56	56	26	40	0	0	41	25	33	7	50	22					
6	Число погашенных избирательных бюллетеней	9023	397	37	26	398	591	26	41	329	182	112	4	15	314	18	449	216	32	298	515	22	128	795	38	201	49	300	156	56	78	54	110	97	234	99	226	33	933	98	18	13	312	252	49	70	173	12	60	12	0	65	12	67	16	16	44	6	47	4	62	6					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2975	141	29	26	17	11	25	5	116	24	73	22	40	93	15	111	54	24	54	49	35	23	185	27	83	18	91	95	0	39	47	46	23	90	30	80	0	110	0	0	31	124	156	107	28	84	16	82	40	56	56	26	40	0	0	41	25	33	7	50	22					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	24890	725	434	66	710	1957	180	94	594	270	360	18	84	993	77	1031	334	116	1313	1315	60	353	1009	355	583	241	1749	739	293	378	96	169	292	584	218	609	79	1370	354	31	85	654	644	253	220	366	110	231	108	234	231	65	299	90	148	215	73	195	84	177	175					
9	Число недействительных избирательных бюллетеней	304	16	7	4	6	4	0	1	4	8	2	0	0	6	0	19	14	2	10	16	0	8	13	3	3	3	8	27	2	4	1	6	1	8	4	5	1	27	3	0	0	9	11	2	1	3	4	7	0	3	2	1	1	1	0	4	0	6	0	3	0					
10	Число действительных избирательных бюллетеней	27561	850	456	88	721	1964	205	98	706	286	431	40	124	1080	92	1123	374	138	1357	1348	95	368	1181	379	663	256	1832	807	291	413	142	209	314	666	244	684	78	1453	351	31	116	769	789	358	247	447	122	306	148	287	285	90	338	89	148	252	98	222	91	224	197					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	697	25	10	3	25	35	5	3	20	10	13	2	3	30	3	30	15	3	30	35	3	10	30	10	13	5	20	19	5	7	3	7	10	20	5	20	3	48	10	2	3	15	25	10	5	15	3	10	3	5	7	3	10	3	3	5	3	5	3	6	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	404	17	9	3	3	29	1	0	8	4	12	1	0	8	0	18	15	2	19	22	0	6	10	4	12	1	12	7	2	6	1	6	6	15	3	17	0	40	3	0	0	15	22	4	1	5	0	7	2	5	2	0	8	0	0	5	1	3	1	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	349	14	146	4	3	7	2	2	9	1	4	1	0	3	1	3	3	18	7	3	5	1	8	8	4	0	21	6	1	2	4	3	3	6	2	5	1	3	2	1	1	4	5	1	0	1	1	1	0	2	1	1	4	2	0	2	0	2	0	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	293	8	1	0	22	6	4	3	12	6	1	1	3	22	3	12	0	1	11	13	3	4	20	6	1	4	8	12	3	1	2	1	4	5	2	3	3	8	7	2	3	0	3	6	4	10	3	3	1	0	5	3	2	3	3	0	2	2	2	6	4					
