Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																											
Дата голосования: 04.12.2011																																																											
																																																											
Наименование Избирательной комиссии:    Пензенская																																																											
																																																											
Сводная таблица результатов выборов																																																											
																																																											
		Сумма	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982					
1	"Число избирателей, внесенных в список избирателей"	43009	1305	623	272	1944	2148	304	158	763	1226	583	665	139	1817	103	2016	648	163	534	178	2375	2020	658	121	2280	1241	1273	478	346	325	379	156	524	176	517	479	458	1119	403	2612	1278	432	604	228	382	386	405	307	227	1045	391	1049	2746					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	41146	1306	494	268	1901	1914	281	153	755	1236	589	669	137	1749	99	1947	638	152	524	171	2143	1850	661	114	1985	1240	1278	473	343	324	376	155	532	179	525	472	458	1119	392	2297	1280	422	579	218	376	387	403	317	224	1025	374	1117	2525					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	26291	899	439	162	922	1116	159	117	302	593	275	417	87	1252	70	1033	306	95	448	140	1440	1236	515	91	1381	776	761	346	271	235	221	97	353	127	306	384	335	824	210	1849	890	330	449	179	207	197	244	217	161	550	231	583	1463					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3667	96	55	76	74	48	23	9	102	135	29	84	14	194	12	192	53	27	19	29	79	156	56	5	236	124	178	55	23	48	48	53	94	28	111	28	37	55	22	88	75	10	46	34	47	94	81	31	33	93	44	141	143					
6	Число погашенных избирательных бюллетеней	11188	311	0	30	905	750	99	27	351	508	285	168	36	303	17	722	279	30	57	2	624	458	90	18	368	340	339	72	49	41	107	5	85	24	108	60	86	240	160	360	315	82	84	5	122	96	78	69	30	382	99	393	919					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3667	96	55	76	74	48	23	9	102	135	29	84	14	194	12	192	53	27	19	29	79	156	56	5	236	124	178	55	23	48	48	53	94	28	111	28	37	55	22	88	75	10	46	34	47	94	81	31	33	93	44	141	143					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	26287	898	439	162	922	1116	159	117	302	593	273	417	87	1252	70	1033	306	95	448	140	1440	1236	515	91	1381	776	761	346	271	235	221	97	353	127	306	384	335	824	209	1849	890	330	449	179	207	197	244	217	161	550	231	583	1463					
9	Число недействительных избирательных бюллетеней	1430	239	136	63	37	19	2	3	1	15	5	3	0	16	0	8	4	3	6	0	116	28	28	1	247	18	5	26	1	10	1	25	3	3	0	1	6	86	2	132	0	0	4	7	18	18	16	5	4	4	7	8	40					
10	Число действительных избирательных бюллетеней	28524	755	358	175	959	1145	180	123	403	713	297	498	101	1430	82	1217	355	119	461	169	1403	1364	543	95	1370	882	934	375	293	273	268	125	444	152	417	411	366	793	229	1805	965	340	491	206	236	273	309	243	190	639	268	716	1566					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	590	15	10	3	19	23	8	3	10	10	5	7	3	15	3	35	8	3	5	5	25	39	5	3	15	20	37	5	7	5	5	3	5	3	3	8	10	10	5	50	10	5	5	5	5	8	5	5	5	23	5	15	41					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	463	13	8	1	17	22	3	0	8	10	3	7	0	15	0	35	8	1	1	0	24	27	5	3	8	10	37	4	6	5	3	1	5	0	2	6	1	3	3	44	10	5	5	1	3	1	3	5	3	19	3	15	41					
