Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
Наименование Избирательной комиссии:    Чановская																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1209									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20099	846	1131	1044	756	980	356	290	635	918	118	256	617	107	214	168	183	458	212	79	113	286	239	231	144	181	316	95	135	312	369	69	627	276	885	181	110	365	565	66	275	142	103	427	844	380	342	122	86	607	350	136	247	123	421	188	254	119									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20160	850	1150	1050	770	950	350	280	650	880	110	250	620	100	200	160	180	450	215	70	110	450	235	225	140	170	300	90	130	300	370	70	600	260	875	180	300	360	560	60	270	140	100	425	840	375	335	120	80	600	340	130	240	120	430	180	255	110									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8324	284	453	379	284	417	111	87	279	312	77	146	202	53	78	111	103	239	87	39	50	262	153	110	79	89	150	54	72	138	111	38	198	121	316	90	99	107	176	40	103	77	59	161	307	123	189	46	45	198	135	71	118	60	209	91	100	38									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	778	20	40	27	10	13	24	4	13	42	0	12	40	3	1	0	0	20	13	3	2	24	11	13	7	11	13	3	4	13	20	5	12	11	34	6	11	8	80	0	26	0	5	14	27	4	24	11	0	6	0	5	3	2	18	4	55	1									
6	Число погашенных избирательных бюллетеней	11058	546	657	644	476	520	215	189	358	526	33	92	378	44	121	49	77	191	115	28	58	164	71	102	54	70	137	33	54	149	239	27	390	128	525	84	190	245	304	20	141	63	36	250	506	248	122	63	35	396	205	54	119	58	203	85	100	71									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	778	20	40	27	10	13	24	4	13	42	0	12	40	3	1	0	0	20	13	3	2	24	11	13	7	11	13	3	4	13	20	5	12	11	34	6	11	8	80	0	26	0	5	14	27	4	24	11	0	6	0	5	3	2	18	4	55	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8323	284	453	379	284	417	111	87	279	312	77	146	202	53	78	111	103	239	87	39	50	262	153	110	79	89	150	54	72	138	111	38	198	121	316	90	99	107	176	40	103	77	59	161	306	123	189	46	45	198	135	71	118	60	209	91	100	38									
9	Число недействительных избирательных бюллетеней	233	6	7	13	10	10	6	0	6	12	2	2	5	1	1	5	0	8	5	1	4	4	6	7	1	5	5	1	0	2	6	3	5	2	7	1	7	3	6	0	3	1	0	5	4	8	2	2	2	7	6	2	2	2	7	4	1	0									
10	Число действительных избирательных бюллетеней	8868	298	486	393	284	420	129	91	286	342	75	156	237	55	78	106	103	251	95	41	48	282	158	116	85	95	158	56	76	149	125	40	205	130	343	95	103	112	250	40	126	76	64	170	329	119	211	55	43	197	129	74	119	60	220	91	154	39									
