Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва												
Дата голосования: 18.09.2016												
												
Наименование Избирательной комиссии:    Староуткинская поселковая												
												
Сводная таблица итогов голосования по федеральному избирательному округу												
												
		Сумма	УИК №2602									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	2452	2452									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2400	2400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	991	991									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	54	54									
6	Число погашенных избирательных бюллетеней	1355	1355									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	54	54									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	990	990									
9	Число недействительных избирательных бюллетеней	26	26									
10	Число действительных избирательных бюллетеней	1018	1018									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	196	196									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	28	28									
14	Число погашенных неиспользованных открепительных удостоверений	196	196									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	4									
16	Число утраченных открепительных удостоверений	0	0									
17	Число утраченных избирательных бюллетеней	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0									
												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	10	10									
		0.96%	0.96%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	14	14									
		1.34%	1.34%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	23	23									
		2.20%	2.20%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	634	634									
		60.73%	60.73%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	8	8									
		0.77%	0.77%									
24	"6. Политическая партия ""Гражданская Платформа"""	3	3									
		0.29%	0.29%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	152	152									
		14.56%	14.56%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	5	5									
		0.48%	0.48%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	6	6									
		0.57%	0.57%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	2	2									
		0.19%	0.19%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	14	14									
		1.34%	1.34%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	104	104									
		9.96%	9.96%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	0	0									
		0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	43	43									
		4.12%	4.12%									
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
