Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																												
Дата голосования: 02.12.2007																																																												
																																																												
Наименование Избирательной комиссии:    Изобильненская																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471					
1	"Число избирателей, внесенных в списки избирателей"	75637	2002	2157	1708	1482	2360	706	1204	1788	1839	1730	1019	1988	1170	1800	2106	1745	1738	1706	1632	1570	1948	1246	1770	1315	2501	2003	1097	963	649	2464	2664	792	1530	2038	262	793	2569	1602	475	1649	606	1954	212	190	1008	757	1363	1555	1224	1832	393	358	405					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	68950	1700	2000	1500	1300	2000	600	1000	1500	1600	1500	1000	1800	1000	1600	2000	1500	1500	1600	1500	1500	1800	1200	1600	1200	2300	2000	1000	900	600	2300	2500	700	1500	2000	250	700	2400	1500	400	1500	500	1800	200	150	1000	700	1300	1500	1050	1700	350	300	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	43283	1044	1233	941	620	1496	377	614	992	1113	905	572	1069	609	962	1189	888	801	1215	1026	958	1185	776	1000	787	1852	1461	709	599	362	1366	1361	379	901	1183	189	339	1295	833	267	818	315	1288	154	114	676	469	843	819	660	937	225	208	289					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3276	71	75	32	228	40	19	34	40	28	45	36	96	40	50	36	26	91	22	34	34	21	22	32	19	55	44	61	54	30	114	111	68	69	103	24	57	85	63	35	100	50	79	4	7	75	88	170	121	119	130	70	71	48					
6	Число погашенных избирательных бюллетеней	22391	585	692	527	452	464	204	352	468	459	550	392	635	351	588	775	586	608	363	440	508	594	402	568	394	393	495	230	247	208	820	1028	253	530	714	37	304	1020	604	98	582	135	433	42	29	249	143	287	560	271	633	55	21	13					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3276	71	75	32	228	40	19	34	40	28	45	36	96	40	50	36	26	91	22	34	34	21	22	32	19	55	44	61	54	30	114	111	68	69	103	24	57	85	63	35	100	50	79	4	7	75	88	170	121	119	130	70	71	48					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	43273	1044	1233	941	620	1496	377	614	992	1113	905	572	1067	609	962	1189	888	801	1215	1025	958	1185	775	999	787	1852	1461	709	599	362	1365	1361	379	901	1183	189	339	1294	831	267	818	315	1288	154	114	675	469	843	819	660	937	225	208	289					
9	Число недействительных избирательных бюллетеней	475	10	11	6	18	9	3	8	12	13	8	7	11	5	14	20	9	13	34	11	10	12	7	3	13	19	19	8	3	9	11	14	9	7	10	2	5	10	12	1	3	2	5	1	0	4	6	9	18	7	11	0	2	1					
10	Число действительных избирательных бюллетеней	46074	1105	1297	967	830	1527	393	640	1020	1128	942	601	1152	644	998	1205	905	879	1203	1048	982	1194	790	1028	793	1888	1486	762	650	383	1468	1458	438	963	1276	211	391	1369	882	301	915	363	1362	157	121	746	551	1004	922	772	1056	295	277	336					
