Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																
Дата голосования: 04.12.2011																																
																																
Наименование Избирательной комиссии:    Атнинская																																
																																
Сводная таблица результатов выборов																																
																																
		Сумма	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020					
1	"Число избирателей, внесенных в список избирателей"	10614	2396	256	361	693	465	178	322	141	399	677	594	347	263	353	273	123	332	212	744	165	509	146	186	226	253					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10738	2449	257	365	695	465	179	326	142	405	682	600	352	268	356	277	125	334	215	749	169	512	148	188	225	255					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9966	2251	252	339	653	429	166	272	139	391	668	494	307	237	353	267	112	313	201	690	158	478	146	186	220	244					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	633	135	2	22	40	36	12	50	2	7	9	100	39	26	0	6	11	19	11	54	7	31	0	0	5	9					
6	Число погашенных избирательных бюллетеней	139	63	3	4	2	0	1	4	1	7	5	6	6	5	3	4	2	2	3	5	4	3	2	2	0	2					
7	Число избирательных бюллетеней в переносных ящиках для голосования	633	135	2	22	40	36	12	50	2	7	9	100	39	26	0	6	11	19	11	54	7	31	0	0	5	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9966	2251	252	339	653	429	166	272	139	391	668	494	307	237	353	267	112	313	201	690	158	478	146	186	220	244					
9	Число недействительных избирательных бюллетеней	32	9	0	9	0	3	1	0	0	0	0	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	10567	2377	254	352	693	462	177	322	141	398	677	586	346	261	353	273	123	332	212	744	165	509	146	186	225	253					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	196	46	5	5	12	8	4	6	3	8	12	10	6	5	6	5	3	6	4	14	3	8	3	4	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	69	46	2	0	3	3	1	1	0	4	0	3	2	0	1	0	0	0	1	0	1	0	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	45	20	1	2	4	5	2	1	1	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	127	0	3	5	9	5	3	5	3	4	12	7	4	5	5	5	3	6	3	14	2	8	3	4	5	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	63	31	2	1	4	0	0	1	0	0	2	1	4	0	2	2	0	1	0	7	1	2	0	0	0	2					
		0.59%	1.30%	0.79%	0.28%	0.58%	0.00%	0.00%	0.31%	0.00%	0.00%	0.30%	0.17%	1.16%	0.00%	0.57%	0.73%	0.00%	0.30%	0.00%	0.94%	0.61%	0.39%	0.00%	0.00%	0.00%	0.79%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	27	9	3	0	1	0	2	0	0	3	2	2	0	0	0	0	0	1	0	3	0	0	0	0	1	0					
		0.25%	0.38%	1.18%	0.00%	0.14%	0.00%	1.12%	0.00%	0.00%	0.75%	0.30%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	5	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
		0.05%	0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	107	29	5	2	3	5	0	1	0	6	8	2	4	3	7	1	2	0	1	10	3	10	3	0	0	2					
		1.01%	1.22%	1.97%	0.55%	0.43%	1.08%	0.00%	0.31%	0.00%	1.51%	1.18%	0.34%	1.16%	1.14%	1.98%	0.37%	1.63%	0.00%	0.47%	1.34%	1.82%	1.96%	2.05%	0.00%	0.00%	0.79%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	21	11	2	0	0	0	0	0	0	2	3	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0					
