Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва													
Дата голосования: 07.12.2003 0:00:00													
													
Наименование Избирательной комиссии:    Коммунарская городская													
													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)													
													
		Сумма	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441					
1	"Число избирателей, внесенных в списки"	14487	2713	2623	2249	2482	2492	1928					
2	"Число бюллетеней, полученных участковыми комиссиями"	14270	2650	2600	2200	2460	2460	1900					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5274	1099	997	857	840	888	593					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	74	32	9	5	7	8	13					
6	Число погашенных бюллетеней	8921	1519	1594	1338	1613	1564	1293					
7	Число бюллетеней в переносных ящиках для голосования	74	32	9	5	7	8	13					
8	Число бюллетеней в стационарных ящиках для голосования	5273	1099	996	857	840	888	593					
9	Число недействительных бюллетеней	52	9	9	17	5	8	4					
10	Число действительных бюллетеней	5295	1122	996	845	842	888	602					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	209	59	30	30	30	30	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	23	4	2	8	1	6	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	20	5	6	0	3	2	4					
14	Число погашенных открепительных удостоверений	186	55	28	22	29	24	28					
15	Число открепительных удостоверений выданных ТИК	7	0	1	0	0	6	0					
16	Число утраченных бюллетеней	1	0	0	0	0	0	1					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0					
													
18	"1. ""ЕДИНЕНИЕ"""	46	8	10	12	11	1	4					
		0.86%	0.70%	0.99%	1.39%	1.29%	0.11%	0.66%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	382	98	67	53	66	67	31					
		7.14%	8.66%	6.66%	6.14%	7.79%	7.47%	5.11%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	165	28	36	24	26	27	24					
		3.08%	2.47%	3.58%	2.78%	3.06%	3.01%	3.96%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	275	63	67	35	41	34	35					
		5.14%	5.57%	6.66%	4.06%	4.84%	3.79%	5.77%					
22	"5. ""За Русь Святую"""	59	14	7	10	10	9	9					
		1.10%	1.23%	0.69%	1.16%	1.18%	1.00%	1.48%					
23	"6. ""Объединенная Российская партия ""Русь"""	11	4	1	2	1	2	1					
		0.20%	0.35%	0.09%	0.23%	0.11%	0.22%	0.16%					
24	"7. ""Новый курс - Автомобильная Россия"""	38	5	3	6	4	12	8					
		0.71%	0.44%	0.29%	0.69%	0.47%	1.33%	1.32%					
25	"8. ""Народно-республиканская партия России"""	2	0	1	0	0	0	1					
		0.03%	0.0%	0.09%	0.0%	0.0%	0.0%	0.16%					
26	"9. ""Российская экологическая партия ""Зеленые"""	31	6	7	7	5	2	4					
		0.57%	0.53%	0.69%	0.81%	0.59%	0.22%	0.66%					
27	"10. ""Аграрная партия России"""	153	33	33	28	22	24	13					
		2.86%	2.91%	3.28%	3.24%	2.59%	2.67%	2.14%					
28	"11. ""Истинные патриоты России"""	2	0	0	0	1	1	0					
		0.03%	0.0%	0.0%	0.0%	0.11%	0.11%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	88	12	22	12	13	15	14					
		1.64%	1.06%	2.18%	1.39%	1.53%	1.67%	2.31%					
30	"13. ""Демократическая партия России"""	10	2	3	2	1	1	1					
		0.18%	0.17%	0.29%	0.23%	0.11%	0.11%	0.16%					
31	"14. ""Великая Россия - Евразийский Союз"""	5	1	1	1	0	2	0					
		0.09%	0.08%	0.09%	0.11%	0.0%	0.22%	0.0%					
32	"15. ""Партия СЛОН"""	13	7	2	0	1	2	1					
		0.24%	0.61%	0.19%	0.0%	0.11%	0.22%	0.16%					
33	"16. ""Родина"" (народно-патриотический союз)"""	574	122	95	88	88	108	73					
		10.73%	10.78%	9.45%	10.20%	10.38%	12.05%	12.04%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	4	1	0	1	1	0	1					
		0.07%	0.08%	0.0%	0.11%	0.11%	0.0%	0.16%					
35	"18. ""ЛДПР"""	615	115	113	101	120	115	51					
		11.50%	10.16%	11.24%	11.71%	14.16%	12.83%	8.41%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	199	36	26	32	31	44	30					
		3.72%	3.18%	2.58%	3.71%	3.65%	4.91%	4.95%					
37	"20. ""Политическая партия ""Единая Россия"""	1868	409	382	297	294	292	194					
		34.93%	36.16%	38.00%	34.45%	34.71%	32.58%	32.01%					
38	"21. ""Российская Конституционно-демократическая партия"""	8	4	0	3	0	0	1					
		0.14%	0.35%	0.0%	0.34%	0.0%	0.0%	0.16%					
39	"22. ""Развитие предпринимательства"""	36	7	6	8	7	5	3					
		0.67%	0.61%	0.59%	0.92%	0.82%	0.55%	0.49%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	436	89	65	63	55	81	83					
		8.15%	7.86%	6.46%	7.30%	6.49%	9.04%	13.69%					
													
41	Против всех	275	58	49	60	44	44	20					
		5.14%	5.12%	4.87%	6.96%	5.19%	4.91%	3.30%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
