Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																								
Дата голосования: 07.12.2003 0:00:00																								
																								
Наименование Избирательной комиссии:    Агульская																								
																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																								
																								
		Сумма	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716					
1	"Число избирателей, внесенных в списки"	5491	143	120	165	388	259	327	228	264	188	682	1214	397	244	352	290	45	185					
2	"Число бюллетеней, полученных участковыми комиссиями"	5461	143	117	165	385	259	327	250	264	186	682	1170	397	244	352	290	45	185					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4559	143	107	165	269	207	171	129	244	180	563	1118	376	239	170	248	45	185					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных бюллетеней	902	0	10	0	116	52	156	121	20	6	119	52	21	5	182	42	0	0					
7	Число бюллетеней в переносных ящиках для голосования	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	4559	143	107	165	269	207	171	129	244	180	563	1118	376	239	170	248	45	185					
9	Число недействительных бюллетеней	24	0	0	0	16	0	0	0	0	0	0	6	0	0	0	2	0	0					
10	Число действительных бюллетеней	4535	143	107	165	253	207	171	129	244	180	563	1112	376	239	170	246	45	185					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	6	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	6	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	4	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
18	"1. ""ЕДИНЕНИЕ"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	229	7	8	13	0	11	20	10	12	12	28	50	18	10	9	10	3	8					
		5.02%	4.89%	7.47%	7.87%	0.0%	5.31%	11.69%	7.75%	4.91%	6.66%	4.97%	4.47%	4.78%	4.18%	5.29%	4.03%	6.66%	4.32%					
