Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Менделеевская																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21773	216	424	331	334	983	525	541	1020	942	925	1054	953	975	1036	1012	1101	1043	292	847	1207	281	594	200	128	288	88	758	301	413	268	383	432	449	254	589	136	450									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21825	210	427	342	345	980	525	535	1020	940	930	1065	940	1000	1050	1000	1010	1060	295	870	1210	286	594	198	130	287	88	766	301	432	273	392	435	453	254	596	136	450									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20080	201	411	294	302	952	516	524	1008	913	872	1021	736	899	1005	993	500	1028	282	837	1179	244	512	198	127	277	78	732	299	313	261	361	408	401	245	578	125	448									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	674	5	9	36	30	16	9	11	3	20	31	23	11	57	10	5	6	5	7	3	4	34	78	0	0	10	10	13	2	100	4	22	24	44	9	10	11	2									
6	Число погашенных избирательных бюллетеней	1071	4	7	12	13	12	0	0	9	7	27	21	193	44	35	2	504	27	6	30	27	8	4	0	3	0	0	21	0	19	8	9	3	8	0	8	0	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	674	5	9	36	30	16	9	11	3	20	31	23	11	57	10	5	6	5	7	3	4	34	78	0	0	10	10	13	2	100	4	22	24	44	9	10	11	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20077	201	411	294	302	952	516	524	1008	913	872	1021	736	899	1005	992	498	1028	282	837	1179	244	512	198	127	277	78	732	299	313	261	361	408	401	245	578	125	448									
9	Число недействительных избирательных бюллетеней	35	0	0	0	0	3	0	0	0	0	5	0	10	0	0	1	13	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0									
10	Число действительных избирательных бюллетеней	20716	206	420	330	332	965	525	535	1011	933	898	1044	737	956	1015	996	491	1033	289	838	1183	278	590	198	127	287	88	745	301	413	265	383	432	445	254	587	136	450									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	550	8	10	10	10	24	13	13	25	23	23	26	23	25	26	25	25	26	10	22	30	7	14	5	5	7	5	18	7	10	7	10	11	11	6	14	5	11									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	286	3	4	10	1	15	5	6	14	8	20	26	5	12	26	16	7	22	5	19	14	3	2	3	2	2	0	1	1	10	1	3	2	2	2	14	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	168	2	3	0	5	6	1	6	0	0	9	6	5	0	4	10	13	0	4	5	6	3	11	4	2	4	2	26	5	1	3	0	3	4	6	3	4	2									
14	Число погашенных неиспользованных открепительных удостоверений	264	5	6	0	9	9	8	7	11	15	3	0	18	13	0	9	18	4	5	3	16	4	12	2	3	5	5	17	6	0	6	7	9	9	4	0	5	11									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	26	0	2	0	1	3	0	0	1	0	1	1	0	1	1	0	3	3	0	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	22	0	0	0	0	3	0	0	0	0	2	1	2	1	1	0	6	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0									
		0.11%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.22%	0.10%	0.27%	0.10%	0.10%	0.00%	1.19%	0.00%	0.00%	0.12%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	40	0	0	0	0	1	1	0	0	0	5	0	13	2	2	0	13	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0									
