Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																						
Дата голосования: 04.12.2011																																																						
																																																						
"Наименование Избирательной комиссии:    Бийск, Приобская"																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367					
1	"Число избирателей, внесенных в список избирателей"	90395	994	1043	1479	1613	957	1410	2235	2730	2514	1826	1796	2070	1654	1445	1623	1390	2087	1604	1458	2189	1449	1406	2490	2095	1943	1134	2516	2309	1646	2212	2095	2315	2668	2248	2093	1525	2422	1556	2431	2506	2871	2517	2589	1901	1643	1801	1897					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	88300	1000	1000	1400	1600	900	1400	2200	2700	2500	1700	1800	2000	1600	1400	1600	1300	2100	1600	1400	2200	1400	1300	2300	2100	1900	1100	2550	2200	1600	2100	2050	2300	2600	2200	2100	1500	2500	1500	2400	2500	2800	2500	2600	1800	1600	1600	1800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	43212	367	326	587	624	510	461	903	1109	1116	640	977	1098	669	847	882	746	955	777	642	842	789	722	1244	1006	922	665	1295	995	671	960	1162	1120	1169	1130	1238	822	1340	848	1337	1362	1163	1291	1264	869	807	1047	896					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2029	30	23	31	79	16	42	48	47	38	25	46	37	21	37	48	37	50	40	42	41	34	44	143	31	66	22	55	121	19	42	60	42	23	25	55	39	41	30	33	38	34	26	31	53	84	46	14					
6	Число погашенных избирательных бюллетеней	43054	602	651	782	897	374	897	1249	1544	1346	1035	777	865	910	516	670	517	1095	783	716	1317	577	534	913	1063	912	413	1200	1084	910	1098	828	1138	1408	1045	807	639	1119	622	1030	1100	1603	1183	1301	878	709	507	890					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2029	30	23	31	79	16	42	48	47	38	25	46	37	21	37	48	37	50	40	42	41	34	44	143	31	66	22	55	121	19	42	60	42	23	25	55	39	41	30	33	38	34	26	31	53	84	46	14					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	43209	367	326	587	624	510	461	903	1109	1116	640	977	1098	669	847	882	744	955	777	642	842	789	722	1244	1006	922	665	1295	995	671	960	1162	1119	1169	1130	1238	822	1340	848	1337	1362	1163	1291	1264	869	807	1047	896					
9	Число недействительных избирательных бюллетеней	712	5	10	5	9	4	15	6	24	24	12	13	10	15	8	2	20	9	19	10	15	19	18	8	10	12	8	21	16	15	15	22	17	24	31	16	17	21	13	17	26	22	22	13	20	23	18	13					
10	Число действительных избирательных бюллетеней	44526	392	339	613	694	522	488	945	1132	1130	653	1010	1125	675	876	928	761	996	798	674	868	804	748	1379	1027	976	679	1329	1100	675	987	1200	1144	1168	1124	1277	844	1360	865	1353	1374	1175	1295	1282	902	868	1075	897					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	990	15	15	15	15	15	15	25	25	30	18	15	20	20	27	20	15	20	20	15	25	15	15	30	20	20	17	25	25	20	23	20	25	25	25	25	25	25	15	28	25	25	25	32	20	15	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	759	11	6	8	9	11	7	11	25	27	18	15	20	7	27	17	12	20	13	5	20	12	15	27	14	10	16	24	12	12	23	16	19	18	15	21	23	23	12	26	18	21	23	32	7	6	14	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	526	12	7	11	5	6	6	13	9	8	12	6	12	9	11	15	12	12	11	9	9	11	14	8	11	21	12	17	12	9	14	24	14	17	16	11	14	8	12	12	17	11	12	16	3	4	3	8					
14	Число погашенных неиспользованных открепительных удостоверений	231	4	9	7	6	4	8	14	0	3	0	0	0	13	0	3	3	0	7	10	5	3	0	3	6	10	1	1	13	8	0	4	6	7	10	4	2	2	3	2	7	4	2	0	13	9	6	9					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	6989	54	49	84	80	63	70	90	169	135	100	160	163	66	134	95	143	155	123	106	128	135	118	242	159	176	106	198	179	113	146	190	185	166	197	272	176	293	168	241	249	196	195	168	113	149	123	169					
		15.45%	13.60%	14.04%	13.59%	11.38%	11.98%	13.92%	9.46%	14.62%	11.70%	15.04%	15.64%	14.36%	9.57%	15.16%	10.22%	18.31%	15.42%	15.06%	15.50%	14.50%	16.40%	15.40%	17.45%	15.33%	17.81%	15.43%	14.67%	16.04%	16.38%	14.57%	15.55%	15.93%	13.93%	17.06%	21.04%	20.44%	21.22%	19.13%	17.59%	17.79%	16.37%	14.81%	12.97%	12.26%	16.72%	11.25%	18.57%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	7586	83	71	105	120	90	87	120	230	251	125	164	151	139	145	47	125	165	139	82	148	130	129	199	169	123	101	238	197	135	198	193	208	240	214	210	126	197	116	324	211	232	229	214	191	141	166	168					
		16.77%	20.91%	20.34%	16.99%	17.07%	17.11%	17.30%	12.62%	19.90%	21.75%	18.80%	16.03%	13.30%	20.14%	16.40%	5.05%	16.01%	16.42%	17.01%	11.99%	16.76%	15.80%	16.84%	14.35%	16.30%	12.45%	14.70%	17.63%	17.65%	19.57%	19.76%	15.79%	17.92%	20.13%	18.53%	16.24%	14.63%	14.27%	13.21%	23.65%	15.07%	19.38%	17.39%	16.53%	20.72%	15.82%	15.19%	18.46%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	257	2	3	3	2	0	3	4	9	3	6	6	2	4	3	2	5	8	5	3	8	6	4	1	2	4	4	7	6	9	7	5	8	6	1	7	5	17	3	1	8	5	14	9	10	5	16	6					
		0.57%	0.50%	0.86%	0.49%	0.28%	0.00%	0.60%	0.42%	0.78%	0.26%	0.90%	0.59%	0.18%	0.58%	0.34%	0.22%	0.64%	0.80%	0.61%	0.44%	0.91%	0.73%	0.52%	0.07%	0.19%	0.40%	0.58%	0.52%	0.54%	1.30%	0.70%	0.41%	0.69%	0.50%	0.09%	0.54%	0.58%	1.23%	0.34%	0.07%	0.57%	0.42%	1.06%	0.69%	1.08%	0.56%	1.46%	0.66%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	11411	79	46	138	79	104	120	130	270	275	160	274	291	138	218	181	187	240	182	149	209	219	195	419	265	302	154	370	329	159	230	315	304	298	293	341	227	406	220	345	396	310	413	406	250	236	295	244					
		25.22%	19.90%	13.18%	22.33%	11.24%	19.77%	23.86%	13.67%	23.36%	23.83%	24.06%	26.78%	25.64%	20.00%	24.66%	19.46%	23.94%	23.88%	22.28%	21.78%	23.67%	26.61%	25.46%	30.21%	25.55%	30.57%	22.42%	27.41%	29.48%	23.04%	22.95%	25.78%	26.18%	25.00%	25.37%	26.37%	26.36%	29.40%	25.06%	25.18%	28.29%	25.90%	31.36%	31.35%	27.11%	26.49%	26.99%	26.81%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1479	6	4	7	8	1	8	15	36	33	14	50	38	24	31	5	31	49	25	14	18	34	31	39	22	48	15	53	35	23	26	45	40	64	61	74	42	73	40	36	42	27	65	34	28	16	16	33					
		3.27%	1.51%	1.15%	1.13%	1.14%	0.19%	1.59%	1.58%	3.11%	2.86%	2.11%	4.89%	3.35%	3.48%	3.51%	0.54%	3.97%	4.88%	3.06%	2.05%	2.04%	4.13%	4.05%	2.81%	2.12%	4.86%	2.18%	3.93%	3.14%	3.33%	2.59%	3.68%	3.45%	5.37%	5.28%	5.72%	4.88%	5.29%	4.56%	2.63%	3.00%	2.26%	4.94%	2.63%	3.04%	1.80%	1.46%	3.63%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	16612	167	166	274	403	262	200	583	412	430	244	350	480	302	345	596	264	376	320	316	352	276	268	474	408	316	299	451	353	235	378	442	394	388	347	363	263	365	312	404	463	401	369	448	309	320	453	271					
		36.72%	42.07%	47.56%	44.34%	57.33%	49.81%	39.76%	61.30%	35.64%	37.26%	36.69%	34.21%	42.29%	43.77%	39.03%	64.09%	33.80%	37.41%	39.17%	46.20%	39.86%	33.54%	34.99%	34.17%	39.34%	31.98%	43.52%	33.41%	31.63%	34.06%	37.72%	36.17%	33.94%	32.55%	30.04%	28.07%	30.55%	26.43%	35.54%	29.49%	33.07%	33.50%	28.02%	34.59%	33.51%	35.91%	41.45%	29.78%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	192	1	0	2	2	2	0	3	6	3	4	6	0	2	0	2	6	3	4	4	5	4	3	5	2	7	0	12	1	1	2	10	5	6	11	10	5	9	6	2	5	4	10	3	1	1	6	6					
		0.42%	0.25%	0.00%	0.32%	0.28%	0.38%	0.00%	0.32%	0.52%	0.26%	0.60%	0.59%	0.00%	0.29%	0.00%	0.22%	0.77%	0.30%	0.49%	0.58%	0.57%	0.49%	0.39%	0.36%	0.19%	0.71%	0.00%	0.89%	0.09%	0.14%	0.20%	0.82%	0.43%	0.50%	0.95%	0.77%	0.58%	0.65%	0.68%	0.15%	0.36%	0.33%	0.76%	0.23%	0.11%	0.11%	0.55%	0.66%					
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
