Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																										
Дата голосования: 07.12.2003 0:00:00																																										
																																										
Наименование Избирательной комиссии:    Киришская																																										
																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																										
																																										
		Сумма	УИК  522	УИК  523	УИК  524	УИК  525	УИК  526	УИК  527	УИК  528	УИК  529	УИК  530	УИК  531	УИК  532	УИК  533	УИК  534	УИК  535	УИК  536	УИК  537	УИК  538	УИК  539	УИК  540	УИК  541	УИК  542	УИК  543	УИК  544	УИК  545	УИК  546	УИК  547	УИК  548	УИК  549	УИК  550	УИК  551	УИК  552	УИК  553	УИК  554	УИК  555	УИК  556					
1	"Число избирателей, внесенных в списки"	55197	2619	2582	2604	2547	2399	2238	2400	2119	2370	2808	2583	2064	2597	2342	2583	2611	2560	2821	867	877	1361	316	149	198	217	143	1201	81	217	864	169	517	2088	749	336					
2	"Число бюллетеней, полученных участковыми комиссиями"	53050	2500	2500	2500	2500	2200	2100	2200	2000	2200	2600	2500	2000	2500	2200	2500	2500	2500	2600	880	884	1300	370	153	202	211	145	1200	152	203	906	161	567	2000	816	300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	26089	1316	1273	1335	1184	1062	1089	1209	1069	1132	1472	1290	1016	1251	1133	1172	1232	1331	1393	270	318	575	114	47	32	69	72	517	58	95	396	86	144	839	351	147					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1139	7	9	12	12	6	9	11	4	6	17	15	25	37	10	15	5	12	8	63	52	54	40	45	84	51	7	29	23	37	35	16	93	152	36	102					
6	Число погашенных бюллетеней	25822	1177	1218	1153	1304	1132	1002	980	927	1062	1111	1195	959	1212	1057	1313	1263	1157	1199	547	514	671	216	61	86	91	66	654	71	71	475	59	330	1009	429	51					
7	Число бюллетеней в переносных ящиках для голосования	1139	7	9	12	12	6	9	11	4	6	17	15	25	37	10	15	5	12	8	63	52	54	40	45	84	51	7	29	23	37	35	16	93	152	36	102					
8	Число бюллетеней в стационарных ящиках для голосования	26058	1316	1273	1333	1184	1059	1089	1209	1066	1126	1470	1290	1016	1251	1131	1172	1220	1330	1393	270	318	575	114	47	32	69	72	517	58	95	396	86	144	839	351	147					
9	Число недействительных бюллетеней	210	4	10	12	0	6	4	6	7	3	7	8	11	7	6	4	11	12	5	3	8	13	6	1	0	0	4	14	3	4	10	0	6	9	1	5					
10	Число действительных бюллетеней	26987	1319	1272	1333	1196	1059	1094	1214	1063	1129	1480	1297	1030	1281	1135	1183	1214	1330	1396	330	362	616	148	91	116	120	75	532	78	128	421	102	231	982	386	244					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	710	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	15	15	15	15	15	15	15	15	15	15	15	25	15	15	25	15	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	168	3	3	9	7	3	9	3	12	7	6	5	13	5	7	2	6	3	7	6	2	10	0	3	3	0	0	3	0	0	22	1	1	4	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	145	3	5	3	4	0	4	0	1	5	1	3	9	3	5	3	1	5	9	4	3	6	0	7	2	13	1	2	0	16	5	10	3	7	0	2					
14	Число погашенных открепительных удостоверений	542	22	22	16	18	22	16	22	13	18	19	20	12	20	18	23	19	22	18	9	13	5	15	12	12	15	15	12	15	15	3	14	14	21	12	0					
15	Число открепительных удостоверений выданных ТИК	4	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																										
18	"1. ""ЕДИНЕНИЕ"""	262	9	11	7	14	5	3	10	9	6	10	8	8	11	9	15	13	7	12	3	4	6	10	4	0	3	2	13	2	6	6	2	4	15	6	9					
		0.96%	0.68%	0.85%	0.52%	1.17%	0.46%	0.27%	0.81%	0.84%	0.53%	0.67%	0.61%	0.76%	0.85%	0.78%	1.26%	1.06%	0.52%	0.85%	0.90%	1.08%	0.95%	6.49%	4.34%	0.0%	2.5%	2.53%	2.38%	2.46%	4.54%	1.39%	1.96%	1.68%	1.51%	1.55%	3.61%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1248	82	49	67	47	54	50	65	55	58	93	59	48	45	52	59	59	53	59	15	14	32	21	1	1	4	4	19	1	3	21	2	9	26	12	9					
		4.58%	6.19%	3.82%	4.98%	3.92%	5.07%	4.55%	5.32%	5.14%	5.12%	6.25%	4.52%	4.61%	3.49%	4.55%	4.97%	4.81%	3.94%	4.21%	4.50%	3.78%	5.08%	13.63%	1.08%	0.86%	3.33%	5.06%	3.47%	1.23%	2.27%	4.87%	1.96%	3.79%	2.62%	3.10%	3.61%					
