Выборы Президента Российской Федерации																					
																					
Наименование Избирательной комиссии:    Балейская городская																					
																					
Итоги голосования 																					
																					
		Сумма	УИК  368	УИК  369	УИК  370	УИК  371	УИК  372	УИК  373	УИК  374	УИК  375	УИК  376	УИК  377	УИК  378	УИК  379	УИК  380	УИК  381					
1	"Число избирателей, внесенных в список"	10790	457	809	1300	921	1143	820	860	811	480	371	965	744	790	319					
2	Число полученных избирательных бюллетеней	11089	468	847	1326	905	1154	828	888	833	495	388	992	759	882	324					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5681	190	425	746	443	700	448	430	443	229	178	474	341	453	181					
5	"Число избирательных бюллетеней, выданных вне помещения"	585	40	64	60	46	50	13	22	46	21	31	96	25	47	24					
6	Число погашенных избирательных бюллетеней	4823	238	358	520	416	404	367	436	344	245	179	422	393	382	119					
7	Число избирательных бюллетеней в переносных ящиках	585	40	64	60	46	50	13	22	46	21	31	96	25	47	24					
8	Число бюллетеней в стационарных ящиках для голосования	5681	190	425	746	443	700	448	430	443	229	178	474	341	453	181					
9	Число недействительных избирательных бюллетеней	53	1	1	10	0	9	1	5	10	2	5	4	0	4	1					
10	Число действительных избирательных бюллетеней	6213	229	488	796	489	741	460	447	479	248	204	566	366	496	204					
11	Число полученных открепительных  удостоверений	96	6	6	6	6	9	20	6	6	6	6	6	6	5	2					
12	Число выданных открепительных удостоверений	36	1	6	6	1	2	7	2	2	2	1	2	1	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	28	0	0	7	0	3	5	3	2	3	1	0	4	0	0					
14	Число неиспользованных открепительных удостоверений	60	5	0	0	5	7	13	4	4	4	5	4	5	4	0					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	0	0	0	0	1	1	0	0	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																					
18	. Глазьев Сергей Юрьевич	181	9	14	19	14	28	11	17	12	9	6	19	6	12	5					
		2.89%	3.91%	2.86%	2.36%	2.86%	3.73%	2.39%	3.76%	2.45%	3.60%	2.87%	3.33%	1.64%	2.40%	2.44%					
19	. Малышкин Олег Александрович	139	10	12	10	17	13	11	7	9	7	5	12	10	14	2					
		2.22%	4.35%	2.45%	1.24%	3.48%	1.73%	2.39%	1.55%	1.84%	2.80%	2.39%	2.11%	2.73%	2.80%	0.98%					
20	. Миронов Сергей Михайлович	63	4	6	6	6	3	7	9	2	3	0	6	6	5	0					
		1.01%	1.74%	1.23%	0.74%	1.23%	0.40%	1.52%	1.99%	0.41%	1.20%	0.00%	1.05%	1.64%	1.00%	0.00%					
21	. Путин Владимир Владимирович	4610	159	388	602	329	565	351	332	360	170	167	425	260	328	174					
		73.57%	69.13%	79.35%	74.69%	67.28%	75.33%	76.14%	73.45%	73.62%	68.00%	79.90%	74.56%	71.04%	65.60%	84.88%					
22	. Хакамада Ирина Муцуовна	98	5	10	11	13	8	6	5	11	3	3	8	4	8	3					
		1.56%	2.17%	2.04%	1.36%	2.66%	1.07%	1.30%	1.11%	2.25%	1.20%	1.44%	1.40%	1.09%	1.60%	1.46%					
23	. Харитонов Николай Михайлович	1003	40	50	138	101	108	67	70	75	52	20	76	61	126	19					
		16.01%	17.39%	10.22%	17.12%	20.65%	14.40%	14.53%	15.49%	15.34%	20.80%	9.57%	13.33%	16.67%	25.20%	9.27%					
																					
24	Против всех	119	2	8	10	9	16	7	7	10	4	3	20	19	3	1					
		1.90%	0.87%	1.64%	1.24%	1.84%	2.13%	1.52%	1.55%	2.04%	1.60%	1.44%	3.51%	5.19%	0.60%	0.49%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
