Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Сампурская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11226	2015	362	1540	190	261	196	377	183	416	277	273	192	443	2955	244	479	584	239									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10800	2000	350	1500	180	250	180	370	170	400	240	270	180	400	2800	240	460	570	240									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5242	692	112	952	99	103	116	312	148	210	164	204	147	178	1170	103	189	245	98									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	941	148	57	142	26	32	21	48	17	55	36	28	16	64	116	12	29	68	26									
6	Число погашенных избирательных бюллетеней	4617	1160	181	406	55	115	43	10	5	135	40	38	17	158	1514	125	242	257	116									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	941	148	57	142	26	32	21	48	17	55	36	28	16	64	116	12	29	68	26									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5242	692	112	952	99	103	116	312	148	210	164	204	147	178	1170	103	189	245	98									
9	Число недействительных избирательных бюллетеней	135	38	2	12	1	3	1	5	1	5	6	5	0	12	14	4	16	3	7									
10	Число действительных избирательных бюллетеней	6048	802	167	1082	124	132	136	355	164	260	194	227	163	230	1272	111	202	310	117									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	150	16	7	8	5	7	5	7	5	7	6	6	5	7	30	6	7	9	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	58	13	0	8	1	0	0	0	2	0	0	2	0	2	25	1	1	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	67	6	1	5	2	3	5	3	2	5	2	5	2	4	9	4	4	1	4									
14	Число погашенных неиспользованных открепительных удостоверений	92	3	7	0	4	7	5	7	3	7	6	4	5	5	5	5	6	6	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	0	2	0	2	0	0	1	1	0	0	0	0	5	0	2	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	369	94	10	27	1	6	8	6	5	11	9	7	4	19	107	4	14	29	8									
