Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Селивановская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК  905	УИК  906	УИК  907	УИК  908	УИК  909	УИК  910	УИК  911	УИК  912	УИК  913	УИК  914	УИК  915	УИК  916	УИК  917	УИК  918	УИК  919	УИК  920	УИК  921	УИК  922	УИК  923	УИК  924	УИК  925	УИК  926	УИК  927	УИК  928					
1	"Число избирателей, внесенных в список"	17852	612	978	945	258	415	802	455	612	541	527	319	381	171	409	1103	87	211	372	441	2219	2276	2150	1447	121					
2	Число полученных избирательных бюллетеней	17366	600	950	920	250	400	800	450	600	520	520	300	380	174	400	1100	92	200	370	420	2200	2200	2000	1400	120					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8986	259	459	412	76	266	414	211	431	273	232	174	212	105	193	602	30	45	153	218	1018	1222	1176	688	117					
5	"Число избирательных бюллетеней, выданных вне помещения"	2043	118	93	137	103	67	71	95	50	52	72	56	62	23	83	184	33	118	110	102	153	63	63	135	0					
6	Число погашенных избирательных бюллетеней	6337	223	398	371	71	67	315	144	119	195	216	70	106	46	124	314	29	37	107	100	1029	915	761	577	3					
7	Число избирательных бюллетеней в переносных ящиках	2043	118	93	137	103	67	71	95	50	52	72	56	62	23	83	184	33	118	110	102	153	63	63	135	0					
8	Число бюллетеней в стационарных ящиках для голосования	8985	259	459	412	76	266	414	211	431	273	232	174	212	105	193	602	30	45	153	218	1017	1222	1176	688	117					
9	Число недействительных избирательных бюллетеней	95	3	5	4	1	0	6	4	2	4	4	3	2	1	0	5	0	3	4	4	10	11	7	12	0					
10	Число действительных избирательных бюллетеней	10933	374	547	545	178	333	479	302	479	321	300	227	272	127	276	781	63	160	259	316	1160	1274	1232	811	117					
11	Число полученных открепительных  удостоверений	285	5	10	10	5	5	10	10	5	10	10	5	10	10	5	10	5	5	5	5	40	40	40	25	0					
12	Число выданных открепительных удостоверений	134	2	0	4	0	1	8	1	2	3	4	1	4	2	1	6	0	1	4	2	26	30	24	8	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	121	0	20	5	1	4	3	0	2	1	0	2	1	1	1	7	1	3	0	1	4	2	3	10	49					
14	Число неиспользованных открепительных удостоверений	151	3	10	6	5	4	2	9	3	7	6	4	6	8	4	4	5	4	1	3	14	10	16	17	0					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
