Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																				
Дата голосования: 18.09.2016																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Тарская																																																																																				
																																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																				
																																																																																				
		Сумма	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	33437	1372	579	545	1304	107	1051	1146	1485	1117	1125	1161	1046	715	742	1045	1614	838	1247	1109	294	174	278	45	223	222	96	517	108	215	505	123	475	64	604	113	626	158	302	90	110	102	154	110	380	92	37	384	181	73	205	594	351	93	274	691	265	186	72	666	213	258	402	304	969	380	299	338	69	213	75	64	106	147									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30190	1200	500	500	1100	140	950	1000	1100	1000	1000	1000	1000	600	600	900	1100	800	900	900	300	180	270	50	250	200	100	500	100	200	500	120	460	60	600	110	600	150	300	90	100	100	150	100	350	100	45	400	250	75	200	550	350	90	260	650	300	180	70	650	200	250	400	300	950	350	340	300	75	250	80	65	110	120									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14813	360	146	186	468	92	389	378	495	399	408	522	489	214	202	338	523	304	424	414	191	145	251	41	109	97	75	280	64	103	311	79	254	38	344	83	283	89	163	47	65	70	74	32	161	66	32	253	171	65	148	320	166	47	169	361	157	121	63	331	109	113	249	124	446	203	193	224	55	160	63	64	70	70									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1548	44	3	15	37	15	25	43	34	35	37	39	27	13	9	12	13	27	65	50	34	0	5	0	29	34	3	19	6	11	22	5	17	2	41	10	14	12	19	4	2	0	0	4	55	9	2	19	10	0	29	30	20	16	22	61	56	28	0	23	12	12	38	10	72	31	62	30	5	24	0	0	36	0									
6	Число погашенных избирательных бюллетеней	13829	796	351	299	595	33	536	579	571	566	555	439	484	373	389	550	564	469	411	436	75	35	14	9	112	69	22	201	30	86	167	36	189	20	215	17	303	49	118	39	33	30	76	64	134	25	11	128	69	10	23	200	164	27	69	228	87	31	7	296	79	125	113	166	432	116	85	46	15	66	17	1	4	50									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1548	44	3	15	37	15	25	43	34	35	37	39	27	13	9	12	13	27	65	50	34	0	5	0	29	34	3	19	6	11	22	5	17	2	41	10	14	12	19	4	2	0	0	4	55	9	2	19	10	0	29	30	20	16	22	61	56	28	0	23	12	12	38	10	72	31	62	30	5	24	0	0	36	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14813	360	146	186	468	92	389	378	495	399	408	522	489	214	202	338	523	304	424	414	191	145	251	41	109	97	75	280	64	103	311	79	254	38	344	83	283	89	163	47	65	70	74	32	161	66	32	253	171	65	148	320	166	47	169	361	157	121	63	331	109	113	249	124	446	203	193	224	55	160	63	64	70	70									
9	Число недействительных избирательных бюллетеней	358	8	4	7	5	8	4	11	4	6	12	13	14	5	3	7	19	4	12	5	0	0	0	2	0	0	0	10	0	2	7	3	1	0	20	5	5	2	3	0	1	0	2	0	4	0	0	0	0	0	0	8	9	0	8	18	34	0	0	8	0	1	7	2	17	6	11	2	0	1	0	5	3	0									
10	Число действительных избирательных бюллетеней	16003	396	145	194	500	99	410	410	525	428	433	548	502	222	208	343	517	327	477	459	225	145	256	39	138	131	78	289	70	112	326	81	270	40	365	88	292	99	179	51	66	70	72	36	212	75	34	272	181	65	177	342	177	63	183	404	179	149	63	346	121	124	280	132	501	228	244	252	60	183	63	59	103	70									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	531	10	10	10	10	0	10	10	10	10	15	10	20	10	10	10	30	10	10	20	10	3	10	3	20	5	3	10	3	3	10	3	3	2	10	5	10	2	10	2	2	2	3	3	5	2	2	5	2	2	5	5	5	2	5	10	5	5	2	10	5	2	20	5	15	10	5	10	5	15	5	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	265	7	2	1	6	0	8	7	10	9	11	9	12	3	7	10	23	9	8	12	0	1	1	0	20	1	0	3	0	1	2	0	3	0	2	0	4	0	1	0	0	0	0	0	0	0	0	2	0	2	0	1	3	2	3	5	1	4	0	2	4	1	19	0	6	1	0	1	0	15	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	156	2	2	2	9	1	4	1	4	2	11	5	3	3	1	8	7	4	2	0	0	0	0	0	1	1	1	3	1	2	7	0	0	0	1	1	1	0	2	1	1	1	1	2	1	1	0	2	2	1	0	2	1	1	1	0	1	0	1	2	0	1	2	0	4	2	2	3	0	1	0	18	1	8									
14	Число погашенных неиспользованных открепительных удостоверений	266	3	8	9	4	0	2	3	0	1	4	1	8	7	3	0	7	1	2	8	10	2	9	3	0	4	3	7	3	2	8	3	0	2	8	5	6	2	9	2	2	2	3	3	5	2	2	3	2	0	5	4	2	0	2	5	4	1	2	8	1	1	1	5	9	9	5	9	5	0	5	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	0	0	0	0	0	0	1	0	2	0	3	3	0	0	0	1	1	1	2	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	155	4	0	0	1	0	0	5	7	2	8	5	7	3	0	2	4	3	3	7	2	0	3	0	2	5	1	4	3	0	3	0	1	0	3	1	3	0	4	1	1	0	0	0	0	0	0	7	0	1	1	4	3	0	0	1	13	1	1	2	0	0	4	1	3	3	4	0	0	1	0	5	0	2									
		0.95%	0.99%	0.00%	0.00%	0.20%	0.00%	0.00%	1.19%	1.32%	0.46%	1.80%	0.89%	1.36%	1.32%	0.00%	0.57%	0.75%	0.91%	0.61%	1.51%	0.89%	0.00%	1.17%	0.00%	1.45%	3.82%	1.28%	1.34%	4.29%	0.00%	0.90%	0.00%	0.37%	0.00%	0.78%	1.08%	1.01%	0.00%	2.20%	1.96%	1.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.57%	0.00%	1.54%	0.56%	1.14%	1.61%	0.00%	0.00%	0.24%	6.10%	0.67%	1.59%	0.56%	0.00%	0.00%	1.39%	0.75%	0.58%	1.28%	1.57%	0.00%	0.00%	0.54%	0.00%	7.81%	0.00%	2.86%									
