Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва									
Дата голосования: 04.12.2011									
									
Наименование Избирательной комиссии:    Кедровая поселковая									
									
Сводная таблица результатов выборов									
									
		Сумма	УИК №761	УИК №762					
1	"Число избирателей, внесенных в список избирателей"	3295	1637	1658					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2900	1400	1500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	1677	797	880					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	30	13	17					
6	Число погашенных избирательных бюллетеней	1193	590	603					
7	Число избирательных бюллетеней в переносных ящиках для голосования	30	13	17					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1677	797	880					
9	Число недействительных избирательных бюллетеней	52	31	21					
10	Число действительных избирательных бюллетеней	1655	779	876					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	99	50	49					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	47	16	31					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	21	15	6					
14	Число погашенных неиспользованных открепительных удостоверений	52	34	18					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	1					
16	Число утраченных открепительных удостоверений	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0					
									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	236	106	130					
		13.83%	13.09%	14.49%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	299	143	156					
		17.52%	17.65%	17.39%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	26	9	17					
		1.52%	1.11%	1.90%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	391	175	216					
		22.91%	21.60%	24.08%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	32	12	20					
		1.87%	1.48%	2.23%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	652	326	326					
		38.20%	40.25%	36.34%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	19	8	11					
		1.11%	0.99%	1.23%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
