Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Алексеевская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9476	507	856	572	474	872	421	240	295	191	137	159	623	236	93	117	351	265	493	295	91	250	191	224	351	210	370	407	185									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9875	526	894	589	493	900	445	250	310	200	138	168	664	247	97	122	357	278	532	296	93	259	196	232	367	211	388	421	202									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5768	323	510	357	306	524	288	130	221	106	96	136	385	142	40	61	213	141	275	186	55	125	82	99	224	115	245	263	120									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1148	34	71	97	35	41	42	31	18	10	16	16	67	40	8	37	78	47	77	22	6	58	23	70	36	34	68	31	35									
6	Число погашенных избирательных бюллетеней	2959	169	313	135	152	335	115	89	71	84	26	16	212	65	49	24	66	90	180	88	32	76	91	63	107	62	75	127	47									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1148	34	71	97	35	41	42	31	18	10	16	16	67	40	8	37	78	47	77	22	6	58	23	70	36	34	68	31	35									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5768	323	510	357	306	524	288	130	221	106	96	136	385	142	40	61	213	141	275	186	55	125	82	99	224	115	245	263	120									
9	Число недействительных избирательных бюллетеней	204	8	34	19	18	21	9	2	3	6	4	0	17	5	0	0	8	3	10	11	5	0	3	3	7	0	1	1	6									
10	Число действительных избирательных бюллетеней	6712	349	547	435	323	544	321	159	236	110	108	152	435	177	48	98	283	185	342	197	56	183	102	166	253	149	312	293	149									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	267	17	28	12	18	22	7	5	11	5	1	4	21	5	1	4	8	12	20	4	3	5	4	5	13	4	8	13	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	267	17	28	12	18	22	7	5	11	5	1	4	21	5	1	4	8	12	20	4	3	5	4	5	13	4	8	13	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	57	3	2	4	7	0	0	3	1	6	0	0	2	3	0	1	4	2	2	0	2	2	2	1	4	0	2	3	1									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	1	0	3	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	60	4	4	7	1	4	4	1	2	1	0	0	5	0	0	1	3	4	2	0	1	3	1	1	2	1	4	2	2									
		0.87%	1.12%	0.69%	1.54%	0.29%	0.71%	1.21%	0.62%	0.84%	0.86%	0.00%	0.00%	1.11%	0.00%	0.00%	1.02%	1.03%	2.13%	0.57%	0.00%	1.64%	1.64%	0.95%	0.59%	0.77%	0.67%	1.28%	0.68%	1.29%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	208	12	15	17	10	23	12	0	7	4	3	2	11	10	0	3	5	7	7	8	2	5	5	9	7	0	5	13	6									
		3.01%	3.36%	2.58%	3.74%	2.93%	4.07%	3.64%	0.00%	2.93%	3.45%	2.68%	1.32%	2.43%	5.49%	0.00%	3.06%	1.72%	3.72%	1.99%	3.85%	3.28%	2.73%	4.76%	5.33%	2.69%	0.00%	1.60%	4.42%	3.87%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	85	3	6	10	7	11	3	2	3	0	0	0	8	1	0	2	1	2	6	1	1	1	3	3	2	1	1	4	3									
		1.23%	0.84%	1.03%	2.20%	2.05%	1.95%	0.91%	1.24%	1.26%	0.00%	0.00%	0.00%	1.77%	0.55%	0.00%	2.04%	0.34%	1.06%	1.70%	0.48%	1.64%	0.55%	2.86%	1.78%	0.77%	0.67%	0.32%	1.36%	1.94%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3855	183	317	191	169	267	180	105	147	53	61	134	248	111	32	52	176	108	210	126	37	116	61	113	110	65	213	177	93									
		55.74%	51.26%	54.56%	42.07%	49.56%	47.26%	54.55%	65.22%	61.51%	45.69%	54.46%	88.16%	54.87%	60.99%	66.67%	53.06%	60.48%	57.45%	59.66%	60.58%	60.66%	63.39%	58.10%	66.86%	42.31%	43.62%	68.05%	60.20%	60.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	52	4	10	2	3	4	6	4	2	1	0	0	1	1	0	1	0	0	2	2	0	1	1	0	1	0	1	4	1									
		0.75%	1.12%	1.72%	0.44%	0.88%	0.71%	1.82%	2.48%	0.84%	0.86%	0.00%	0.00%	0.22%	0.55%	0.00%	1.02%	0.00%	0.00%	0.57%	0.96%	0.00%	0.55%	0.95%	0.00%	0.38%	0.00%	0.32%	1.36%	0.65%									
24	"6. Политическая партия ""Гражданская Платформа"""	24	0	4	0	0	3	0	1	0	0	1	2	1	1	1	0	1	0	2	1	0	2	0	1	3	0	0	0	0									
		0.35%	0.00%	0.69%	0.00%	0.00%	0.53%	0.00%	0.62%	0.00%	0.00%	0.89%	1.32%	0.22%	0.55%	2.08%	0.00%	0.34%	0.00%	0.57%	0.48%	0.00%	1.09%	0.00%	0.59%	1.15%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1165	78	91	92	64	118	49	26	41	29	29	8	80	32	11	18	47	31	55	29	9	25	12	17	50	20	45	35	24									
		16.84%	21.85%	15.66%	20.26%	18.77%	20.88%	14.85%	16.15%	17.15%	25.00%	25.89%	5.26%	17.70%	17.58%	22.92%	18.37%	16.15%	16.49%	15.63%	13.94%	14.75%	13.66%	11.43%	10.06%	19.23%	13.42%	14.38%	11.90%	15.48%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	26	4	0	3	1	1	3	2	0	1	0	0	3	0	0	0	2	1	0	0	0	1	0	3	0	1	0	0	0									
		0.38%	1.12%	0.00%	0.66%	0.29%	0.18%	0.91%	1.24%	0.00%	0.86%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.69%	0.53%	0.00%	0.00%	0.00%	0.55%	0.00%	1.78%	0.00%	0.67%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	36	4	2	8	3	3	0	0	1	0	1	0	0	1	0	1	2	0	2	1	0	4	0	0	1	1	0	1	0									
		0.52%	1.12%	0.34%	1.76%	0.88%	0.53%	0.00%	0.00%	0.42%	0.00%	0.89%	0.00%	0.00%	0.55%	0.00%	1.02%	0.69%	0.00%	0.57%	0.48%	0.00%	2.19%	0.00%	0.00%	0.38%	0.67%	0.00%	0.34%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	11	1	0	0	1	1	2	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0									
		0.16%	0.28%	0.00%	0.00%	0.29%	0.18%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.53%	0.28%	0.48%	0.00%	0.00%	0.00%	0.59%	0.38%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	39	3	2	2	2	4	3	0	3	0	0	0	6	1	0	1	1	0	0	1	0	0	2	0	0	0	3	5	0									
		0.56%	0.84%	0.34%	0.44%	0.59%	0.71%	0.91%	0.00%	1.26%	0.00%	0.00%	0.00%	1.33%	0.55%	0.00%	1.02%	0.34%	0.00%	0.00%	0.48%	0.00%	0.00%	1.90%	0.00%	0.00%	0.00%	0.96%	1.70%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	980	48	83	90	55	83	53	16	23	18	10	6	55	17	2	9	37	29	49	26	3	19	10	17	69	55	35	46	17									
		14.17%	13.45%	14.29%	19.82%	16.13%	14.69%	16.06%	9.94%	9.62%	15.52%	8.93%	3.95%	12.17%	9.34%	4.17%	9.18%	12.71%	15.43%	13.92%	12.50%	4.92%	10.38%	9.52%	10.06%	26.54%	36.91%	11.18%	15.65%	10.97%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	20	0	1	1	0	2	1	0	1	1	0	0	3	0	2	0	0	0	0	0	0	1	2	0	1	0	1	3	0									
		0.29%	0.00%	0.17%	0.22%	0.00%	0.35%	0.30%	0.00%	0.42%	0.86%	0.00%	0.00%	0.66%	0.00%	4.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	1.90%	0.00%	0.38%	0.00%	0.32%	1.02%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	151	5	12	12	7	20	5	2	6	2	3	0	13	2	0	10	8	2	6	1	3	5	5	1	6	5	4	3	3									
		2.18%	1.40%	2.07%	2.64%	2.05%	3.54%	1.52%	1.24%	2.51%	1.72%	2.68%	0.00%	2.88%	1.10%	0.00%	10.20%	2.75%	1.06%	1.70%	0.48%	4.92%	2.73%	4.76%	0.59%	2.31%	3.36%	1.28%	1.02%	1.94%									
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
