Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																						
Дата голосования: 04.12.2011																																																						
																																																						
"Наименование Избирательной комиссии:    Кемерово, Ленинская"																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303					
1	"Число избирателей, внесенных в список избирателей"	102395	1821	1948	1870	2832	2751	2540	2479	2120	2114	2641	2148	2838	2260	2764	2417	2431	2358	1861	2388	1345	1630	2051	2125	2643	1991	1976	2647	2069	2114	2147	2379	2670	2674	1364	2049	1989	2034	1816	2010	2152	2021	1934	1714	1702	2328	1984	2256					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	93100	1600	1800	1700	2600	2500	2300	2300	1900	1900	2400	2000	2600	2100	2600	2200	2200	2100	1700	1900	1200	1500	2000	1900	2200	1800	1800	2400	1900	1900	1900	2200	2500	2500	1200	1900	1800	1800	1700	1800	2000	1900	1800	1600	1600	2100	1800	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	66929	1262	1045	948	1491	1667	1359	1837	1639	1584	1582	1817	2176	1725	1847	1175	1285	1830	1346	1729	833	904	1363	1462	1227	1476	1428	1906	1671	1314	1180	1271	2011	1900	836	1169	1253	1671	1115	1342	1375	1611	1086	1180	784	1362	1329	1526					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2541	31	34	35	21	49	40	61	24	43	42	21	42	36	49	59	64	51	34	44	27	520	67	148	277	50	42	50	32	29	25	32	48	39	28	48	24	27	36	25	22	30	18	21	14	26	28	28					
6	Число погашенных избирательных бюллетеней	23630	307	721	717	1088	784	901	402	237	273	776	162	382	339	704	966	851	219	320	127	340	76	570	290	696	274	330	444	197	557	695	897	441	561	336	683	523	102	549	433	603	259	696	399	802	712	443	446					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2541	31	34	35	21	49	40	61	24	43	42	21	42	36	49	59	64	51	34	44	27	520	67	148	277	50	42	50	32	29	25	32	48	39	28	48	24	27	36	25	22	30	18	21	14	26	28	28					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	66725	1227	1045	945	1491	1657	1350	1822	1639	1582	1540	1817	2176	1725	1847	1175	1284	1830	1346	1729	818	904	1363	1462	1227	1476	1428	1906	1671	1309	1163	1271	2011	1900	824	1169	1253	1671	1115	1341	1353	1611	1086	1180	770	1362	1328	1526					
9	Число недействительных избирательных бюллетеней	977	13	10	19	24	24	40	14	19	18	18	0	28	17	13	43	16	31	17	16	21	17	11	13	19	21	10	26	35	25	0	108	30	75	11	27	17	20	15	12	13	13	20	0	8	7	13	10					
10	Число действительных избирательных бюллетеней	68289	1245	1069	961	1488	1682	1350	1869	1644	1607	1564	1838	2190	1744	1883	1191	1332	1850	1363	1757	824	1407	1419	1597	1485	1505	1460	1930	1668	1313	1188	1195	2029	1864	841	1190	1260	1678	1136	1354	1362	1628	1084	1201	776	1381	1343	1544					
