Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																					
Дата голосования: 02.12.2007																																																					
																																																					
"Наименование Избирательной комиссии:    Кемерово, Ленинская"																																																					
																																																					
Сводная таблица результатов выборов																																																					
																																																					
		Сумма	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291					
1	"Число избирателей, внесенных в списки избирателей"	104609	2236	2470	2705	2440	2727	2629	2090	2890	2115	2232	2420	2132	2289	1858	2682	2784	2335	2311	2287	1940	2285	2215	2292	2247	2214	2356	2284	2608	2157	2550	2126	2193	1748	1858	2076	2335	1847	1812	2155	2369	1982	1881	2537	2499	2027	2384					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	88150	1800	2000	2200	2500	2400	2200	1800	2400	1800	1800	2100	1800	1900	1600	2200	2100	1900	2000	1900	1700	1900	1900	1900	1800	1800	2000	1900	2100	1700	2100	1800	1900	1550	1500	1700	1900	1600	1600	2000	2200	1700	1600	2100	2100	1700	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	70757	1544	1563	1686	2419	1844	1555	1562	1851	1428	1333	1550	1424	1627	1363	1955	1965	1476	1445	1427	1133	1524	1448	1607	1390	1378	1483	1790	1957	1548	1787	1482	1676	1024	1182	1510	1716	1465	956	1560	1469	1368	1355	1656	1542	1253	1481					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2805	39	47	39	21	60	43	16	35	44	42	63	44	29	32	32	60	30	58	90	67	68	54	47	65	69	312	83	83	112	43	28	31	350	44	20	44	31	29	133	52	19	43	58	40	20	36					
6	Число погашенных избирательных бюллетеней	14588	217	390	475	60	496	602	222	514	328	425	487	332	244	205	213	75	394	497	383	500	308	398	246	345	353	205	27	60	40	270	290	193	176	274	170	140	104	615	307	679	313	202	386	518	427	483					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2804	39	46	39	21	60	43	16	35	44	42	63	44	29	32	32	60	30	58	90	67	68	54	47	65	69	312	83	83	112	43	28	31	350	44	20	44	31	29	133	52	19	43	58	40	20	36					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	70575	1544	1563	1680	2414	1841	1555	1562	1849	1428	1332	1546	1424	1627	1363	1923	1965	1476	1445	1427	1122	1524	1448	1596	1390	1376	1483	1790	1957	1548	1787	1482	1676	1024	1181	1458	1716	1435	954	1560	1467	1368	1355	1650	1542	1251	1471					
9	Число недействительных избирательных бюллетеней	587	14	22	25	30	15	0	0	16	13	13	17	21	32	14	8	7	11	9	9	8	13	10	9	0	12	18	0	20	0	15	10	48	11	47	12	3	8	5	5	8	0	6	7	16	11	9					
10	Число действительных избирательных бюллетеней	72792	1569	1587	1694	2405	1886	1598	1578	1868	1459	1361	1592	1447	1624	1381	1947	2018	1495	1494	1508	1181	1579	1492	1634	1455	1433	1777	1873	2020	1660	1815	1500	1659	1363	1178	1466	1757	1458	978	1688	1511	1387	1392	1701	1566	1260	1498					
