Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Мещовская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК  502	УИК  503	УИК  504	УИК  505	УИК  506	УИК  507	УИК  508	УИК  509	УИК  510	УИК  511	УИК  512	УИК  513	УИК  514	УИК  515	УИК  516	УИК  517	УИК  518	УИК  519	УИК  520	УИК  521	УИК  522					
1	"Число избирателей, внесенных в список"	9358	204	161	292	245	159	732	594	108	474	217	228	317	102	268	659	230	181	255	394	1606	1932					
2	Число полученных избирательных бюллетеней	9060	195	156	285	230	166	740	570	110	465	210	215	310	104	260	630	225	194	245	385	1530	1835					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4394	64	81	206	80	34	358	310	59	179	149	87	86	71	126	282	95	41	97	174	840	975					
5	"Число избирательных бюллетеней, выданных вне помещения"	1779	79	40	46	104	96	169	103	32	182	15	86	114	16	50	176	91	81	105	83	70	41					
6	Число погашенных избирательных бюллетеней	2887	52	35	33	46	36	213	157	19	104	46	42	110	17	84	172	39	72	43	128	620	819					
7	Число избирательных бюллетеней в переносных ящиках	1779	79	40	46	104	96	169	103	32	182	15	86	114	16	50	176	91	81	105	83	70	41					
8	Число бюллетеней в стационарных ящиках для голосования	4393	64	81	206	80	34	358	310	59	179	149	87	86	71	126	282	95	41	97	174	839	975					
9	Число недействительных избирательных бюллетеней	34	0	0	1	0	1	3	1	0	3	1	5	1	0	0	1	0	0	4	1	4	8					
10	Число действительных избирательных бюллетеней	6138	143	121	251	184	129	524	412	91	358	163	168	199	87	176	457	186	122	198	256	905	1008					
11	Число полученных открепительных  удостоверений	107	2	2	13	2	2	5	4	1	5	4	2	4	1	3	8	2	3	3	5	19	17					
12	Число выданных открепительных удостоверений	83	2	2	13	0	0	5	2	1	1	3	2	2	0	3	8	1	3	2	5	15	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	48	0	1	3	1	1	4	1	1	2	4	4	1	0	0	2	0	1	4	1	9	8					
14	Число неиспользованных открепительных удостоверений	24	0	0	0	2	2	0	2	0	4	1	0	2	1	0	0	1	0	1	0	4	4					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	134	0	7	5	6	0	7	9	7	9	1	9	2	0	1	3	4	1	4	4	29	26					
		2.17%	0.00%	5.79%	1.98%	3.26%	0.00%	1.33%	2.18%	7.69%	2.49%	0.61%	5.20%	1.00%	0.00%	0.57%	0.66%	2.15%	0.82%	1.98%	1.56%	3.19%	2.56%					
19	. Малышкин Олег Александрович	120	0	5	3	2	2	10	12	1	8	1	7	4	2	3	1	4	1	7	5	20	22					
		1.94%	0.00%	4.13%	1.19%	1.09%	1.54%	1.90%	2.91%	1.10%	2.22%	0.61%	4.05%	2.00%	2.30%	1.70%	0.22%	2.15%	0.82%	3.47%	1.95%	2.20%	2.17%					
20	. Миронов Сергей Михайлович	40	2	0	4	0	0	3	1	0	1	1	1	2	2	2	2	2	1	1	2	6	7					
		0.65%	1.40%	0.00%	1.59%	0.00%	0.00%	0.57%	0.24%	0.00%	0.28%	0.61%	0.58%	1.00%	2.30%	1.14%	0.44%	1.08%	0.82%	0.50%	0.78%	0.66%	0.69%					
21	. Путин Владимир Владимирович	4737	126	98	201	155	112	410	303	57	306	139	123	122	73	151	359	140	101	155	195	700	711					
		76.75%	88.11%	80.99%	79.76%	84.24%	86.15%	77.80%	73.37%	62.64%	84.76%	84.76%	71.10%	61.00%	83.91%	85.80%	78.38%	75.27%	82.79%	76.73%	75.88%	77.01%	69.98%					
22	. Хакамада Ирина Муцуовна	92	1	1	2	3	2	6	8	2	3	1	2	6	0	1	5	4	1	5	5	16	18					
		1.49%	0.70%	0.83%	0.79%	1.63%	1.54%	1.14%	1.94%	2.20%	0.83%	0.61%	1.16%	3.00%	0.00%	0.57%	1.09%	2.15%	0.82%	2.48%	1.95%	1.76%	1.77%					
23	. Харитонов Николай Михайлович	917	11	4	32	18	13	80	72	22	29	16	22	62	4	16	86	30	15	21	41	123	200					
		14.86%	7.69%	3.31%	12.70%	9.78%	10.00%	15.18%	17.43%	24.18%	8.03%	9.76%	12.72%	31.00%	4.60%	9.09%	18.78%	16.13%	12.30%	10.40%	15.95%	13.53%	19.69%					
																												
24	Против всех	98	3	6	4	0	0	8	7	2	2	4	4	1	6	2	1	2	2	5	4	11	24					
		1.59%	2.10%	4.96%	1.59%	0.00%	0.00%	1.52%	1.69%	2.20%	0.55%	2.44%	2.31%	0.50%	6.90%	1.14%	0.22%	1.08%	1.64%	2.48%	1.56%	1.21%	2.36%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
