Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																												
Дата голосования: 07.12.2003 0:00:00																																												
																																												
"Наименование Избирательной комиссии:    Ярославль, Ленинская"																																												
																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																												
																																												
		Сумма	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193					
1	"Число избирателей, внесенных в списки"	57877	2315	1919	1739	2053	2476	2216	2103	2510	2358	2049	2162	2211	2104	2181	2209	2182	2203	2008	1970	1773	1755	1801	1947	1918	2429	2123	2252	102	226	24	30	64	42	26	135	178	84					
2	"Число бюллетеней, полученных участковыми комиссиями"	54410	2250	1710	1650	1950	2310	2020	1910	2300	2160	1870	1990	2200	1910	1990	2000	2000	2040	1840	1800	1630	1580	1650	1820	1740	2280	2020	2105	220	200	150	150	150	65	200	200	200	150					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	32965	1023	1102	957	990	1503	1376	1398	1579	1346	1344	1295	1160	1300	1246	1257	1271	1224	1193	1249	1097	1017	1058	1057	997	1368	1041	1038	97	16	22	2	40	27	23	83	85	84					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1649	18	27	36	38	80	91	61	56	83	61	47	60	51	80	78	74	49	53	57	40	52	41	37	33	15	53	33	5	60	0	28	8	15	3	44	82	0					
6	Число погашенных бюллетеней	19775	1209	581	657	922	727	553	451	665	731	465	648	980	559	664	665	655	767	594	494	493	511	551	726	710	897	926	1013	118	124	128	120	102	23	174	73	33	66					
7	Число бюллетеней в переносных ящиках для голосования	1649	18	27	36	38	80	91	61	56	83	61	47	60	51	80	78	74	49	53	57	40	52	41	37	33	15	53	33	5	60	0	28	8	15	3	44	82	0					
8	Число бюллетеней в стационарных ящиках для голосования	32938	1023	1102	957	973	1501	1376	1398	1578	1346	1343	1288	1160	1295	1246	1257	1271	1223	1191	1246	1097	1017	1058	1055	997	1368	1039	1055	97	16	21	2	40	27	23	83	85	84					
9	Число недействительных бюллетеней	634	11	11	15	4	141	15	7	20	11	16	14	24	38	8	14	30	25	21	11	28	26	43	17	25	19	15	10	3	3	0	1	0	0	2	1	0	5					
10	Число действительных бюллетеней	33953	1030	1118	978	1007	1440	1452	1452	1614	1418	1388	1321	1196	1308	1318	1321	1315	1247	1223	1292	1109	1043	1056	1075	1005	1364	1077	1078	99	73	21	29	48	42	24	126	167	79					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2147	81	75	75	81	81	81	81	81	81	81	81	81	81	81	81	81	81	81	75	75	75	75	81	75	81	81	83	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	508	17	25	20	18	23	18	12	24	26	19	14	23	19	10	16	26	29	10	20	18	6	18	24	16	15	20	22	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	541	9	15	8	9	10	20	11	12	10	13	7	14	14	20	21	23	11	11	6	9	8	2	12	6	12	20	40	86	12	8	7	14	10	15	4	19	13					
14	Число погашенных открепительных удостоверений	1639	64	50	55	63	58	63	69	57	55	62	67	58	62	71	65	55	52	71	55	57	69	57	57	59	66	61	61	0	0	0	0	0	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																												
18	"1. ""ЕДИНЕНИЕ"""	342	10	9	13	9	10	12	18	10	15	13	6	11	22	13	14	19	14	11	15	9	7	12	9	15	13	12	8	1	2	2	1	1	0	0	3	1	2					
		0.98%	0.96%	0.79%	1.30%	0.89%	0.63%	0.81%	1.23%	0.61%	1.04%	0.92%	0.44%	0.90%	1.63%	0.98%	1.04%	1.41%	1.10%	0.88%	1.15%	0.79%	0.65%	1.09%	0.82%	1.45%	0.93%	1.09%	0.73%	0.98%	2.63%	9.52%	3.33%	2.08%	0.0%	0.0%	2.36%	0.59%	2.38%					
