Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																	
Дата голосования: 07.12.2003 0:00:00																	
																	
Наименование Избирательной комиссии:    Карабашская городская																	
																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																	
																	
		Сумма	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134					
1	"Число избирателей, внесенных в списки"	13186	112	1494	1014	2682	2284	1690	718	1148	187	1857					
2	"Число бюллетеней, полученных участковыми комиссиями"	11920	101	1417	900	2416	2050	1500	630	1021	185	1700					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5638	63	591	232	1290	1169	478	202	336	47	1230					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	427	16	50	34	29	35	71	15	28	64	85					
6	Число погашенных бюллетеней	5855	22	776	634	1097	846	951	413	657	74	385					
7	Число бюллетеней в переносных ящиках для голосования	426	16	50	34	29	35	71	15	28	63	85					
8	Число бюллетеней в стационарных ящиках для голосования	5638	63	591	232	1290	1169	478	202	336	47	1230					
9	Число недействительных бюллетеней	94	1	15	10	17	22	11	4	8	1	5					
10	Число действительных бюллетеней	5970	78	626	256	1302	1182	538	213	356	109	1310					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	3	24	14	41	40	23	8	15	4	28					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	68	0	9	1	27	10	3	3	2	0	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	54	18	3	1	8	4	2	3	6	5	4					
14	Число погашенных открепительных удостоверений	132	3	15	13	14	30	20	5	13	4	15					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
																	
18	"1. ""ЕДИНЕНИЕ"""	72	0	8	4	5	9	3	1	6	3	33					
		1.18%	0.0%	1.24%	1.50%	0.37%	0.74%	0.54%	0.46%	1.64%	2.72%	2.50%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	155	3	13	4	42	25	11	8	10	0	39					
