Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва											
Дата голосования: 04.12.2011											
											
Наименование Избирательной комиссии:    Оленекская											
											
Сводная таблица результатов выборов											
											
		Сумма	УИК №495	УИК №496	УИК №497	УИК №498					
1	"Число избирателей, внесенных в список избирателей"	2421	1242	477	511	191					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	2400	1150	520	520	210					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	142	10	26	95	11					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	1684	865	352	300	167					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	140	93	34	6	7					
6	Число погашенных избирательных бюллетеней	434	182	108	119	25					
7	Число избирательных бюллетеней в переносных ящиках для голосования	282	103	60	101	18					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1684	865	352	300	167					
9	Число недействительных избирательных бюллетеней	11	5	3	0	3					
10	Число действительных избирательных бюллетеней	1955	963	409	401	182					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	126	51	30	30	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	114	40	30	29	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	32	19	0	8	5					
14	Число погашенных неиспользованных открепительных удостоверений	12	11	0	1	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	18	1	3	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0					
											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	211	95	31	65	20					
		10.73%	9.81%	7.52%	16.21%	10.81%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	22	6	3	7	6					
		1.12%	0.62%	0.73%	1.75%	3.24%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	6	4	1	1	0					
		0.31%	0.41%	0.24%	0.25%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	474	229	99	77	69					
		24.11%	23.66%	24.03%	19.20%	37.30%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	10	5	1	4	0					
		0.51%	0.52%	0.24%	0.99%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1228	622	274	247	85					
		62.46%	64.26%	66.50%	61.60%	45.95%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	4	2	0	0	2					
		0.20%	0.21%	0.00%	0.00%	1.08%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
