Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																
Дата голосования: 07.12.2003 0:00:00																																																
																																																
Наименование Избирательной комиссии:    Нелидовская																																																
																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																
																																																
		Сумма	УИК  711	УИК  712	УИК  713	УИК  714	УИК  715	УИК  716	УИК  717	УИК  718	УИК  719	УИК  720	УИК  721	УИК  722	УИК  723	УИК  724	УИК  725	УИК  726	УИК  727	УИК  728	УИК  729	УИК  730	УИК  731	УИК  732	УИК  733	УИК  734	УИК  735	УИК  736	УИК  737	УИК  738	УИК  739	УИК  740	УИК  741	УИК  742	УИК  743	УИК  744	УИК  745	УИК  746	УИК  747	УИК  748	УИК  749	УИК  750	УИК  751					
1	"Число избирателей, внесенных в списки"	27512	1134	1264	1456	1378	1389	1456	1421	1256	1234	1393	1180	269	1408	494	1337	1474	43	508	34	235	619	203	210	139	151	389	132	127	112	90	231	138	106	159	1150	733	578	936	174	74	698					
2	"Число бюллетеней, полученных участковыми комиссиями"	24842	989	1097	1292	1202	1235	1308	1268	1108	1095	1242	1051	706	1212	414	1188	1290	44	413	35	205	531	181	185	135	147	351	129	129	113	91	204	139	103	154	984	644	515	838	175	72	628					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15126	634	661	826	730	879	891	857	749	695	852	645	252	812	152	737	849	25	234	10	138	370	117	117	57	71	168	33	72	61	54	168	31	62	106	413	356	299	465	57	26	395					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1237	32	43	20	21	31	18	28	34	14	20	24	17	45	115	29	23	0	12	21	28	25	31	56	45	30	95	38	22	22	12	0	38	4	0	42	15	17	76	41	37	16					
6	Число погашенных бюллетеней	8479	323	393	446	451	325	399	383	325	386	370	382	437	355	147	422	418	19	167	4	39	136	33	12	33	46	88	58	35	30	25	36	70	37	48	529	273	199	297	77	9	217					
7	Число бюллетеней в переносных ящиках для голосования	1237	32	43	20	21	31	18	28	34	14	20	24	17	45	115	29	23	0	12	21	28	25	31	56	45	30	95	38	22	22	12	0	38	4	0	42	15	17	76	41	37	16					
8	Число бюллетеней в стационарных ящиках для голосования	15121	633	661	825	730	879	891	856	749	695	852	645	252	811	152	737	849	25	234	10	138	370	117	117	57	71	168	33	72	61	54	168	31	62	106	413	356	299	465	57	26	394					
9	Число недействительных бюллетеней	316	13	11	8	5	26	17	10	34	16	8	10	1	17	0	18	16	0	0	0	6	19	6	0	0	0	1	1	1	1	0	1	2	0	2	22	6	5	30	0	1	2					
10	Число действительных бюллетеней	16042	652	693	837	746	884	892	874	749	693	864	659	268	839	267	748	856	25	246	31	160	376	142	173	102	101	262	70	93	82	66	167	67	66	104	433	365	311	511	98	62	408					
