Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Белокурихинская городская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №1916	УИК №1917	УИК №1918	УИК №1919									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12690	1494	1654	1693	1486	1524	867	1778	1771	84	176	102	61									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10550	1300	1300	1300	1300	1300	650	1300	1300	200	200	200	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6329	692	761	870	742	745	402	818	876	84	176	102	61									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	89	4	16	25	7	15	6	4	12	0	0	0	0									
6	Число погашенных избирательных бюллетеней	4132	604	523	405	551	540	242	478	412	116	24	98	139									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	89	4	16	25	7	15	6	4	12	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6326	690	760	870	742	745	402	818	876	84	176	102	61									
9	Число недействительных избирательных бюллетеней	161	21	26	28	14	18	12	19	20	0	0	2	1									
10	Число действительных избирательных бюллетеней	6254	673	750	867	735	742	396	803	868	84	176	100	60									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	89	6	11	16	11	11	11	11	12	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	45	1	7	15	7	4	3	7	1	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	435	15	15	16	0	6	11	13	5	69	150	90	45									
14	Число погашенных неиспользованных открепительных удостоверений	44	5	4	1	4	7	8	4	11	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	1	1	1	1	0	2	2	3	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	100	11	10	18	13	4	8	11	13	4	5	3	0									
		1.56%	1.59%	1.29%	2.01%	1.74%	0.53%	1.96%	1.34%	1.46%	4.76%	2.84%	2.94%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	214	17	24	21	25	33	18	30	33	4	7	1	1									
		3.34%	2.45%	3.09%	2.35%	3.34%	4.34%	4.41%	3.65%	3.72%	4.76%	3.98%	0.98%	1.64%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	116	16	17	19	11	14	5	13	15	3	1	1	1									
		1.81%	2.31%	2.19%	2.12%	1.47%	1.84%	1.23%	1.58%	1.69%	3.57%	0.57%	0.98%	1.64%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2374	266	269	329	284	284	147	284	341	32	85	30	23									
		37.01%	38.33%	34.66%	36.76%	37.92%	37.37%	36.03%	34.55%	38.40%	38.10%	48.30%	29.41%	37.70%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	53	8	5	7	5	5	4	7	8	0	3	1	0									
		0.83%	1.15%	0.64%	0.78%	0.67%	0.66%	0.98%	0.85%	0.90%	0.00%	1.70%	0.98%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	13	2	2	0	2	2	1	2	2	0	0	0	0									
		0.20%	0.29%	0.26%	0.00%	0.27%	0.26%	0.25%	0.24%	0.23%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1258	122	147	142	126	158	104	192	197	9	29	25	7									
		19.61%	17.58%	18.94%	15.87%	16.82%	20.79%	25.49%	23.36%	22.18%	10.71%	16.48%	24.51%	11.48%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	42	6	7	5	4	5	2	3	6	0	1	3	0									
		0.65%	0.86%	0.90%	0.56%	0.53%	0.66%	0.49%	0.36%	0.68%	0.00%	0.57%	2.94%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	73	6	18	10	4	3	3	12	10	1	1	4	1									
		1.14%	0.86%	2.32%	1.12%	0.53%	0.39%	0.74%	1.46%	1.13%	1.19%	0.57%	3.92%	1.64%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	12	1	1	4	1	4	0	0	0	0	1	0	0									
		0.19%	0.14%	0.13%	0.45%	0.13%	0.53%	0.00%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	109	15	17	9	11	6	5	13	19	5	3	5	1									
		1.70%	2.16%	2.19%	1.01%	1.47%	0.79%	1.23%	1.58%	2.14%	5.95%	1.70%	4.90%	1.64%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	995	96	118	141	122	120	60	134	130	21	20	16	17									
		15.51%	13.83%	15.21%	15.75%	16.29%	15.79%	14.71%	16.30%	14.64%	25.00%	11.36%	15.69%	27.87%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	26	2	5	5	3	3	2	1	4	1	0	0	0									
		0.41%	0.29%	0.64%	0.56%	0.40%	0.39%	0.49%	0.12%	0.45%	1.19%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	869	105	110	157	124	101	37	101	90	4	20	11	9									
		13.55%	15.13%	14.18%	17.54%	16.56%	13.29%	9.07%	12.29%	10.14%	4.76%	11.36%	10.78%	14.75%									
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
