Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Предгорная																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025					
1	"Число избирателей, внесенных в список"	66994	2429	2682	1165	2640	2646	2368	2726	2712	2231	2444	675	1061	466	2555	2591	2616	1128	777	1826	1463	316	215	240	2611	2039	1848	1075	1002	559	2471	1084	586	221	72	506	636	1049	800	1527	2675	1843	1236	2063	1119					
2	Число полученных избирательных бюллетеней	66037	2510	2650	1090	2580	2520	2380	2650	2660	2180	2340	680	1040	470	2530	2580	2630	1130	790	1800	1470	320	220	240	2560	1910	1810	970	970	580	2420	1010	650	185	82	510	630	1030	810	1460	2670	1830	1230	2100	1160					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	33747	1196	1368	580	1188	1075	1018	1286	1330	1146	1101	456	790	294	1518	1251	1604	678	533	962	896	192	124	117	1251	638	572	436	802	306	874	933	476	180	68	274	294	422	217	830	1243	869	489	1146	724					
5	"Число избирательных бюллетеней, выданных вне помещения"	5656	292	133	71	309	328	97	145	90	67	134	7	65	0	43	420	370	136	32	54	73	5	32	25	140	352	149	378	119	52	219	59	24	1	4	61	136	188	270	50	69	79	168	166	44					
6	Число погашенных избирательных бюллетеней	26634	1022	1149	439	1083	1117	1265	1219	1240	967	1105	217	185	176	969	909	656	316	225	784	501	123	64	98	1169	920	1089	156	49	222	1327	18	150	4	10	175	200	420	323	580	1358	882	573	788	392					
7	Число избирательных бюллетеней в переносных ящиках	5656	292	133	71	309	328	97	145	90	67	134	7	65	0	43	420	370	136	32	54	73	5	32	25	140	352	149	378	119	52	219	59	24	1	4	61	136	188	270	50	69	79	168	166	44					
8	Число бюллетеней в стационарных ящиках для голосования	33744	1196	1368	580	1188	1075	1018	1286	1330	1146	1101	456	790	294	1518	1248	1604	678	533	962	896	192	124	117	1251	638	572	436	802	306	874	933	476	180	68	274	294	422	217	830	1243	869	489	1146	724					
9	Число недействительных избирательных бюллетеней	322	12	13	5	12	3	12	9	9	0	8	7	3	6	11	5	19	2	3	9	6	2	2	1	9	6	7	6	12	6	12	8	5	0	1	4	0	11	13	5	7	17	10	21	3					
10	Число действительных избирательных бюллетеней	39078	1476	1488	646	1485	1400	1103	1422	1411	1213	1227	456	852	288	1550	1663	1955	812	562	1007	963	195	154	141	1382	984	714	808	909	352	1081	984	495	181	71	331	430	599	474	875	1305	931	647	1291	765					
