Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва											
Дата голосования: 02.12.2007											
											
Наименование Избирательной комиссии:    Шмидтовская											
											
Сводная таблица результатов выборов											
											
		Сумма	УИК №56	УИК №57	УИК №58	УИК №59					
1	"Число избирателей, внесенных в списки избирателей"	1190	385	502	152	151					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	1210	397	496	165	152					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	187	0	0	144	43					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	812	318	389	0	105					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	55	21	30	1	3					
6	Число погашенных избирательных бюллетеней	156	58	77	20	1					
7	Число избирательных бюллетеней в переносных ящиках для голосования	242	21	30	145	46					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	812	318	389	0	105					
9	Число недействительных избирательных бюллетеней	152	70	67	0	15					
10	Число действительных избирательных бюллетеней	902	269	352	145	136					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	40	10	10	0	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	24	9	3	0	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	12	4	6	0	2					
14	Число погашенных неиспользованных открепительных удостоверений	16	1	7	0	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	6	15	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0					
											
18	1.Политическая партия «Аграрная партия России»	9	4	3	1	1					
		0.85%	1.18%	0.72%	0.69%	0.66%					
19	2.Всероссийская политическая партия «Гражданская Сила»	6	6	0	0	0					
		0.57%	1.77%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	12	4	5	2	1					
		1.14%	1.18%	1.19%	1.38%	0.66%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	2	2	0	0	0					
		0.19%	0.59%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	29	7	16	3	3					
		2.75%	2.06%	3.82%	2.07%	1.99%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	2	2	0	0	0					
		0.19%	0.59%	0.00%	0.00%	0.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	5	2	3	0	0					
		0.47%	0.59%	0.72%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	833	239	325	139	130					
		79.03%	70.50%	77.57%	95.86%	86.09%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	4	3	0	0	1					
		0.38%	0.88%	0.00%	0.00%	0.66%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
