Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
"Наименование Избирательной комиссии:    Ульяновск, Железнодорожная"																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413	УИК №3414	УИК №3415	УИК №3416	УИК №3417	УИК №3418	УИК №3419	УИК №3420	УИК №3421	УИК №3422	УИК №3423	УИК №3424	УИК №3425	УИК №3426	УИК №3427	УИК №3428	УИК №3429	УИК №3430	УИК №3431	УИК №3432	УИК №3433	УИК №3434	УИК №3435	УИК №3436	УИК №3437	УИК №3438	УИК №3439	УИК №3440									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	71822	1312	1436	2739	2046	2064	2793	1111	1785	1886	1564	2273	1168	2446	2343	1095	2782	2292	2103	1723	1864	1958	2216	2618	2594	2500	2605	1585	1810	884	1425	752	2373	850	1286	364	196	2129	2446	1715	691									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	61300	1000	1200	2400	1800	1800	2400	1000	1500	1600	1400	2000	1000	2000	2000	1000	2200	2000	1800	1500	1500	1500	2000	2200	2200	2200	2200	1400	1500	700	1100	550	2000	800	1000	300	150	2000	2000	1600	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	28175	434	697	1279	1019	1033	1203	405	744	594	576	882	462	912	762	381	1182	948	769	644	732	620	736	1029	1124	1043	1129	595	810	341	537	275	819	322	500	121	89	747	756	638	286									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1475	231	14	22	17	27	10	11	17	9	6	37	13	55	26	27	99	24	24	20	20	11	13	25	17	14	17	7	16	13	29	126	32	5	13	15	21	28	20	8	336									
6	Число погашенных избирательных бюллетеней	31650	335	489	1099	764	740	1187	584	739	997	818	1081	525	1033	1212	592	919	1028	1007	836	748	869	1251	1146	1059	1143	1054	798	674	346	534	149	1149	473	487	164	40	1225	1224	954	178									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1475	231	14	22	17	27	10	11	17	9	6	37	13	55	26	27	99	24	24	20	20	11	13	25	17	14	17	7	16	13	29	126	32	5	13	15	21	28	20	8	336									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	28061	434	697	1192	1019	1033	1203	405	743	594	575	880	462	912	761	381	1180	948	769	644	730	620	736	1026	1121	1043	1129	595	809	341	536	275	819	322	500	121	89	747	747	637	286									
9	Число недействительных избирательных бюллетеней	658	17	10	32	21	23	17	6	13	20	14	15	12	28	13	4	32	22	17	17	15	13	23	31	31	20	32	12	18	6	14	14	8	10	12	2	2	13	17	17	15									
10	Число действительных избирательных бюллетеней	28878	648	701	1182	1015	1037	1196	410	747	583	567	902	463	939	774	404	1247	950	776	647	735	618	726	1020	1107	1037	1114	590	807	348	551	387	843	317	501	134	108	762	750	628	607									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1060	15	40	50	30	40	40	10	40	20	25	25	15	25	20	15	30	25	25	25	25	20	30	50	40	50	40	25	25	10	30	10	30	20	15	10	10	30	35	40	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	615	8	15	44	13	22	30	7	32	6	16	23	11	18	12	4	25	15	11	19	17	8	19	14	23	23	20	7	18	7	21	1	23	6	9	2	2	15	32	17	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	743	15	18	19	27	6	32	6	6	13	6	5	7	2	9	3	119	4	11	5	3	18	7	16	12	11	7	7	7	14	12	69	6	2	4	1	1	2	6	13	212									
14	Число погашенных неиспользованных открепительных удостоверений	445	7	25	6	17	18	10	3	8	14	9	2	4	7	8	11	5	10	14	6	8	12	11	36	17	27	20	18	7	3	9	9	7	14	6	8	8	15	3	23	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	61	1	0	2	0	1	1	0	0	2	1	0	3	3	0	0	1	3	3	1	0	2	3	2	0	1	2	2	2	1	1	2	1	1	9	0	0	3	4	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	453	14	17	30	13	18	15	6	14	1	8	18	4	15	7	12	22	16	14	5	10	12	12	15	13	16	24	6	9	5	5	5	15	2	8	3	2	11	11	10	10									
		1.53%	2.11%	2.39%	2.47%	1.25%	1.70%	1.24%	1.44%	1.84%	0.17%	1.38%	1.96%	0.84%	1.55%	0.89%	2.94%	1.72%	1.65%	1.77%	0.75%	1.33%	1.90%	1.60%	1.43%	1.14%	1.51%	2.09%	0.99%	1.09%	1.41%	0.88%	1.25%	1.76%	0.61%	1.56%	2.21%	1.82%	1.42%	1.43%	1.55%	1.61%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1027	20	30	69	32	31	33	19	30	29	19	32	21	22	18	14	42	41	30	20	28	20	27	29	34	29	39	18	23	13	20	19	29	9	24	6	5	32	26	21	24									
		3.48%	3.01%	4.22%	5.68%	3.09%	2.92%	2.72%	4.57%	3.95%	4.81%	3.27%	3.49%	4.42%	2.28%	2.29%	3.43%	3.28%	4.22%	3.78%	3.01%	3.73%	3.17%	3.60%	2.76%	2.99%	2.74%	3.40%	2.99%	2.79%	3.67%	3.54%	4.74%	3.41%	2.75%	4.68%	4.41%	4.55%	4.13%	3.39%	3.26%	3.86%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	748	23	23	47	29	29	26	9	18	18	16	32	11	30	25	12	20	21	15	20	13	16	17	29	22	18	30	12	21	13	11	3	21	2	6	2	1	23	26	15	23									
		2.53%	3.46%	3.23%	3.87%	2.80%	2.74%	2.14%	2.16%	2.37%	2.99%	2.75%	3.49%	2.32%	3.10%	3.18%	2.94%	1.56%	2.16%	1.89%	3.01%	1.73%	2.54%	2.27%	2.76%	1.93%	1.70%	2.62%	1.99%	2.55%	3.67%	1.95%	0.75%	2.47%	0.61%	1.17%	1.47%	0.91%	2.97%	3.39%	2.33%	3.70%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10684	223	212	439	331	343	395	154	260	204	224	325	156	371	309	156	473	345	277	261	287	215	239	365	391	369	357	212	255	135	190	203	335	151	225	68	60	349	285	247	288									
		36.17%	33.53%	29.82%	36.16%	31.95%	32.36%	32.56%	37.02%	34.21%	33.83%	38.55%	35.44%	32.84%	38.37%	39.26%	38.24%	36.98%	35.49%	34.93%	39.31%	38.27%	34.07%	31.91%	34.73%	34.36%	34.91%	31.15%	35.22%	30.91%	38.14%	33.63%	50.62%	39.37%	46.18%	43.86%	50.00%	54.55%	45.03%	37.16%	38.29%	46.30%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	236	9	9	15	6	19	17	3	5	7	2	10	3	5	4	8	13	5	6	5	3	0	7	5	13	9	5	3	12	1	7	1	2	1	1	1	0	3	4	3	4									
		0.80%	1.35%	1.27%	1.24%	0.58%	1.79%	1.40%	0.72%	0.66%	1.16%	0.34%	1.09%	0.63%	0.52%	0.51%	1.96%	1.02%	0.51%	0.76%	0.75%	0.40%	0.00%	0.93%	0.48%	1.14%	0.85%	0.44%	0.50%	1.45%	0.28%	1.24%	0.25%	0.24%	0.31%	0.19%	0.74%	0.00%	0.39%	0.52%	0.47%	0.64%									
24	"6. Политическая партия ""Гражданская Платформа"""	90	2	2	4	5	2	3	1	5	3	3	0	1	0	4	1	2	1	0	1	4	1	3	3	4	3	6	4	1	1	3	0	3	2	4	0	0	5	0	1	2									
		0.30%	0.30%	0.28%	0.33%	0.48%	0.19%	0.25%	0.24%	0.66%	0.50%	0.52%	0.00%	0.21%	0.00%	0.51%	0.25%	0.16%	0.10%	0.00%	0.15%	0.53%	0.16%	0.40%	0.29%	0.35%	0.28%	0.52%	0.66%	0.12%	0.28%	0.53%	0.00%	0.35%	0.61%	0.78%	0.00%	0.00%	0.65%	0.00%	0.16%	0.32%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5505	168	107	174	156	141	174	84	131	135	106	177	101	202	174	72	238	180	182	129	136	145	159	176	195	206	200	118	138	77	142	71	181	46	95	21	13	146	162	143	104									
		18.64%	25.26%	15.05%	14.33%	15.06%	13.30%	14.34%	20.19%	17.24%	22.39%	18.24%	19.30%	21.26%	20.89%	22.11%	17.65%	18.61%	18.52%	22.95%	19.43%	18.13%	22.98%	21.23%	16.75%	17.14%	19.49%	17.45%	19.60%	16.73%	21.75%	25.13%	17.71%	21.27%	14.07%	18.52%	15.44%	11.82%	18.84%	21.12%	22.17%	16.72%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	277	9	10	18	22	8	27	2	7	3	4	5	2	6	2	4	17	10	12	3	4	4	6	14	13	10	13	4	5	1	7	4	6	1	1	1	0	3	3	5	1									
		0.94%	1.35%	1.41%	1.48%	2.12%	0.75%	2.23%	0.48%	0.92%	0.50%	0.69%	0.55%	0.42%	0.62%	0.25%	0.98%	1.33%	1.03%	1.51%	0.45%	0.53%	0.63%	0.80%	1.33%	1.14%	0.95%	1.13%	0.66%	0.61%	0.28%	1.24%	0.99%	0.71%	0.31%	0.19%	0.74%	0.00%	0.39%	0.39%	0.78%	0.16%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	914	18	27	67	38	31	77	9	19	18	14	35	11	17	16	18	52	21	16	14	23	18	20	22	29	50	26	26	32	8	10	2	31	7	14	1	2	34	21	11	9									
		3.09%	2.71%	3.80%	5.52%	3.67%	2.92%	6.35%	2.16%	2.50%	2.99%	2.41%	3.82%	2.32%	1.76%	2.03%	4.41%	4.07%	2.16%	2.02%	2.11%	3.07%	2.85%	2.67%	2.09%	2.55%	4.73%	2.27%	4.32%	3.88%	2.26%	1.77%	0.50%	3.64%	2.14%	2.73%	0.74%	1.82%	4.39%	2.74%	1.71%	1.45%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	40	2	3	1	1	5	0	1	2	0	1	0	2	1	3	0	1	1	1	1	0	1	0	0	1	1	1	0	2	0	2	1	1	2	0	0	0	2	0	0	0									
		0.14%	0.30%	0.42%	0.08%	0.10%	0.47%	0.00%	0.24%	0.26%	0.00%	0.17%	0.00%	0.42%	0.10%	0.38%	0.00%	0.08%	0.10%	0.13%	0.15%	0.00%	0.16%	0.00%	0.00%	0.09%	0.09%	0.09%	0.00%	0.24%	0.00%	0.35%	0.25%	0.12%	0.61%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	532	13	19	31	36	33	54	6	16	13	5	28	11	13	7	7	21	13	12	8	8	9	12	17	12	7	16	9	25	5	9	10	4	9	3	0	1	4	10	9	7									
