Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    Баганская																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №1021	УИК №1103									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12767	438	157	64	33	295	477	547	1563	983	1150	129	151	113	206	484	78	95	472	153	189	422	241	90	114	53	68	111	505	247	189	193	318	103	143	82	115	434	404	106	80	92	264	348	268									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12950	430	162	65	35	304	475	533	1602	995	1162	130	149	113	203	486	80	98	473	156	195	427	251	90	116	56	68	117	508	256	196	191	326	107	144	82	132	441	413	103	82	95	278	356	269									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5458	217	99	39	17	184	130	224	553	365	473	64	67	45	81	273	47	52	191	83	80	147	91	46	56	34	45	44	244	103	91	69	147	46	80	43	54	171	163	46	31	51	128	127	117									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	480	19	6	2	5	15	21	25	68	33	31	9	5	6	8	14	0	2	17	5	15	17	12	3	1	4	2	4	12	10	7	4	10	2	5	0	0	9	17	9	13	0	8	15	10									
6	Число погашенных избирательных бюллетеней	7012	194	57	24	13	105	324	284	981	597	658	57	77	62	114	199	33	44	265	68	100	263	148	41	59	18	21	69	252	143	98	118	169	59	59	39	78	261	233	48	38	44	142	214	142									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	480	19	6	2	5	15	21	25	68	33	31	9	5	6	8	14	0	2	17	5	15	17	12	3	1	4	2	4	12	10	7	4	10	2	5	0	0	9	17	9	13	0	8	15	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5458	217	99	39	17	184	130	224	553	365	473	64	67	45	81	273	47	52	191	83	80	147	91	46	56	34	45	44	244	103	91	69	147	46	80	43	54	171	163	46	31	51	128	127	117									
9	Число недействительных избирательных бюллетеней	129	6	3	1	0	5	2	6	12	11	9	0	1	1	4	1	0	0	6	0	0	6	4	1	1	0	0	2	2	1	0	2	11	0	2	2	1	7	6	2	0	1	3	3	4									
10	Число действительных избирательных бюллетеней	5809	230	102	40	22	194	149	243	609	387	495	73	71	50	85	286	47	54	202	88	95	158	99	48	56	38	47	46	254	112	98	71	146	48	83	41	53	173	174	53	44	50	133	139	123									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	256	3	1	1	2	14	9	9	30	16	17	1	4	2	1	10	1	3	10	1	3	8	6	2	1	2	1	1	1	10	8	5	8	1	4	1	8	10	10	3	1	1	6	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	160	0	0	1	1	14	5	7	26	16	15	1	0	1	0	2	0	0	3	0	3	1	4	1	0	0	0	0	0	10	8	1	8	0	1	0	8	1	5	1	0	1	6	7	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	112	3	0	2	1	4	11	7	12	7	6	3	2	2	2	2	0	1	4	1	1	1	1	2	2	0	1	0	3	3	3	2	5	1	2	1	2	2	4	2	0	2	1	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	96	3	1	0	1	0	4	2	4	0	2	0	4	1	1	8	1	3	7	1	0	7	2	1	1	2	1	1	1	0	0	4	0	1	3	1	0	9	5	2	1	0	0	3	8									
