Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																									
Дата голосования: 18.09.2016																																																																																									
																																																																																									
Наименование Избирательной комиссии:    Коломенская городская																																																																																									
																																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																									
																																																																																									
		Сумма	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	118752	1394	1556	1354	1399	1312	1664	2283	2201	1873	1456	1654	967	1727	1331	1330	1477	1516	1203	2142	1516	2165	1924	1018	707	1090	2142	817	1865	1881	1047	2074	2002	1828	1902	1844	1917	2042	1885	2127	1893	1785	1782	1649	1803	1780	1662	2050	1730	605	1675	629	2129	2129	1962	2227	2046	2232	1283	1792	1230	1655	1786	2101	1975	608	1873	1811	1869	1100	1276	1303	1027	304	87	180	38	36	18									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	115289	1200	1500	1300	1300	1000	1600	2000	2200	1800	1400	1600	900	1700	1300	1300	1400	1400	1100	2100	1500	2200	1900	1000	700	1000	2100	800	1800	1900	1000	2100	2000	1800	1900	1900	2000	2000	1800	2100	1900	1800	1500	1800	1800	1800	1600	2000	1700	600	1600	600	2100	2100	1700	2200	2000	2200	1200	1800	1200	1600	1800	2100	2000	600	1800	1700	1800	1100	1200	1200	1000	265	90	131	42	40	21									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	43392	533	521	530	453	298	561	1008	724	747	513	601	341	688	514	466	564	581	367	851	433	809	724	343	248	304	800	252	649	705	374	811	667	642	687	646	743	760	822	854	681	591	578	587	728	661	587	702	730	211	598	261	734	772	671	750	750	837	474	646	569	609	688	778	582	189	475	561	657	399	390	908	413	198	82	119	38	36	18									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1475	18	11	16	24	324	6	7	8	3	14	6	4	22	8	12	20	6	24	16	10	6	13	8	11	10	13	5	10	11	12	16	25	7	42	8	14	8	4	4	20	17	18	12	12	10	16	18	6	2	17	14	9	9	195	7	14	3	8	5	0	4	10	31	36	32	21	41	38	16	26	15	7	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	70415	649	967	754	823	378	1033	985	1468	1050	873	993	555	990	778	822	816	813	709	1233	1055	1385	1163	649	441	686	1287	543	1141	1184	614	1273	1308	1151	1171	1246	1243	1232	974	1242	1199	1192	904	1201	1058	1129	997	1280	964	387	985	323	1357	1319	834	1443	1236	1360	718	1149	631	987	1102	1291	1382	379	1304	1098	1105	685	784	277	580	67	8	12	4	4	3									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1474	18	11	16	24	323	6	7	8	3	14	6	4	22	8	12	20	6	24	16	10	6	13	8	11	10	13	5	10	11	12	16	25	7	42	8	14	8	4	4	20	17	18	12	12	10	16	18	6	2	17	14	9	9	195	7	14	3	8	5	0	4	10	31	36	32	21	41	38	16	26	15	7	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	43305	515	521	530	453	298	561	1008	724	735	512	601	341	688	514	466	564	580	367	851	433	809	724	343	248	304	800	252	649	694	374	811	667	640	687	646	730	758	822	854	680	591	578	585	728	661	584	696	726	211	596	261	734	769	671	750	750	837	474	645	569	609	688	778	582	189	475	559	657	399	389	906	413	198	82	119	38	36	18									
9	Число недействительных избирательных бюллетеней	1361	19	24	18	20	22	18	47	18	14	17	18	6	17	14	19	15	14	8	29	12	11	20	10	6	17	33	4	14	22	14	28	15	15	24	22	21	24	21	18	24	20	12	14	20	21	14	23	19	6	17	12	25	37	31	23	27	21	14	17	19	11	16	50	14	10	37	24	17	17	8	10	9	6	1	7	0	0	0									
10	Число действительных избирательных бюллетеней	43418	514	508	528	457	599	549	968	714	724	509	589	339	693	508	459	569	572	383	838	431	804	717	341	253	297	780	253	645	683	372	799	677	632	705	632	723	742	805	840	676	588	584	583	720	650	586	691	713	207	596	263	718	741	835	734	737	819	468	633	550	602	682	759	604	211	459	576	678	398	407	911	411	192	81	112	38	36	18									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2032	25	40	30	30	25	40	60	35	35	25	25	15	30	25	20	20	30	15	45	25	50	30	15	10	25	40	10	20	25	20	30	30	25	25	35	30	30	40	45	35	35	20	35	25	25	35	30	30	15	30	20	25	40	25	30	40	45	15	25	20	25	32	35	30	15	20	25	30	15	25	35	15	0	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1536	10	26	25	11	12	26	53	32	29	23	24	11	24	22	14	13	26	7	24	16	39	21	12	7	13	31	7	17	19	13	28	28	21	16	34	24	28	22	42	29	29	16	25	21	22	26	14	27	13	22	6	23	33	19	30	31	42	11	21	10	16	32	35	20	6	13	19	17	12	14	20	12	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1139	116	12	13	59	9	12	12	12	19	11	9	9	17	58	2	3	74	21	13	8	9	9	21	10	5	4	5	12	9	9	9	9	8	13	11	15	9	25	13	10	14	24	3	13	6	14	3	4	1	14	8	0	10	18	10	5	11	9	26	125	10	6	9	11	8	1	10	14	10	7	20	5	0	0	6	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	496	15	14	5	19	13	14	7	3	6	2	1	4	6	3	6	7	4	8	21	9	11	9	3	3	12	9	3	3	6	7	2	2	4	9	1	6	2	18	3	6	6	4	10	4	3	9	16	3	2	8	14	2	7	6	0	9	3	4	4	10	9	0	0	10	9	7	6	13	3	11	15	3	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	604	12	9	6	8	4	9	13	11	20	6	14	4	17	6	3	7	10	5	6	4	10	12	6	2	3	9	1	15	10	7	13	11	7	8	11	18	10	5	14	8	12	9	6	8	3	5	7	9	6	4	5	8	9	5	7	11	12	10	7	1	9	11	11	12	3	11	17	8	11	6	1	6	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
