Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    Новоуренгойская городская																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	65162	90	1840	2118	1628	2002	1821	356	1315	1849	2091	1579	1180	2092	1779	1480	1839	1859	414	358	1716	1992	2056	2314	2023	1901	2163	1749	2079	1287	2048	1923	2002	1877	1385	1701	272	1017	1859	787	2099	1222									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	57828	91	1600	1900	1400	1700	1700	453	1383	1600	1700	1300	1000	1800	1500	1300	1600	1600	442	391	1600	1600	1900	2200	1700	1700	1800	1600	1800	1300	1900	1600	1800	1600	1200	1400	306	900	1600	800	1800	1262									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	45107	46	992	1598	1305	1595	1363	175	665	911	1690	1113	557	977	1277	1153	1284	1403	215	300	1360	1057	1533	1746	1666	1184	1684	1554	1491	919	1617	1418	1520	1364	970	822	176	658	1280	446	1289	734									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	172	43	4	1	0	10	2	0	0	1	3	0	0	20	4	1	5	15	0	0	9	6	1	1	0	0	4	20	0	1	1	2	2	1	0	0	1	8	3	0	0	3									
6	Число погашенных избирательных бюллетеней	12549	2	604	301	95	95	335	278	718	688	7	187	443	803	219	146	311	182	227	91	231	537	366	453	34	516	112	26	309	380	282	180	278	235	230	578	129	234	317	354	511	525									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	172	43	4	1	0	10	2	0	0	1	3	0	0	20	4	1	5	15	0	0	9	6	1	1	0	0	4	20	0	1	1	2	2	1	0	0	1	8	3	0	0	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	45068	46	988	1598	1305	1595	1363	175	664	911	1690	1113	555	977	1274	1151	1284	1403	215	300	1360	1057	1531	1744	1666	1184	1683	1550	1486	919	1615	1414	1518	1362	967	822	176	658	1280	446	1289	734									
9	Число недействительных избирательных бюллетеней	332	2	5	11	4	11	7	2	19	5	4	4	3	19	8	5	3	2	3	5	7	14	17	12	5	6	9	5	0	7	0	7	26	5	7	0	1	5	22	16	25	14									
10	Число действительных избирательных бюллетеней	44908	87	987	1588	1301	1594	1358	173	645	907	1689	1109	552	978	1270	1147	1286	1416	212	295	1362	1049	1515	1733	1661	1178	1678	1565	1486	913	1616	1409	1494	1358	960	822	176	661	1261	430	1264	723									
