Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																								
Дата голосования: 07.12.2003 0:00:00																								
																								
Наименование Избирательной комиссии:    Ключевская																								
																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																								
																								
		Сумма	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895					
1	"Число избирателей, внесенных в списки"	15634	2678	2564	2195	1097	1364	1052	215	545	782	238	447	171	242	668	807	156	413					
2	"Число бюллетеней, полученных участковыми комиссиями"	14872	2450	2450	2000	1000	1320	1030	216	530	760	225	450	177	242	650	800	157	415					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9762	1507	1520	1155	694	890	654	170	406	585	182	315	128	205	417	519	122	293					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	720	76	91	71	88	87	41	4	19	68	23	30	20	12	24	41	6	19					
6	Число погашенных бюллетеней	4390	867	839	774	218	343	335	42	105	107	20	105	29	25	209	240	29	103					
7	Число бюллетеней в переносных ящиках для голосования	720	76	91	71	88	87	41	4	19	68	23	30	20	12	24	41	6	19					
8	Число бюллетеней в стационарных ящиках для голосования	9760	1505	1520	1155	694	890	654	170	406	585	182	315	128	205	417	519	122	293					
9	Число недействительных бюллетеней	128	24	17	19	5	13	7	2	2	2	0	2	3	6	5	12	5	4					
10	Число действительных бюллетеней	10352	1557	1594	1207	777	964	688	172	423	651	205	343	145	211	436	548	123	308					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	170	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	42	2	5	0	5	10	3	2	0	2	0	3	0	5	1	1	0	3					
