Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Колыванская																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20448	1356	1348	1266	1370	1471	1401	1007	595	398	831	234	455	1032	504	279	1615	278	98	556	161	118	564	422	102	105	515	146	271	618	560	122	51	79	318	202									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19615	1300	1300	1250	1350	1450	1350	950	550	350	800	200	400	1000	450	275	1550	250	90	550	150	110	550	400	95	100	500	140	250	600	550	120	55	80	300	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7456	494	422	454	357	465	501	370	195	123	285	104	159	395	182	122	733	121	45	173	72	27	186	139	50	39	196	57	102	243	261	49	35	41	150	109									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	569	34	11	23	16	24	10	12	10	6	14	3	11	25	10	11	22	5	2	8	4	6	32	7	6	15	30	17	26	35	69	16	0	1	18	30									
6	Число погашенных избирательных бюллетеней	11590	772	867	773	977	961	839	568	345	221	501	93	230	580	258	142	795	124	43	369	74	77	332	254	39	46	274	66	122	322	220	55	20	38	132	61									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	569	34	11	23	16	24	10	12	10	6	14	3	11	25	10	11	22	5	2	8	4	6	32	7	6	15	30	17	26	35	69	16	0	1	18	30									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7456	494	422	454	357	465	501	370	195	123	285	104	159	395	182	122	733	121	45	173	72	27	186	139	50	39	196	57	102	243	261	49	35	41	150	109									
9	Число недействительных избирательных бюллетеней	223	18	17	7	10	15	10	11	9	0	6	2	4	14	9	3	23	4	5	5	7	0	8	3	1	0	4	6	4	7	6	3	0	0	2	0									
10	Число действительных избирательных бюллетеней	7802	510	416	470	363	474	501	371	196	129	293	105	166	406	183	130	732	122	42	176	69	33	210	143	55	54	222	68	124	271	324	62	35	42	166	139									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	552	23	32	36	28	36	24	23	7	3	18	3	13	11	6	5	15	13	5	10	4	2	5	5	8	3	30	2	2	20	71	19	7	15	40	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	439	17	24	36	24	32	16	14	7	3	9	0	13	5	0	1	15	11	3	10	0	0	1	3	1	1	30	0	0	3	71	19	7	15	40	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	200	26	11	4	6	6	5	11	7	2	7	3	3	4	4	2	10	5	9	5	4	3	4	5	4	3	8	4	6	4	10	3	1	3	3	5									
14	Число погашенных неиспользованных открепительных удостоверений	113	6	8	0	4	4	8	9	0	0	9	3	0	6	6	4	0	2	2	0	4	2	4	2	7	2	0	2	2	17	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	44	10	7	7	1	3	7	2	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	97	9	4	15	7	6	8	6	1	0	2	2	2	3	0	3	8	1	0	2	1	1	1	1	0	1	0	1	1	2	2	1	0	0	1	5									
		1.21%	1.70%	0.92%	3.14%	1.88%	1.23%	1.57%	1.57%	0.49%	0.00%	0.67%	1.87%	1.18%	0.71%	0.00%	2.26%	1.06%	0.79%	0.00%	1.10%	1.32%	3.03%	0.46%	0.68%	0.00%	1.85%	0.00%	1.35%	0.78%	0.72%	0.61%	1.54%	0.00%	0.00%	0.60%	3.60%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	293	17	20	17	18	20	20	15	7	9	3	2	5	12	5	7	30	2	1	13	2	1	8	5	1	0	6	0	4	12	12	4	1	0	7	7									
