Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																	
Дата голосования: 02.12.2007																	
																	
Наименование Избирательной комиссии:    Шимановская городская																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783					
1	"Число избирателей, внесенных в списки избирателей"	16688	2192	1288	1901	1998	1172	1685	1274	1594	2205	1379					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	16625	2217	1318	1929	1992	1169	1710	1291	1641	1913	1445					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	10112	1204	874	1156	1247	842	978	770	1023	1152	866					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1066	137	70	70	101	46	59	18	60	96	409					
6	Число погашенных избирательных бюллетеней	5447	876	374	703	644	281	673	503	558	665	170					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1066	137	70	70	101	46	59	18	60	96	409					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10108	1204	873	1155	1247	840	978	770	1023	1152	866					
9	Число недействительных избирательных бюллетеней	86	14	7	6	11	1	11	10	5	6	15					
10	Число действительных избирательных бюллетеней	11088	1327	936	1219	1337	885	1026	778	1078	1242	1260					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	214	14	21	20	31	19	16	12	24	27	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	211	12	21	20	31	19	16	11	24	27	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	129	11	19	18	8	19	8	14	8	18	6					
14	Число погашенных неиспользованных открепительных удостоверений	3	2	0	0	0	0	0	1	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	41	4	1	8	2	8	4	2	2	2	8					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
																	
18	1.Политическая партия «Аграрная партия России»	163	18	10	19	13	9	14	11	18	9	42					
		1.46%	1.34%	1.06%	1.55%	0.96%	1.02%	1.35%	1.40%	1.66%	0.72%	3.29%					
19	2.Всероссийская политическая партия «Гражданская Сила»	62	8	6	8	9	4	5	2	6	3	11					
		0.55%	0.60%	0.64%	0.65%	0.67%	0.45%	0.48%	0.25%	0.55%	0.24%	0.86%					
20	3.Политическая партия «Демократическая партия России»	10	0	1	3	1	1	0	0	1	0	3					
		0.09%	0.00%	0.11%	0.24%	0.07%	0.11%	0.00%	0.00%	0.09%	0.00%	0.24%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1123	176	116	124	127	97	105	52	111	94	121					
		10.05%	13.12%	12.30%	10.12%	9.42%	10.95%	10.13%	6.60%	10.25%	7.53%	9.49%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	96	8	7	9	9	14	9	6	9	11	14					
		0.86%	0.60%	0.74%	0.73%	0.67%	1.58%	0.87%	0.76%	0.83%	0.88%	1.10%					
23	6.Политическая партия «Партия социальной справедливости»	15	0	1	2	1	0	1	0	2	8	0					
		0.13%	0.00%	0.11%	0.16%	0.07%	0.00%	0.10%	0.00%	0.18%	0.64%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1012	122	82	113	126	89	95	80	93	111	101					
		9.06%	9.10%	8.70%	9.22%	9.35%	10.05%	9.16%	10.15%	8.59%	8.89%	7.92%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	610	56	59	75	50	70	61	31	57	53	98					
		5.46%	4.18%	6.26%	6.12%	3.71%	7.90%	5.88%	3.93%	5.26%	4.25%	7.69%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	52	5	4	10	7	9	6	3	1	2	5					
		0.47%	0.37%	0.42%	0.82%	0.52%	1.02%	0.58%	0.38%	0.09%	0.16%	0.39%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	7882	931	643	853	983	586	719	591	775	944	857					
		70.54%	69.43%	68.19%	69.63%	72.92%	66.14%	69.33%	75.00%	71.56%	75.64%	67.22%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	63	3	7	3	11	6	11	2	5	7	8					
		0.56%	0.22%	0.74%	0.24%	0.82%	0.68%	1.06%	0.25%	0.46%	0.56%	0.63%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
