Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Ковылкинская																																																																																	
																																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																	
																																																																																	
		Сумма	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427					
1	"Число избирателей, внесенных в списки"	35193	265	357	339	81	208	329	535	311	1226	166	129	654	149	49	182	137	534	466	205	655	153	1190	162	518	400	518	194	79	188	345	395	85	287	1102	256	184	101	132	80	213	172	250	464	300	182	94	335	324	249	342	403	113	69	206	396	1056	383	330	502	520	614	978	1045	1121	1114	858	1255	1199	1329	1457	1237	1200	1260	277					
2	"Число бюллетеней, полученных участковыми комиссиями"	36093	266	362	340	83	209	330	537	334	1227	167	131	647	152	49	183	137	529	463	203	668	156	1199	164	518	400	524	195	83	188	348	406	85	289	1100	269	187	104	134	82	216	176	251	471	300	182	95	337	326	251	343	403	115	71	207	404	1070	388	330	506	513	610	1115	1084	1140	1095	1068	1266	1287	1345	1364	1325	1282	1302	407					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	28846	263	339	339	81	192	302	530	253	1080	153	80	608	126	42	137	107	358	304	143	553	96	1110	142	467	399	500	194	70	188	324	351	72	273	1017	167	182	96	130	76	174	161	245	423	255	146	81	330	315	249	268	343	94	67	206	272	916	296	325	404	303	331	703	629	803	818	726	784	1002	1060	1277	834	857	1028	277					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3311	0	18	0	0	16	24	0	33	121	5	15	37	23	5	29	30	35	16	14	79	55	65	18	47	0	15	0	9	0	21	42	9	0	65	86	0	5	0	4	39	8	0	41	45	30	13	5	5	0	74	59	17	0	0	124	119	81	4	77	154	154	178	80	230	173	132	59	81	142	78	72	54	42	0					
6	Число погашенных бюллетеней	3936	3	5	1	2	1	4	7	48	26	9	36	2	3	2	17	0	136	143	46	36	5	24	4	4	1	9	1	4	0	3	13	4	16	18	16	5	3	4	2	3	7	6	7	0	6	1	2	6	2	1	1	4	4	1	8	35	11	1	25	56	125	234	375	107	104	210	423	204	143	9	419	371	232	130					
7	Число бюллетеней в переносных ящиках для голосования	3311	0	18	0	0	16	24	0	33	121	5	15	37	23	5	29	30	35	16	14	79	55	65	18	47	0	15	0	9	0	21	42	9	0	65	86	0	5	0	4	39	8	0	41	45	30	13	5	5	0	74	59	17	0	0	124	119	81	4	77	154	154	178	80	230	173	132	59	81	142	78	72	54	42	0					
8	Число бюллетеней в стационарных ящиках для голосования	28767	263	339	339	81	192	302	530	253	1080	153	80	608	126	42	137	107	358	304	143	553	96	1110	142	467	399	500	194	70	188	324	351	72	273	1017	167	182	96	130	76	174	161	245	423	255	146	81	330	315	249	268	343	94	67	206	272	916	296	325	404	303	331	703	629	803	818	726	784	924	1060	1277	834	856	1028	277					
9	Число недействительных бюллетеней	427	8	0	1	0	0	0	7	0	6	1	10	0	0	0	0	5	43	28	0	53	3	26	0	0	0	0	0	0	0	0	0	1	0	17	0	1	0	0	0	0	0	5	17	6	2	0	0	0	0	1	0	0	0	0	0	0	0	0	3	12	0	5	36	15	8	3	6	34	0	0	1	23	40	0					
10	Число действительных бюллетеней	31651	255	357	338	81	208	326	523	286	1195	157	85	645	149	47	166	132	350	292	157	579	148	1149	160	514	399	515	194	79	188	345	393	80	273	1065	253	181	101	130	80	213	169	240	447	294	174	94	335	320	249	341	402	111	67	206	396	1035	377	329	478	445	485	876	673	1018	983	855	837	971	1202	1355	905	887	1030	277					
