Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
"Наименование Избирательной комиссии:    Кемерово, Ленинская"																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	93980	1684	1799	1744	2127	2470	2347	2322	2038	2099	2914	2077	2729	2149	1127	2234	2367	2258	1717	1766	1063	1099	2065	1987	2307	1869	1849	2454	1919	2093	1985	2398	2420	2556	1301	2041	1843	1862	1722	1893	2042	1998	1808	1595	1549	2310	1889	2095									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	84350	1500	1600	1550	1900	2200	2100	2100	1850	1900	2600	1850	2450	1950	1000	2000	2100	2050	1550	1600	950	950	1850	1800	2050	1650	1650	2200	1700	1850	1800	2150	2200	2300	1200	1850	1650	1650	1550	1700	1850	1800	1600	1450	1400	2100	1700	1900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	73956	1431	1304	1365	1670	1801	1967	1684	1498	1522	2121	1595	1994	1568	949	1856	1985	1891	1429	1289	735	525	1493	1661	1761	1444	1344	1917	1515	1520	1666	2013	2130	2187	1006	1476	1347	1350	1447	1599	1749	1663	1524	1356	1298	1956	1593	1762									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1532	17	25	31	13	26	28	31	9	27	28	7	16	16	15	24	27	33	31	17	50	300	32	27	207	20	23	22	20	24	21	25	24	37	22	32	14	26	19	29	9	25	21	23	19	8	13	19									
6	Число погашенных избирательных бюллетеней	8862	52	271	154	217	373	105	385	343	351	451	248	440	366	36	120	88	126	90	294	165	125	325	112	82	186	283	261	165	306	113	112	46	76	172	342	289	274	84	72	92	112	55	71	83	136	94	119									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1532	17	25	31	13	26	28	31	9	27	28	7	16	16	15	24	27	33	31	17	50	300	32	27	207	20	23	22	20	24	21	25	24	37	22	32	14	26	19	29	9	25	21	23	19	8	13	19									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	73618	1425	1297	1362	1664	1794	1960	1684	1490	1522	2116	1595	1990	1563	939	1856	1985	1886	1425	1285	733	522	1488	1654	1753	1444	1340	1917	1515	1516	1666	2013	2130	2187	1002	1471	1343	1345	1447	1599	1749	1663	1523	1151	1298	1956	1593	1762									
9	Число недействительных избирательных бюллетеней	287	14	3	3	17	3	30	11	2	3	5	5	2	3	10	8	24	5	4	3	3	2	4	3	5	5	3	10	6	3	4	3	10	2	3	3	3	2	10	25	2	4	2	3	2	3	4	3									
10	Число действительных избирательных бюллетеней	74863	1428	1319	1390	1660	1817	1958	1704	1497	1546	2139	1597	2004	1576	944	1872	1988	1914	1452	1299	780	820	1516	1678	1955	1459	1360	1929	1529	1537	1683	2035	2144	2222	1021	1500	1354	1369	1456	1603	1756	1684	1542	1171	1315	1961	1602	1778									
