Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																		
Дата голосования: 04.12.2011																																		
																																		
Наименование Избирательной комиссии:    район Сокольники																																		
																																		
Сводная таблица результатов выборов																																		
																																		
		Сумма	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №3295	УИК №3296	УИК №3297	УИК №3298	УИК №3299	УИК №3300	УИК №3301	УИК №3302	УИК №3303	УИК №3304					
1	"Число избирателей, внесенных в список избирателей"	38781	2133	1569	2179	2125	2061	1682	2062	1942	1637	2182	2140	2125	2014	2135	2245	2130	2117	379	143	383	1035	110	341	480	320	517	595					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31085	1523	1042	1515	1487	1500	1186	1495	2043	1091	1536	1505	1536	1458	1542	1602	1523	1540	731	150	400	1300	180	350	500	350	1000	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	23246	1118	802	1195	1091	1422	915	1223	1727	943	1176	1388	1159	1350	982	1351	1155	960	379	110	379	159	110	331	446	264	517	594					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1508	42	37	49	19	38	26	19	31	26	38	50	42	32	25	32	39	19	0	0	0	876	0	0	12	56	0	0					
6	Число погашенных избирательных бюллетеней	6333	363	203	271	377	40	247	253	285	122	322	67	335	76	535	219	329	561	352	40	21	265	70	19	42	30	483	406					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1507	42	37	49	19	38	26	19	31	26	38	50	42	32	25	32	39	19	0	0	0	876	0	0	11	56	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	23203	1116	800	1190	1090	1422	913	1223	1727	943	1162	1376	1159	1349	982	1351	1155	958	379	110	377	159	110	331	446	264	517	594					
9	Число недействительных избирательных бюллетеней	348	20	10	24	29	20	25	3	24	18	18	2	0	34	26	24	34	19	0	0	10	0	0	3	0	0	3	2					
10	Число действительных избирательных бюллетеней	24362	1138	827	1215	1080	1440	914	1239	1734	951	1182	1424	1201	1347	981	1359	1160	958	379	110	367	1035	110	328	457	320	514	592					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1155	50	30	50	40	60	40	50	190	30	50	40	180	80	35	40	80	100	0	0	0	0	0	0	5	5	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	972	37	26	37	32	56	38	33	184	19	42	34	149	71	34	38	52	87	0	0	0	0	0	0	2	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1317	36	98	72	97	30	67	18	110	44	29	37	38	46	26	41	42	37	26	7	56	182	22	0	61	33	7	55					
14	Число погашенных неиспользованных открепительных удостоверений	183	13	4	13	8	4	2	17	6	11	8	6	31	9	1	2	28	13	0	0	0	0	0	0	3	4	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	78	4	3	2	1	0	1	2	31	1	0	0	14	2	5	6	3	3	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
