Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																		
Дата голосования: 18.09.2016																																																																																		
																																																																																		
Наименование Избирательной комиссии:    Кукморская																																																																																		
																																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																		
																																																																																		
		Сумма	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	39834	1016	1550	1603	1652	1821	1941	1896	1861	964	882	240	142	760	635	377	585	354	644	249	227	360	305	205	219	302	430	279	671	152	405	513	457	699	1032	319	317	436	186	257	354	291	435	235	580	477	642	279	231	379	453	231	615	288	547	530	293	200	397	711	442	310	408	160	500	220	341	517	316	481	645	383									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	40124	1006	1545	1572	1635	1808	1930	1890	1847	975	882	243	145	764	641	375	587	358	651	252	232	363	308	207	225	311	435	284	671	154	410	489	460	703	1041	322	324	440	193	261	360	297	444	238	589	490	652	281	233	395	483	238	622	293	554	536	294	203	402	723	485	330	412	162	505	229	345	527	322	488	663	390									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	34825	956	1394	1054	1472	1031	1535	1530	1719	929	847	226	117	719	604	359	570	343	566	241	209	352	278	190	197	282	366	256	665	149	385	265	302	692	977	301	296	414	169	243	335	278	376	215	504	427	614	269	221	331	411	206	412	232	475	516	285	193	354	653	378	283	400	151	412	207	324	497	287	448	589	342									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1940	9	50	72	85	52	37	40	2	12	0	11	22	25	19	9	4	4	66	6	18	5	21	11	19	14	56	20	0	0	14	95	69	2	32	14	15	16	15	8	10	10	15	15	42	22	17	7	8	39	36	19	180	42	63	9	6	5	35	51	55	20	4	8	83	10	14	10	22	25	52	37									
6	Число погашенных избирательных бюллетеней	3359	41	101	446	78	725	358	320	126	34	35	6	6	20	18	7	13	11	19	5	5	6	9	6	9	15	13	8	6	5	11	129	89	9	32	7	13	10	9	10	15	9	53	8	43	41	21	5	4	25	36	13	30	19	16	11	3	5	13	19	52	27	8	3	10	12	7	20	13	15	22	11									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1940	9	50	72	85	52	37	40	2	12	0	11	22	25	19	9	4	4	66	6	18	5	21	11	19	14	56	20	0	0	14	95	69	2	32	14	15	16	15	8	10	10	15	15	42	22	17	7	8	39	36	19	180	42	63	9	6	5	35	51	55	20	4	8	83	10	14	10	22	25	52	37									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	34825	956	1394	1054	1472	1031	1535	1530	1719	929	847	226	117	719	604	359	570	343	566	241	209	352	278	190	197	282	366	256	665	149	385	265	302	692	977	301	296	414	169	243	335	278	376	215	504	427	614	269	221	331	411	206	412	232	475	516	285	193	354	653	378	283	400	151	412	207	324	497	287	448	589	342									
9	Число недействительных избирательных бюллетеней	280	4	0	12	9	9	68	1	12	0	0	0	0	0	0	0	0	0	78	2	0	0	2	0	24	0	0	0	0	0	0	3	30	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	5	0	0	1	2	0	0	0	0	0	0	0	6	0	0	0	0									
10	Число действительных избирательных бюллетеней	36485	961	1444	1114	1548	1074	1504	1569	1709	941	847	237	139	744	623	368	574	347	554	245	227	357	297	201	192	296	422	276	665	149	399	357	341	694	1009	313	311	430	184	251	345	288	391	230	546	449	631	276	229	370	447	225	582	274	538	520	291	198	388	702	433	303	404	159	495	217	338	501	309	473	641	379									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	671	15	30	30	20	30	30	33	38	10	9	8	3	8	5	2	2	6	7	2	2	3	5	9	7	10	7	7	17	2	13	10	10	7	14	5	5	4	2	2	7	7	10	2	8	11	12	2	2	12	25	10	6	2	6	7	2	2	4	11	16	13	4	2	4	7	2	11	5	9	15	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	589	10	30	30	17	30	19	33	35	8	9	6	3	8	5	2	2	6	5	2	0	3	5	9	7	10	7	4	17	0	13	3	1	5	11	5	5	4	2	2	7	7	9	1	8	11	7	0	0	12	25	7	6	2	6	7	1	2	2	10	16	13	3	0	4	7	2	10	5	7	15	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	137	3	8	4	12	4	4	3	5	0	3	1	0	0	1	2	0	0	0	1	0	1	1	2	2	1	0	0	2	0	1	15	0	2	0	1	0	5	0	2	1	3	3	1	0	3	0	1	0	3	8	2	5	0	1	2	2	1	1	1	0	1	1	0	2	0	0	2	1	2	1	3									
14	Число погашенных неиспользованных открепительных удостоверений	82	5	0	0	3	0	11	0	3	2	0	2	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	3	0	2	0	7	9	2	3	0	0	0	0	0	0	0	1	1	0	0	5	2	2	0	0	3	0	0	0	0	1	0	2	1	0	0	1	2	0	0	0	1	0	2	0	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	123	2	0	2	2	1	6	5	4	0	1	0	0	1	0	0	0	0	0	0	0	1	3	2	16	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	5	0	0	1	3	3	0	0	0	2	8	0	2	1	0	0	0	0	0	0	19	29	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	98	1	0	14	11	9	0	0	15	0	2	0	0	0	3	0	0	1	2	0	0	0	1	0	0	1	0	0	1	1	0	2	8	0	2	0	0	0	0	0	1	0	1	0	5	2	1	0	0	0	0	0	0	3	0	1	0	0	0	3	0	0	1	0	0	4	1	0	1	0	0	0									
		0.27%	0.10%	0.00%	1.24%	0.71%	0.83%	0.00%	0.00%	0.87%	0.00%	0.24%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.29%	0.32%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.34%	0.00%	0.00%	0.15%	0.67%	0.00%	0.56%	2.16%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.26%	0.00%	0.92%	0.45%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.09%	0.00%	0.19%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.25%	0.00%	0.00%	1.84%	0.30%	0.00%	0.32%	0.00%	0.00%	0.00%									
