Выборы Президента Российской Федерации																																																																
																																																																
Наименование Избирательной комиссии:    Большереченская																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85					
1	"Число избирателей, внесенных в список"	24085	1069	1051	1087	1201	733	649	409	1040	1226	768	131	1505	194	990	62	170	986	88	187	92	565	79	85	178	989	239	110	138	655	171	65	120	157	94	669	74	254	154	485	99	201	79	528	560	296	126	486	137	174	71	464	77	155	186	1077	243	207					
2	Число полученных избирательных бюллетеней	24145	1000	1000	1100	1200	780	700	400	1000	1300	800	150	1500	195	1000	62	165	990	90	188	95	572	82	89	180	1000	235	107	140	660	163	69	124	156	95	670	74	255	150	505	101	203	80	525	500	300	128	500	140	179	76	490	81	163	192	1000	245	201					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18209	682	678	752	740	480	466	297	705	795	518	128	1008	187	764	50	157	823	78	172	83	477	78	83	168	870	215	89	115	485	145	65	98	132	92	484	67	181	129	409	93	162	79	477	369	193	111	383	110	156	67	321	76	148	183	947	213	176					
5	"Число избирательных бюллетеней, выданных вне помещения"	1717	57	96	58	94	65	44	33	74	56	22	0	205	7	90	12	8	61	10	14	5	39	0	0	2	31	19	12	21	54	0	0	0	14	0	66	0	18	13	34	6	39	0	32	50	36	13	43	13	10	4	48	0	0	0	44	21	24					
6	Число погашенных избирательных бюллетеней	4219	261	226	290	366	235	190	70	221	449	260	22	287	1	146	0	0	106	2	2	7	56	4	6	10	99	1	6	4	121	18	4	26	10	3	120	7	56	8	62	2	2	1	16	81	71	4	74	17	13	5	121	5	15	9	9	11	1					
7	Число избирательных бюллетеней в переносных ящиках	1717	57	96	58	94	65	44	33	74	56	22	0	205	7	90	12	8	61	10	14	5	39	0	0	2	31	19	12	21	54	0	0	0	14	0	66	0	18	13	34	6	39	0	32	50	36	13	43	13	10	4	48	0	0	0	44	21	24					
8	Число бюллетеней в стационарных ящиках для голосования	18209	682	678	752	740	480	466	297	705	795	518	128	1008	187	764	50	157	823	78	172	83	477	78	83	168	870	215	89	115	485	145	65	98	132	92	484	67	181	129	409	93	162	79	477	369	193	111	383	110	156	67	321	76	148	183	947	213	176					
9	Число недействительных избирательных бюллетеней	265	11	4	9	6	6	5	2	9	11	2	0	21	2	6	0	1	10	1	1	0	10	1	0	0	73	3	0	1	6	2	0	0	2	1	3	0	0	0	4	0	1	0	15	5	4	2	10	2	0	0	1	0	0	3	6	3	0					
10	Число действительных избирательных бюллетеней	19661	728	770	801	828	539	505	328	770	840	538	128	1192	192	848	62	164	874	87	185	88	506	77	83	170	828	231	101	135	533	143	65	98	144	91	547	67	199	142	439	99	200	79	494	414	225	122	416	121	166	71	368	76	148	180	985	231	200					
