Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Белоглинская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК  501	УИК  502	УИК  503	УИК  504	УИК  505	УИК  506	УИК  507	УИК  508	УИК  509	УИК  510	УИК  511	УИК  512	УИК  513	УИК  514	УИК  515	УИК  516	УИК  517	УИК  518	УИК  519	УИК  520	УИК  521	УИК  522					
1	"Число избирателей, внесенных в списки"	25905	1790	1689	1793	952	1515	1680	1407	2006	1369	137	547	954	309	155	399	1762	1560	757	887	1631	1924	682					
2	"Число бюллетеней, полученных участковыми комиссиями"	25395	1755	1620	1765	935	1465	1580	1350	1922	1310	147	535	940	397	152	395	1740	1610	744	890	1585	1900	658					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	14246	869	766	905	511	741	857	788	1055	741	72	313	631	297	122	263	1128	912	515	538	857	949	416					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	943	63	41	41	48	36	43	33	68	43	7	10	45	12	3	24	40	132	66	28	50	78	32					
6	Число погашенных бюллетеней	10206	823	813	819	376	688	680	529	799	526	68	212	264	88	27	108	572	566	163	324	678	873	210					
7	Число бюллетеней в переносных ящиках для голосования	943	63	41	41	48	36	43	33	68	43	7	10	45	12	3	24	40	132	66	28	50	78	32					
8	Число бюллетеней в стационарных ящиках для голосования	14245	869	766	905	511	741	856	788	1055	741	72	313	631	297	122	263	1128	912	515	538	857	949	416					
9	Число недействительных бюллетеней	210	18	10	14	10	11	8	11	11	13	2	13	4	5	4	9	20	15	4	3	8	14	3					
10	Число действительных бюллетеней	14978	914	797	932	549	766	891	810	1112	771	77	310	672	304	121	278	1148	1029	577	563	899	1013	445					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	170	10	10	10	5	10	10	10	10	10	5	5	5	5	5	5	10	10	5	5	10	10	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	25	1	2	1	1	2	3	0	1	1	0	0	1	0	0	0	5	2	0	1	0	3	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	21	2	0	0	0	0	5	2	2	2	0	0	0	0	1	1	0	3	0	0	0	1	2					
14	Число погашенных открепительных удостоверений	145	9	8	9	4	8	7	10	9	9	5	5	4	5	5	5	5	8	5	4	10	7	4					
15	Число открепительных удостоверений выданных ТИК	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
