Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																												
Дата голосования: 04.12.2011																																																																												
																																																																												
"Наименование Избирательной комиссии:    Липецк, Советская"																																																																												
																																																																												
Сводная таблица результатов выборов																																																																												
																																																																												
		Сумма	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174					
1	"Число избирателей, внесенных в список избирателей"	135870	1384	1385	1312	1087	2412	2051	1707	2308	2611	2303	1587	2062	2218	1744	1764	2876	2802	2566	2030	2074	1413	1728	1773	1938	1664	2014	2388	2266	1958	1916	2227	1780	1880	2530	142	73	217	2029	2319	2090	2040	1964	2275	2186	1873	2308	2293	1727	1344	1775	1878	1919	2354	2405	2431	1967	1777	2197	1912	2133	1885	2420	2270	1535	2410	2442	2302	2602	2618					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	114300	1100	1200	1100	900	2000	1700	1400	1900	2100	1900	1300	1700	1800	1500	1500	2300	2300	2100	1700	1700	1200	1500	1500	1600	1400	1700	2000	1900	1600	1600	1800	1500	1600	2100	170	80	250	1800	2000	1800	1800	1700	2000	1900	1700	2000	2000	1500	1200	1600	1700	1700	2000	2000	2000	1600	1500	1800	1600	1800	1600	2000	1900	1300	2000	2000	1900	2100	2100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	68454	719	619	723	525	1380	1117	841	1177	1158	1252	882	1038	1286	920	978	1835	1606	1325	962	944	696	801	921	957	791	949	1127	1009	1045	963	1108	904	931	1320	99	0	117	905	1110	936	1048	950	1234	1162	952	1171	1445	901	744	974	1024	982	1278	1202	1090	961	878	1074	895	1123	973	1241	1161	645	1126	1078	935	1152	1079					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2264	35	19	30	31	37	35	40	35	29	44	46	26	33	20	40	55	28	16	26	20	30	37	18	47	28	20	39	30	41	47	38	34	18	28	16	52	62	32	44	32	29	28	39	43	46	78	23	24	30	22	23	40	26	33	28	6	29	28	49	18	21	36	23	3	38	36	67	23	37					
6	Число погашенных избирательных бюллетеней	43582	346	562	347	344	583	548	519	688	913	604	372	636	481	560	482	410	666	759	712	736	474	662	561	596	581	731	834	861	514	590	654	562	651	752	55	28	71	863	846	832	723	722	727	695	702	751	532	575	426	604	653	678	696	765	882	633	593	698	656	659	606	723	716	652	836	886	898	925	984					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2264	35	19	30	31	37	35	40	35	29	44	46	26	33	20	40	55	28	16	26	20	30	37	18	47	28	20	39	30	41	47	38	34	18	28	16	52	62	32	44	32	29	28	39	43	46	78	23	24	30	22	23	40	26	33	28	6	29	28	49	18	21	36	23	3	38	36	67	23	37					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	68419	719	619	723	524	1380	1117	841	1177	1158	1251	882	1038	1286	920	978	1835	1606	1324	960	944	695	799	918	957	788	940	1127	1009	1045	963	1108	904	931	1320	99	0	117	905	1110	936	1048	950	1234	1162	951	1171	1444	901	744	974	1024	982	1271	1201	1090	961	877	1074	895	1123	973	1241	1161	645	1126	1078	934	1152	1079					
9	Число недействительных избирательных бюллетеней	1552	17	20	13	13	30	34	18	19	14	20	10	80	30	5	15	34	31	27	19	15	17	18	23	15	27	18	24	37	31	16	17	25	23	51	2	1	5	16	35	35	29	20	28	19	18	33	33	18	24	18	26	25	31	32	24	17	27	21	15	17	19	20	32	7	20	23	22	10	24					
10	Число действительных избирательных бюллетеней	69131	737	618	740	542	1387	1118	863	1193	1173	1275	918	984	1289	935	1003	1856	1603	1313	967	949	708	818	913	989	789	942	1142	1002	1055	994	1129	913	926	1297	113	51	174	921	1119	933	1048	958	1245	1186	979	1216	1434	907	750	978	1021	997	1266	1202	1094	950	879	1081	929	1124	975	1257	1152	641	1144	1091	979	1165	1092					
