Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Азовская городская																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	62563	1898	1384	2750	2913	661	1043	1122	180	1275	1678	1480	1149	1111	1599	1485	1162	1422	1452	1359	1220	1461	1427	1684	1132	1036	1502	1356	1410	1564	1082	1367	1322	1342	1319	1884	1007	980	1742	1326	1571	1224	1640	1230	2486	126									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	59460	1775	1320	2640	2795	630	985	1050	165	1190	1590	1415	1095	1090	1545	1360	1065	1360	1395	1290	1150	1405	1320	1615	1090	995	1445	1300	1295	1470	1050	1315	1235	1300	1255	1805	965	950	1680	1260	1445	1180	1560	1180	2315	125									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26641	689	495	1348	1420	249	387	435	100	492	721	721	407	549	676	677	467	651	554	643	622	526	610	630	408	435	582	501	774	733	520	691	616	496	551	733	495	264	725	753	830	393	952	436	609	75									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	964	13	8	11	70	14	11	3	7	3	11	9	3	7	16	49	72	29	7	15	16	38	29	29	3	1	15	56	21	50	4	21	14	19	6	16	42	16	12	45	100	19	9	14	7	4									
6	Число погашенных избирательных бюллетеней	31855	1073	817	1281	1305	367	587	612	58	695	858	685	685	534	853	634	526	680	834	632	512	841	681	956	679	559	848	743	500	687	526	603	605	785	698	1056	428	670	943	462	515	768	599	730	1699	46									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	964	13	8	11	70	14	11	3	7	3	11	9	3	7	16	49	72	29	7	15	16	38	29	29	3	1	15	56	21	50	4	21	14	19	6	16	42	16	12	45	100	19	9	14	7	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	26634	689	495	1348	1420	249	387	435	100	492	721	721	407	549	673	676	467	649	554	643	622	526	610	630	408	435	582	501	774	733	520	691	616	496	551	733	495	264	725	753	830	393	952	435	609	75									
9	Число недействительных избирательных бюллетеней	393	17	3	0	14	3	11	7	3	13	23	0	5	8	9	19	13	10	11	12	11	4	13	1	13	7	11	3	4	13	5	8	23	8	5	4	15	3	13	0	3	14	6	14	10	1									
10	Число действительных избирательных бюллетеней	27205	685	500	1359	1476	260	387	431	104	482	709	730	405	548	680	706	526	668	550	646	627	560	626	658	398	429	586	554	791	770	519	704	607	507	552	745	522	277	724	798	927	398	955	435	606	78									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2403	45	40	105	60	25	30	50	3	40	55	30	35	50	75	65	40	60	45	70	45	65	55	55	60	40	60	65	40	45	40	60	40	50	45	110	40	30	80	70	65	60	120	80	55	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	940	18	15	51	24	10	11	14	1	16	9	25	18	19	29	26	23	23	28	25	26	26	16	21	15	14	38	27	17	26	16	24	27	21	18	18	23	15	29	22	9	23	28	20	31	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	917	10	7	46	21	6	21	15	9	28	14	15	14	5	11	36	22	12	16	40	26	13	55	3	15	10	15	15	69	39	6	19	56	14	26	10	24	2	3	20	55	12	36	2	23	1									
14	Число погашенных неиспользованных открепительных удостоверений	1463	27	25	54	36	15	19	36	2	24	46	5	17	31	46	39	17	37	17	45	19	39	39	34	45	26	22	38	23	19	24	36	13	29	27	92	17	15	51	48	56	37	92	60	24	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	37	1	0	5	1	0	0	0	0	0	0	0	1	1	1	1	2	1	0	2	1	1	0	1	1	0	1	0	0	1	2	1	1	1	2	0	0	2	1	1	1	1	0	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																								
