Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																		
Дата голосования: 07.12.2003 0:00:00																		
																		
Наименование Избирательной комиссии:    Тандинская																		
																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																		
																		
		Сумма	УИК  127	УИК  128	УИК  129	УИК  130	УИК  131	УИК  132	УИК  133	УИК  134	УИК  135	УИК  136	УИК  137					
1	"Число избирателей, внесенных в списки"	7674	1942	851	509	81	1873	238	189	521	683	223	564					
2	"Число бюллетеней, полученных участковыми комиссиями"	7342	1890	817	499	87	1690	232	183	523	648	217	556					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	82	0	0	1	3	53	0	0	10	0	0	15					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4591	999	530	306	65	1040	215	143	334	451	177	331					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	172	43	27	21	0	30	3	0	24	22	1	1					
6	Число погашенных бюллетеней	2497	848	260	171	19	567	14	40	155	175	39	209					
7	Число бюллетеней в переносных ящиках для голосования	254	43	27	22	3	83	3	0	34	22	1	16					
8	Число бюллетеней в стационарных ящиках для голосования	4589	999	529	306	65	1039	215	143	334	451	177	331					
9	Число недействительных бюллетеней	151	35	8	13	3	34	1	5	8	29	11	4					
10	Число действительных бюллетеней	4692	1007	548	315	65	1088	217	138	360	444	167	343					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	40	20	20	5	35	5	10	20	20	5	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	70	20	9	2	0	6	5	0	12	10	3	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	32	12	1	0	1	7	1	0	3	2	3	2					
14	Число погашенных открепительных удостоверений	130	20	11	18	5	29	0	10	8	10	2	17					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	"1. ""ЕДИНЕНИЕ"""	159	22	13	13	1	25	6	5	18	22	9	25					
		3.28%	2.11%	2.33%	3.96%	1.47%	2.22%	2.75%	3.49%	4.89%	4.65%	5.05%	7.20%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	32	5	0	3	1	12	1	0	8	0	2	0					
		0.66%	0.47%	0.0%	0.91%	1.47%	1.06%	0.45%	0.0%	2.17%	0.0%	1.12%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	93	16	8	7	1	24	8	7	9	1	1	11					
		1.92%	1.53%	1.43%	2.13%	1.47%	2.13%	3.66%	4.89%	2.44%	0.21%	0.56%	3.17%					
