Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																															
Дата голосования: 04.12.2011																															
																															
Наименование Избирательной комиссии:    Юкаменская																															
																															
Сводная таблица результатов выборов																															
																															
		Сумма	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224					
1	"Число избирателей, внесенных в список избирателей"	9171	921	647	239	858	755	397	267	148	670	140	225	178	376	263	313	236	95	637	167	628	177	333	270	231					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9190	940	640	240	850	750	400	270	150	650	140	230	180	380	260	300	240	90	640	170	640	180	340	270	240					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5785	572	392	152	568	471	279	155	98	392	84	126	113	242	185	200	160	60	386	129	400	86	197	205	133					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	656	51	39	3	25	37	21	32	9	60	9	33	15	16	17	31	32	10	38	16	47	41	36	24	14					
6	Число погашенных избирательных бюллетеней	2749	317	209	85	257	242	100	83	43	198	47	71	52	122	58	69	48	20	216	25	193	53	107	41	93					
7	Число избирательных бюллетеней в переносных ящиках для голосования	656	51	39	3	25	37	21	32	9	60	9	33	15	16	17	31	32	10	38	16	47	41	36	24	14					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5780	572	392	152	568	471	279	155	98	392	84	126	108	242	185	200	160	60	386	129	400	86	197	205	133					
9	Число недействительных избирательных бюллетеней	127	10	13	29	5	18	2	1	2	0	0	10	1	6	0	4	0	0	4	0	5	0	7	9	1					
10	Число действительных избирательных бюллетеней	6309	613	418	126	588	490	298	186	105	452	93	149	122	252	202	227	192	70	420	145	442	127	226	220	146					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	171	10	10	5	10	10	10	5	5	10	5	5	5	12	5	5	5	5	10	5	12	5	5	7	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	97	10	7	1	4	6	2	3	2	3	1	1	4	11	1	2	1	0	8	5	12	5	3	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	39	8	4	0	1	1	3	3	0	1	0	0	0	0	1	1	1	1	4	2	5	0	0	2	1					
14	Число погашенных неиспользованных открепительных удостоверений	74	0	3	4	6	4	8	2	3	7	4	4	1	1	4	3	4	5	2	0	0	0	2	2	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	384	51	34	5	49	29	23	10	4	26	4	6	4	14	6	10	18	3	31	3	29	4	10	1	10					
