Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    ЗАТО Северск																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК  181	УИК  182	УИК  183	УИК  184	УИК  185	УИК  186	УИК  187	УИК  188	УИК  189	УИК  190	УИК  191	УИК  192	УИК  193	УИК  194	УИК  195	УИК  196	УИК  197	УИК  198	УИК  199	УИК  200	УИК  201	УИК  202	УИК  203	УИК  204	УИК  205	УИК  206	УИК  207	УИК  208	УИК  209	УИК  210	УИК  211	УИК  212	УИК  213	УИК  214	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220					
1	"Число избирателей, внесенных в список"	96113	2537	349	2729	2488	2737	2850	2674	2776	2907	2893	2830	2932	2620	2396	2741	2589	2768	2712	2959	2867	2399	2648	1838	2696	2170	3130	1783	2609	2962	2504	3027	2650	2805	2191	2372	356	394	1954	2753	518					
2	Число полученных избирательных бюллетеней	95080	2500	400	2700	2400	2700	2800	2700	2800	2900	2900	2800	2900	2600	2400	2700	2500	2700	2700	2900	2900	2400	2600	1800	2700	2100	2900	1800	2600	2900	2500	3000	2600	2800	2200	2300	400	380	1900	2800	500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	62910	1727	318	1827	1619	1774	1801	1899	1926	2057	1987	1915	1930	1725	1555	1742	1707	1724	1756	1917	1831	1540	1678	1152	1599	1413	2388	1212	1646	1935	1693	1932	1737	1686	1429	1508	334	205	1064	1658	364					
5	"Число избирательных бюллетеней, выданных вне помещения"	2000	31	0	31	63	37	57	26	18	32	46	42	47	34	51	34	34	48	42	25	59	37	36	43	40	50	79	28	39	47	31	335	29	23	90	76	0	50	79	100	31					
6	Число погашенных избирательных бюллетеней	30170	742	82	842	718	889	942	775	856	811	867	843	923	841	794	924	759	928	902	958	1010	823	886	605	1061	637	433	560	915	918	776	733	834	1091	681	716	66	125	757	1042	105					
7	Число избирательных бюллетеней в переносных ящиках	2000	31	0	31	63	37	57	26	18	32	46	42	47	34	51	34	34	48	42	25	59	37	36	43	40	50	79	28	39	47	31	335	29	23	90	76	0	50	79	100	31					
8	Число бюллетеней в стационарных ящиках для голосования	62879	1726	318	1827	1617	1773	1801	1896	1926	2057	1987	1914	1929	1722	1555	1742	1705	1724	1756	1914	1831	1538	1677	1152	1597	1413	2388	1212	1644	1935	1693	1932	1737	1683	1427	1507	334	205	1063	1658	364					
9	Число недействительных избирательных бюллетеней	421	11	5	7	6	13	17	8	11	5	14	11	12	11	9	16	20	14	5	10	18	11	14	7	14	5	7	7	16	20	6	24	5	11	7	15	1	1	7	13	7					
10	Число действительных избирательных бюллетеней	64458	1746	313	1851	1674	1797	1841	1914	1933	2084	2019	1945	1964	1745	1597	1760	1719	1758	1793	1929	1872	1564	1699	1188	1623	1458	2460	1233	1667	1962	1718	2243	1761	1695	1510	1568	333	254	1135	1745	388					
11	Число полученных открепительных  удостоверений	1860	50	0	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	40	50	40	100	40	50	50	50	50	50	50	50	50	0	30	40	40	30					
12	Число выданных открепительных удостоверений	1117	17	0	32	26	25	34	25	36	26	23	36	30	32	33	27	23	34	32	36	44	25	22	20	21	25	92	24	21	22	40	42	43	22	24	23	0	3	13	34	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	452	12	23	13	15	12	7	10	4	4	14	19	21	4	10	9	4	3	7	7	7	9	10	3	6	18	46	7	3	30	16	16	7	11	3	1	20	7	12	10	12					
14	Число неиспользованных открепительных удостоверений	743	33	0	18	24	25	16	25	14	24	27	14	20	18	17	23	27	16	18	14	6	25	28	20	29	15	8	16	29	28	10	8	7	28	26	27	0	27	27	6	0					
