Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
"Наименование Избирательной комиссии:    Бийск, Восточная"																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	83040	1997	1528	795	826	1598	1850	1484	1508	1371	1331	1015	2239	2034	1209	1464	1817	1549	1988	1615	1866	2062	593	1859	1519	1643	2055	874	1665	1408	2262	1345	1407	888	1553	1536	1978	1132	1760	1398	1507	1636	1867	1485	1411	1071	1308	2286	2267	2403	1937	1391	2450									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	60600	1400	1100	600	600	1200	1400	1100	1100	1000	1000	800	1600	1500	900	1100	1300	1100	1400	1200	1400	1500	500	1400	1100	1200	1500	700	1200	1000	1600	1000	1000	700	1100	1100	1300	800	1300	1000	1100	1200	1400	1100	1000	800	1000	1700	1600	1700	1400	1000	1800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26452	482	422	141	140	486	693	551	522	432	547	320	687	424	492	564	636	570	746	620	669	494	217	702	529	290	628	243	509	545	665	474	498	175	445	446	800	297	448	393	482	482	575	455	384	292	383	859	900	829	493	417	959									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1192	31	9	3	4	25	12	6	5	12	14	10	5	205	15	11	18	13	17	23	7	10	3	27	48	23	21	8	25	15	21	26	11	28	24	24	10	7	24	59	19	23	15	20	41	14	11	8	21	119	16	10	16									
6	Число погашенных избирательных бюллетеней	32956	887	669	456	456	689	695	543	573	556	439	470	908	871	393	525	646	517	637	557	724	996	280	671	523	887	851	449	666	440	914	500	491	497	631	630	490	496	828	548	599	695	810	625	575	494	606	833	679	752	891	573	825									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1156	31	9	3	4	25	12	6	5	12	14	10	5	205	15	11	18	13	17	23	7	10	3	27	12	23	21	8	25	15	21	26	11	28	24	24	10	7	24	59	19	23	15	20	41	14	11	8	21	119	16	10	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	26423	482	422	141	140	486	693	551	522	431	547	320	687	424	492	564	634	570	744	620	669	494	217	702	529	290	628	243	509	545	665	474	498	175	445	446	798	297	448	393	482	482	575	455	384	292	383	859	879	829	493	417	958									
9	Число недействительных избирательных бюллетеней	835	16	15	2	10	22	23	17	16	6	16	11	29	18	20	22	14	14	9	22	11	24	2	26	15	5	25	8	21	20	24	19	13	2	19	12	14	7	9	8	20	13	14	7	13	12	12	24	41	29	17	17	30									
10	Число действительных избирательных бюллетеней	26744	497	416	142	134	489	682	540	511	437	545	319	663	611	487	553	638	569	752	621	665	480	218	703	526	308	624	243	513	540	662	481	496	201	450	458	794	297	463	444	481	492	576	468	412	294	382	843	859	919	492	410	944									
