Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Глазовская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14843	791	799	230	281	635	496	545	470	1043	847	647	404	937	1216	337	776	1392	452	186	348	278	547	1186									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15245	790	790	230	300	680	540	560	490	1040	880	670	425	960	1240	340	800	1400	470	190	380	300	580	1190									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7124	364	325	80	134	284	212	299	259	521	409	364	232	380	629	174	370	614	198	66	155	166	271	618									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	828	28	16	18	30	64	41	16	41	37	41	21	19	107	41	21	44	46	57	11	51	16	39	23									
6	Число погашенных избирательных бюллетеней	7293	398	449	132	136	332	287	245	190	482	430	285	174	473	570	145	386	740	215	113	174	118	270	549									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	828	28	16	18	30	64	41	16	41	37	41	21	19	107	41	21	44	46	57	11	51	16	39	23									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7123	364	325	80	134	284	212	299	259	521	409	364	232	379	629	174	370	614	198	66	155	166	271	618									
9	Число недействительных избирательных бюллетеней	277	13	11	2	6	4	12	19	12	20	14	14	5	21	22	3	14	30	8	1	8	7	5	26									
10	Число действительных избирательных бюллетеней	7674	379	330	96	158	344	241	296	288	538	436	371	246	465	648	192	400	630	247	76	198	175	305	615									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	765	30	30	40	20	45	45	25	30	30	40	25	40	30	50	20	50	50	20	10	30	25	30	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	529	15	9	1	20	45	35	15	26	11	40	25	33	12	41	20	24	17	12	10	30	25	30	33									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	163	10	15	5	0	7	2	5	9	10	8	3	8	9	11	10	1	6	5	5	6	1	5	22									
14	Число погашенных неиспользованных открепительных удостоверений	236	15	21	39	0	0	10	10	4	19	0	0	7	18	9	0	26	33	8	0	0	0	0	17									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	2	0	0	2	2	2	0	0	1	1	0	0	0	0	1	2	0	0	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	72	4	4	0	0	0	3	4	1	10	1	5	1	5	7	1	3	9	3	3	2	2	2	2									
