Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																								
Дата голосования: 07.12.2003 0:00:00																																																																																								
																																																																																								
Наименование Избирательной комиссии:    Муромская																																																																																								
																																																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																								
																																																																																								
		Сумма	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903					
1	"Число избирателей, внесенных в списки"	126181	1124	1308	2176	1956	2226	2724	2342	1083	1273	1989	2347	2259	1174	2774	2261	2362	2125	2133	2700	2064	2262	1785	933	1827	2826	2070	2654	2390	2826	2295	2212	2689	2946	2609	2597	2552	2329	2835	2914	2237	2152	2457	2343	2350	2569	2184	2600	1283	276	657	992	344	289	2116	1442	1773	223	1531	465	370	209	386	754	649	1006	214	291	383	378	544	807	409	214	667	1065	176	313	416	221	327	148					
2	"Число бюллетеней, полученных участковыми комиссиями"	122960	1100	1200	2100	1900	2100	2700	2300	1000	1200	1950	2300	2200	2200	2700	2200	2300	2000	2000	2600	2000	2200	1750	900	1700	2700	1900	2600	2300	2700	2200	2100	2600	2800	2500	2500	2500	2200	2800	2800	2100	2000	2300	2200	2200	2500	2100	2500	1250	250	650	950	340	280	2200	1500	1700	250	1500	450	390	200	380	800	640	1000	200	290	380	350	550	800	420	200	670	1050	180	300	430	220	340	150					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	55366	481	657	909	802	1139	1221	1162	438	674	694	970	873	1109	1278	974	1171	1010	871	1233	900	995	721	368	806	1104	708	1140	886	1282	1004	858	1100	1407	1177	1041	1100	1034	939	1096	722	835	1086	1016	1148	1135	822	1263	602	124	324	429	151	150	1005	659	799	92	713	234	178	99	180	315	292	478	115	95	206	204	235	316	185	114	316	596	94	230	163	70	156	88					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3906	24	25	21	44	59	28	32	73	39	82	63	22	65	20	41	29	40	18	32	48	29	39	20	79	72	142	51	18	35	55	49	46	32	65	52	35	23	87	39	52	59	23	74	72	30	53	39	85	55	14	28	35	43	51	40	89	47	70	51	48	29	56	108	72	44	15	51	47	47	38	65	24	16	38	90	33	21	119	90	40	32					
6	Число погашенных бюллетеней	63686	595	518	1170	1054	902	1451	1106	489	487	1174	1267	1305	1026	1402	1184	1100	950	1111	1335	1052	1176	990	512	815	1524	1050	1409	1396	1383	1141	1193	1454	1361	1258	1407	1365	1143	1774	1665	1326	1106	1191	1110	980	1335	1225	1198	563	71	312	493	154	87	1144	801	812	111	716	165	164	72	144	377	276	478	70	144	127	99	277	419	211	70	316	364	53	49	148	60	144	30					
7	Число бюллетеней в переносных ящиках для голосования	3906	24	25	21	44	59	28	32	73	39	82	63	22	65	20	41	29	40	18	32	48	29	39	20	79	72	142	51	18	35	55	49	46	32	65	52	35	23	87	39	52	59	23	74	72	30	53	39	85	55	14	28	35	43	51	40	89	47	70	51	48	29	56	108	72	44	15	51	47	47	38	65	24	16	38	90	33	21	119	90	40	32					
8	Число бюллетеней в стационарных ящиках для голосования	55337	481	657	909	802	1139	1221	1160	438	673	694	970	873	1107	1278	974	1170	1010	871	1228	900	995	715	368	806	1104	706	1140	885	1282	1004	858	1099	1407	1177	1038	1100	1034	939	1096	720	835	1085	1016	1148	1135	822	1263	602	124	324	429	151	150	1005	658	799	92	712	234	178	99	180	315	292	478	115	95	206	204	235	316	185	114	316	596	94	230	163	70	156	88					
9	Число недействительных бюллетеней	856	7	14	18	8	9	15	12	15	13	19	21	15	10	16	7	17	15	8	14	7	8	11	12	2	17	10	15	2	12	18	10	23	18	23	10	14	17	13	16	2	13	9	11	17	7	8	21	19	10	9	9	9	9	18	16	16	2	21	0	8	0	0	6	10	14	5	4	7	4	7	5	5	1	7	10	7	10	1	5	3	0					
10	Число действительных бюллетеней	58387	498	668	912	838	1189	1234	1180	496	699	757	1012	880	1162	1282	1008	1182	1035	881	1246	941	1016	743	376	883	1159	838	1176	901	1305	1041	897	1122	1421	1219	1080	1121	1040	1013	1119	770	881	1099	1079	1203	1158	867	1281	668	169	329	448	177	184	1038	682	872	137	761	285	218	128	236	417	354	508	125	142	246	247	266	376	204	129	347	676	120	241	281	155	193	120					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1460	15	20	25	20	25	25	25	15	15	20	25	25	25	25	20	25	20	20	25	20	20	20	10	20	30	20	30	20	40	30	30	30	40	30	30	30	30	40	40	30	30	30	30	30	30	30	30	10	5	5	10	5	5	20	15	20	10	15	5	5	5	5	10	5	10	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	426	1	20	4	9	8	5	11	7	5	4	4	9	13	6	2	6	9	10	12	8	11	12	1	7	11	1	10	12	5	6	11	15	15	4	10	15	11	12	4	4	23	2	6	8	4	4	8	0	0	0	10	0	1	10	4	6	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	3	0	2	0	0	0	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	294	3	1	1	4	3	3	5	8	2	2	7	3	10	4	7	4	8	4	8	3	7	6	2	3	5	2	12	0	2	11	5	7	8	5	5	10	6	5	10	6	10	5	5	1	2	0	1	2	1	4	1	0	5	1	2	3	3	4	2	1	2	0	2	0	7	1	3	4	2	1	1	1	1	0	2	0	3	3	0	1	0					
