Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Сунтарская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538					
1	"Число избирателей, внесенных в список"	14062	396	132	497	174	480	82	1214	183	438	263	175	599	1064	878	1222	795	929	95	253	124	541	66	252	285	302	417	878	342	514	60	412					
2	Число полученных избирательных бюллетеней	14835	420	140	490	180	540	90	1295	195	475	280	220	625	1100	935	1200	810	970	100	265	135	540	70	260	335	325	445	930	370	580	70	445					
3	"Число избирательных бюллетеней, выданных  досрочно"	115	48	0	11	0	0	0	7	0	0	3	0	0	0	0	0	0	0	0	9	0	31	0	0	0	0	0	0	0	0	0	6					
4	"Число избирательных бюллетеней, выданных в день голосования"	10912	281	107	376	168	396	79	923	170	366	249	160	401	737	602	836	564	598	86	206	120	455	64	228	238	286	330	758	309	407	53	359					
5	"Число избирательных бюллетеней, выданных вне помещения"	1137	41	25	71	6	49	3	171	6	42	10	9	61	42	37	54	34	40	8	30	4	47	2	14	39	15	54	63	23	87	7	43					
6	Число погашенных избирательных бюллетеней	2671	50	8	32	6	95	8	194	19	67	18	51	163	321	296	310	212	332	6	20	11	7	4	18	58	24	61	109	38	86	10	37					
7	Число избирательных бюллетеней в переносных ящиках	1252	89	25	82	6	49	3	178	6	42	13	9	61	42	37	54	34	40	8	39	4	78	2	14	39	15	54	63	23	87	7	49					
8	Число бюллетеней в стационарных ящиках для голосования	10912	281	107	376	168	396	79	923	170	366	249	160	401	737	602	836	564	598	86	206	120	455	64	228	238	286	330	758	309	407	53	359					
9	Число недействительных избирательных бюллетеней	130	1	0	7	1	10	3	9	1	3	2	1	0	10	6	9	12	12	0	1	0	0	0	0	4	5	4	12	8	5	3	1					
10	Число действительных избирательных бюллетеней	12034	369	132	451	173	435	79	1092	175	405	260	168	462	769	633	881	586	626	94	244	124	533	66	242	273	296	380	809	324	489	57	407					
11	Число полученных открепительных  удостоверений	597	10	15	15	13	64	6	79	9	35	30	15	15	24	22	20	15	13	2	24	5	22	10	9	10	10	14	17	14	30	10	20					
12	Число выданных открепительных удостоверений	580	10	14	15	13	64	6	79	9	35	30	14	15	24	22	20	15	13	1	24	5	16	7	7	9	10	12	17	14	30	10	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	250	2	5	6	9	8	2	18	2	7	11	4	15	24	18	27	17	9	1	3	2	6	3	5	9	1	8	10	5	9	3	1					
14	Число неиспользованных открепительных удостоверений	17	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	6	3	2	1	0	2	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																						
18	. Глазьев Сергей Юрьевич	297	12	2	10	0	4	10	20	5	16	15	4	9	33	9	22	14	16	0	6	3	8	3	5	14	6	11	15	2	12	0	11					
		2.44%	3.24%	1.52%	2.18%	0.00%	0.90%	12.20%	1.82%	2.84%	3.92%	5.73%	2.37%	1.95%	4.24%	1.41%	2.47%	2.34%	2.51%	0.00%	2.45%	2.42%	1.50%	4.55%	2.07%	5.05%	1.99%	2.86%	1.83%	0.60%	2.43%	0.00%	2.70%					
19	. Малышкин Олег Александрович	75	4	0	3	0	4	0	8	2	2	0	2	6	2	3	6	2	4	0	3	2	1	0	2	2	3	1	2	1	7	0	3					
		0.62%	1.08%	0.00%	0.66%	0.00%	0.90%	0.00%	0.73%	1.14%	0.49%	0.00%	1.18%	1.30%	0.26%	0.47%	0.67%	0.33%	0.63%	0.00%	1.22%	1.61%	0.19%	0.00%	0.83%	0.72%	1.00%	0.26%	0.24%	0.30%	1.42%	0.00%	0.74%					
20	. Миронов Сергей Михайлович	111	4	0	4	2	9	2	13	1	4	2	0	4	8	7	5	8	5	0	3	0	1	1	0	6	2	5	9	4	2	0	0					
		0.91%	1.08%	0.00%	0.87%	1.15%	2.02%	2.44%	1.18%	0.57%	0.98%	0.76%	0.00%	0.87%	1.03%	1.10%	0.56%	1.34%	0.78%	0.00%	1.22%	0.00%	0.19%	1.52%	0.00%	2.17%	0.66%	1.30%	1.10%	1.20%	0.40%	0.00%	0.00%					
21	. Путин Владимир Владимирович	7978	190	92	253	120	273	50	733	110	255	202	105	280	440	395	518	358	367	73	148	70	448	49	215	197	234	275	588	238	361	38	303					
		65.59%	51.35%	69.70%	55.24%	68.97%	61.35%	60.98%	66.58%	62.50%	62.50%	77.10%	62.13%	60.61%	56.48%	61.82%	58.20%	59.87%	57.52%	77.66%	60.41%	56.45%	84.05%	74.24%	88.84%	71.12%	77.74%	71.61%	71.62%	71.69%	73.08%	63.33%	74.26%					
22	. Хакамада Ирина Муцуовна	1383	37	14	49	20	64	8	115	23	37	34	19	74	160	119	117	82	110	4	22	9	12	5	10	10	27	29	84	29	30	9	21					
		11.37%	10.00%	10.61%	10.70%	11.49%	14.38%	9.76%	10.45%	13.07%	9.07%	12.98%	11.24%	16.02%	20.54%	18.62%	13.15%	13.71%	17.24%	4.26%	8.98%	7.26%	2.25%	7.58%	4.13%	3.61%	8.97%	7.55%	10.23%	8.73%	6.07%	15.00%	5.15%					
23	. Харитонов Николай Михайлович	2011	116	22	131	31	71	8	183	33	85	5	30	79	112	86	191	109	113	17	61	38	62	8	9	38	24	54	99	44	75	10	67					
		16.53%	31.35%	16.67%	28.60%	17.82%	15.96%	9.76%	16.62%	18.75%	20.83%	1.91%	17.75%	17.10%	14.38%	13.46%	21.46%	18.23%	17.71%	18.09%	24.90%	30.65%	11.63%	12.12%	3.72%	13.72%	7.97%	14.06%	12.06%	13.25%	15.18%	16.67%	16.42%					
																																						
24	Против всех	179	6	2	1	0	10	1	20	1	6	2	8	10	14	14	22	13	11	0	1	2	1	0	1	6	0	5	12	6	2	0	2					
		1.47%	1.62%	1.52%	0.22%	0.00%	2.25%	1.22%	1.82%	0.57%	1.47%	0.76%	4.73%	2.16%	1.80%	2.19%	2.47%	2.17%	1.72%	0.00%	0.41%	1.61%	0.19%	0.00%	0.41%	2.17%	0.00%	1.30%	1.46%	1.81%	0.40%	0.00%	0.49%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
