Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    Череповецкая																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	32242	896	1165	1028	236	361	397	1548	261	2024	1119	226	195	1790	1137	1071	297	274	334	155	1538	1498	1442	133	223	333	2060	2127	498	319	346	700	267	507	402	125	125	500	434	491	896	384	140	242	1998									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31850	893	1150	1020	231	353	379	1520	260	2010	1080	222	189	1790	1130	1070	304	260	324	134	1530	1490	1430	126	212	315	2050	2120	495	310	338	701	258	506	397	129	128	485	420	489	881	379	138	230	1974									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10449	253	383	286	77	74	92	613	110	787	336	60	44	564	336	411	77	82	75	62	583	436	469	55	66	114	654	663	135	94	95	265	90	119	121	38	32	121	111	125	364	131	32	52	762									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1869	78	21	120	20	22	72	39	9	25	122	54	54	10	74	25	23	11	72	23	15	22	11	10	35	28	6	6	0	65	88	25	16	47	44	13	23	75	58	138	74	61	36	55	44									
6	Число погашенных избирательных бюллетеней	19532	562	746	614	134	257	215	868	141	1198	622	108	91	1216	720	634	204	167	177	49	932	1032	950	61	111	173	1390	1451	360	151	155	411	152	340	232	78	73	289	251	226	443	187	70	123	1168									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1869	78	21	120	20	22	72	39	9	25	122	54	54	10	74	25	23	11	72	23	15	22	11	10	35	28	6	6	0	65	88	25	16	47	44	13	23	75	58	138	74	61	36	55	44									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10447	253	383	286	77	74	92	613	110	785	336	60	44	564	336	411	77	82	75	62	583	436	469	55	66	114	654	663	135	94	95	265	90	119	121	38	32	121	111	125	364	131	32	52	762									
9	Число недействительных избирательных бюллетеней	248	6	8	2	1	3	3	18	3	16	4	1	0	12	8	10	7	5	0	1	14	13	6	1	3	7	11	19	4	3	1	10	1	3	2	0	1	4	5	1	6	4	2	3	16									
10	Число действительных избирательных бюллетеней	12068	325	396	404	96	93	161	634	116	794	454	113	98	562	402	426	93	88	147	84	584	445	474	64	98	135	649	650	131	156	182	280	105	163	163	51	54	192	164	262	432	188	66	104	790									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1000	45	35	25	10	20	40	30	10	50	15	10	10	40	55	35	10	10	30	5	25	20	20	10	15	10	25	25	5	15	10	30	10	15	40	20	20	30	15	50	25	20	5	20	35									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	244	8	12	14	2	1	1	6	2	16	4	6	1	8	5	12	5	0	2	0	13	6	11	0	0	2	8	17	5	2	0	12	3	5	4	7	2	1	0	10	4	2	0	1	24									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	461	11	12	20	6	5	14	10	2	6	39	9	4	7	19	14	4	16	14	24	10	10	15	7	6	16	9	7	1	4	7	8	8	4	8	5	0	13	16	14	23	8	0	14	12									
14	Число погашенных неиспользованных открепительных удостоверений	756	37	23	11	8	19	39	24	8	34	11	4	9	32	50	23	5	10	28	5	12	14	9	10	15	8	17	8	0	13	10	18	7	10	36	13	18	29	15	40	21	18	5	19	11									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	31	1	0	2	0	1	0	4	1	2	1	0	0	1	1	2	1	1	1	0	2	2	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	149	5	3	3	0	2	2	10	3	11	3	2	3	6	8	3	2	0	6	0	6	7	5	0	2	3	6	8	0	2	0	1	2	3	1	1	0	1	0	3	10	1	3	2	10									
		1.21%	1.51%	0.74%	0.74%	0.00%	2.08%	1.22%	1.53%	2.52%	1.36%	0.66%	1.75%	3.06%	1.05%	1.95%	0.69%	2.00%	0.00%	4.08%	0.00%	1.00%	1.53%	1.04%	0.00%	1.98%	2.11%	0.91%	1.20%	0.00%	1.26%	0.00%	0.34%	1.89%	1.81%	0.61%	1.96%	0.00%	0.51%	0.00%	1.14%	2.28%	0.52%	4.41%	1.87%	1.24%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	318	7	7	4	0	2	7	12	2	20	16	1	3	9	13	10	1	3	10	3	17	10	10	4	9	2	18	18	2	2	6	6	1	2	6	2	1	3	7	10	10	9	3	4	26									
		2.58%	2.11%	1.73%	0.99%	0.00%	2.08%	4.27%	1.84%	1.68%	2.47%	3.49%	0.88%	3.06%	1.57%	3.17%	2.29%	1.00%	3.23%	6.80%	3.53%	2.84%	2.18%	2.08%	6.15%	8.91%	1.41%	2.73%	2.69%	1.48%	1.26%	3.28%	2.07%	0.94%	1.20%	3.64%	3.92%	1.82%	1.53%	4.14%	3.80%	2.28%	4.69%	4.41%	3.74%	3.23%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	422	9	7	19	4	2	7	19	3	21	22	3	4	17	13	16	1	4	9	1	30	12	17	0	2	4	23	25	3	4	1	16	3	3	9	1	2	8	5	3	20	10	3	3	34									
		3.43%	2.72%	1.73%	4.68%	4.12%	2.08%	4.27%	2.91%	2.52%	2.59%	4.80%	2.63%	4.08%	2.96%	3.17%	3.67%	1.00%	4.30%	6.12%	1.18%	5.02%	2.62%	3.54%	0.00%	1.98%	2.82%	3.48%	3.74%	2.22%	2.52%	0.55%	5.52%	2.83%	1.81%	5.45%	1.96%	3.64%	4.08%	2.96%	1.14%	4.57%	5.21%	4.41%	2.80%	4.22%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4869	149	191	144	49	49	81	223	49	278	154	48	55	247	164	153	36	37	65	40	213	145	191	28	37	56	220	238	50	91	74	131	39	81	72	26	33	81	78	158	165	83	30	50	287									
