Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																						
Дата голосования: 04.12.2011																																																																						
																																																																						
Наименование Избирательной комиссии:    Холмская судовая																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
		Сумма	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №453	УИК №454	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465					
1	"Число избирателей, внесенных в список избирателей"	1427	19	18	18	16	4	17	11	19	17	17	45	43	39	34	17	18	19	17	17	19	18	17	17	12	26	53	54	44	28	17	26	24	16	142	7	37	69	18	24	17	18	16	39	2	4	5	10	16	18	20	8	9	6	5	19	20	19	15	25	16	16	16	15					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	1427	19	18	18	16	4	17	11	19	17	17	45	43	39	34	17	18	19	17	17	19	18	17	17	12	26	53	54	44	28	17	26	24	16	142	7	37	69	18	24	17	18	16	39	2	4	5	10	16	18	20	8	9	6	5	19	20	19	15	25	16	16	16	15					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	1425	19	18	18	16	4	17	11	19	17	17	45	43	39	34	17	18	19	17	17	19	18	17	17	12	26	53	54	44	28	17	26	24	16	142	7	37	69	18	24	17	18	16	39	2	4	5	10	16	18	20	8	9	6	5	19	20	19	15	25	16	14	16	15					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1425	19	18	18	16	4	17	11	19	17	17	45	43	39	34	17	18	19	17	17	19	18	17	17	12	26	53	54	44	28	17	26	24	16	142	7	37	69	18	24	17	18	16	39	2	4	5	10	16	18	20	8	9	6	5	19	20	19	15	25	16	14	16	15					
9	Число недействительных избирательных бюллетеней	6	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0					
10	Число действительных избирательных бюллетеней	1419	19	18	18	16	4	17	11	19	17	17	43	43	39	34	17	18	19	17	17	19	18	17	17	12	26	53	54	44	28	17	26	24	16	142	7	37	68	18	24	17	18	16	39	2	4	5	10	16	18	20	8	9	6	5	18	20	19	15	25	16	13	15	15					
