Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Туапсинская городская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №5401	УИК №5402	УИК №5403	УИК №5404	УИК №5405	УИК №5406	УИК №5407	УИК №5408	УИК №5409	УИК №5410	УИК №5411	УИК №5412	УИК №5413	УИК №5414	УИК №5415	УИК №5416	УИК №5417	УИК №5418	УИК №5419	УИК №5420	УИК №5421	УИК №5422	УИК №5423	УИК №5424	УИК №5425	УИК №5426	УИК №5427	УИК №5499									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	43870	1845	1756	1942	1780	1861	1269	1905	2010	1877	1326	1697	1579	831	1780	1803	2050	2308	2027	1402	2017	1810	1602	297	1777	1119	648	1149	403									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	42800	1700	1600	2000	2000	1800	1300	1800	2000	1800	1300	1600	1500	1000	2000	1700	2000	2000	2000	1000	2000	2000	1700	300	1500	1000	600	1000	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	23516	1064	890	1268	889	1225	480	1061	1106	942	1011	947	708	439	812	804	895	1343	1134	601	1084	1014	938	186	825	694	274	537	345									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2689	88	43	19	95	163	180	96	91	37	73	191	160	34	152	189	187	131	82	139	214	78	6	22	32	32	64	91	0									
6	Число погашенных избирательных бюллетеней	16595	548	667	713	1016	412	640	643	803	821	216	462	632	527	1036	707	918	526	784	260	702	908	756	92	643	274	262	372	255									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2689	88	43	19	95	163	180	96	91	37	73	191	160	34	152	189	187	131	82	139	214	78	6	22	32	32	64	91	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	23516	1064	890	1268	889	1225	480	1061	1106	942	1011	947	708	439	812	804	895	1343	1134	601	1084	1014	938	186	825	694	274	537	345									
9	Число недействительных избирательных бюллетеней	233	11	8	21	15	21	7	9	17	0	18	0	10	5	9	14	11	13	0	7	0	5	2	0	9	8	6	2	5									
10	Число действительных избирательных бюллетеней	25972	1141	925	1266	969	1367	653	1148	1180	979	1066	1138	858	468	955	979	1071	1461	1216	733	1298	1087	942	208	848	718	332	626	340									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	705	25	20	30	35	25	25	30	35	30	20	25	25	20	25	25	40	40	30	20	35	30	25	10	25	20	15	20	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	401	11	11	21	20	25	22	17	19	10	12	17	15	5	12	21	31	13	9	3	12	24	22	9	18	6	3	13	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	390	6	13	28	7	15	3	23	19	52	6	18	16	5	12	27	10	13	5	28	7	6	7	2	2	32	11	16	1									
14	Число погашенных неиспользованных открепительных удостоверений	304	14	9	9	15	0	3	13	16	20	8	8	10	15	13	4	9	27	21	17	23	6	3	1	7	14	12	7	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	50	2	1	6	2	4	0	5	6	1	3	5	0	0	1	2	1	2	0	0	1	0	1	0	1	1	1	4	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	409	17	5	19	37	14	10	11	15	15	14	10	12	18	15	14	18	16	54	1	28	18	13	2	9	12	4	6	2									
		1.56%	1.48%	0.54%	1.48%	3.76%	1.01%	1.52%	0.95%	1.25%	1.53%	1.29%	0.88%	1.38%	3.81%	1.56%	1.41%	1.66%	1.09%	4.44%	0.14%	2.16%	1.65%	1.38%	0.96%	1.05%	1.65%	1.18%	0.96%	0.58%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	357	13	14	9	13	29	9	8	15	10	20	18	8	9	14	12	19	26	16	2	18	14	11	9	10	13	6	5	7									
		1.36%	1.13%	1.50%	0.70%	1.32%	2.09%	1.36%	0.69%	1.25%	1.02%	1.85%	1.58%	0.92%	1.90%	1.45%	1.21%	1.76%	1.76%	1.32%	0.27%	1.39%	1.28%	1.17%	4.33%	1.17%	1.79%	1.78%	0.80%	2.03%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	445	2	16	18	18	32	17	21	23	21	16	3	18	5	29	13	19	18	23	1	36	14	18	8	17	11	10	5	13									
		1.70%	0.17%	1.71%	1.40%	1.83%	2.31%	2.58%	1.82%	1.92%	2.15%	1.48%	0.26%	2.07%	1.06%	3.01%	1.31%	1.76%	1.22%	1.89%	0.14%	2.77%	1.28%	1.91%	3.85%	1.98%	1.52%	2.96%	0.80%	3.77%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	16430	788	484	850	559	910	400	730	764	558	656	820	540	243	563	565	595	1045	701	494	832	714	613	110	529	479	215	490	183									
		62.70%	68.40%	51.88%	66.05%	56.81%	65.56%	60.61%	63.09%	63.83%	56.99%	60.52%	72.06%	62.21%	51.37%	58.40%	56.90%	54.99%	70.90%	57.65%	66.76%	64.10%	65.38%	64.94%	52.88%	61.73%	65.98%	63.61%	78.03%	53.04%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	157	7	11	10	5	11	1	7	11	12	7	4	6	3	3	12	8	9	0	2	4	5	2	2	6	3	1	0	5									
		0.60%	0.61%	1.18%	0.78%	0.51%	0.79%	0.15%	0.61%	0.92%	1.23%	0.65%	0.35%	0.69%	0.63%	0.31%	1.21%	0.74%	0.61%	0.00%	0.27%	0.31%	0.46%	0.21%	0.96%	0.70%	0.41%	0.30%	0.00%	1.45%									
24	"6. Политическая партия ""Гражданская Платформа"""	26	2	1	6	0	0	0	3	0	1	3	0	0	1	1	1	0	0	0	0	3	1	0	0	0	1	1	0	1									
		0.10%	0.17%	0.11%	0.47%	0.00%	0.00%	0.00%	0.26%	0.00%	0.10%	0.28%	0.00%	0.00%	0.21%	0.10%	0.10%	0.00%	0.00%	0.00%	0.00%	0.23%	0.09%	0.00%	0.00%	0.00%	0.14%	0.30%	0.00%	0.29%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3784	158	210	164	122	161	106	208	157	137	168	112	116	74	135	198	185	162	202	156	196	154	140	29	95	77	46	47	69									
		14.44%	13.72%	22.51%	12.74%	12.40%	11.60%	16.06%	17.98%	13.12%	13.99%	15.50%	9.84%	13.36%	15.64%	14.00%	19.94%	17.10%	10.99%	16.61%	21.08%	15.10%	14.10%	14.83%	13.94%	11.09%	10.61%	13.61%	7.48%	20.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	192	9	5	11	4	8	1	9	12	15	13	28	5	5	7	2	9	7	0	1	4	3	9	4	10	7	0	1	3									
		0.73%	0.78%	0.54%	0.85%	0.41%	0.58%	0.15%	0.78%	1.00%	1.53%	1.20%	2.46%	0.58%	1.06%	0.73%	0.20%	0.83%	0.47%	0.00%	0.14%	0.31%	0.27%	0.95%	1.92%	1.17%	0.96%	0.00%	0.16%	0.87%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	228	12	12	7	5	13	3	8	8	8	19	7	16	3	15	7	9	13	0	1	2	14	10	1	19	9	4	0	3									
		0.87%	1.04%	1.29%	0.54%	0.51%	0.94%	0.45%	0.69%	0.67%	0.82%	1.75%	0.62%	1.84%	0.63%	1.56%	0.70%	0.83%	0.88%	0.00%	0.14%	0.15%	1.28%	1.06%	0.48%	2.22%	1.24%	1.18%	0.00%	0.87%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	25	1	1	0	0	0	1	0	0	1	5	2	1	0	1	0	1	0	0	2	2	0	0	0	4	1	1	0	1									
		0.10%	0.09%	0.11%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.10%	0.46%	0.18%	0.12%	0.00%	0.10%	0.00%	0.09%	0.00%	0.00%	0.27%	0.15%	0.00%	0.00%	0.00%	0.47%	0.14%	0.30%	0.00%	0.29%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	369	12	31	21	11	14	11	11	22	18	18	17	12	14	13	20	9	9	22	1	15	14	6	6	20	11	1	8	2									
		1.41%	1.04%	3.32%	1.63%	1.12%	1.01%	1.67%	0.95%	1.84%	1.84%	1.66%	1.49%	1.38%	2.96%	1.35%	2.01%	0.83%	0.61%	1.81%	0.14%	1.16%	1.28%	0.64%	2.88%	2.33%	1.52%	0.30%	1.27%	0.58%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2767	90	107	118	188	137	76	109	115	136	97	97	74	61	132	106	146	124	117	69	141	100	95	29	103	69	33	56	42									
		10.56%	7.81%	11.47%	9.17%	19.11%	9.87%	11.52%	9.42%	9.61%	13.89%	8.95%	8.52%	8.53%	12.90%	13.69%	10.67%	13.49%	8.41%	9.62%	9.32%	10.86%	9.16%	10.06%	13.94%	12.02%	9.50%	9.76%	8.92%	12.17%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	88	2	2	3	4	6	0	2	8	5	4	0	0	2	4	5	4	1	20	1	2	5	1	0	2	0	0	3	2									
		0.34%	0.17%	0.21%	0.23%	0.41%	0.43%	0.00%	0.17%	0.67%	0.51%	0.37%	0.00%	0.00%	0.42%	0.41%	0.50%	0.37%	0.07%	1.64%	0.14%	0.15%	0.46%	0.11%	0.00%	0.23%	0.00%	0.00%	0.48%	0.58%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	695	28	26	30	3	32	18	21	30	42	26	20	50	30	23	24	49	31	61	2	15	31	24	8	24	25	10	5	7									
		2.65%	2.43%	2.79%	2.33%	0.30%	2.31%	2.73%	1.82%	2.51%	4.29%	2.40%	1.76%	5.76%	6.34%	2.39%	2.42%	4.53%	2.10%	5.02%	0.27%	1.16%	2.84%	2.54%	3.85%	2.80%	3.44%	2.96%	0.80%	2.03%									
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
