Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																											
Дата голосования: 02.12.2007																																																																																																											
																																																																																																											
Наименование Избирательной комиссии:    Балаковская																																																																																																											
																																																																																																											
Сводная таблица результатов выборов																																																																																																											
																																																																																																											
		Сумма	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678					
1	"Число избирателей, внесенных в списки избирателей"	174593	2755	2394	2152	2685	2323	2354	2591	2023	2152	2277	1793	1817	1990	1987	2357	2717	2313	2327	1957	2173	2188	2832	1423	2858	2473	2215	2218	2854	2923	2248	1456	2199	2157	2098	2978	951	817	578	533	1276	724	92	329	361	1679	2867	1752	2785	2707	2794	2431	1919	2850	2244	2221	2266	2047	2185	1691	2834	2832	2945	2873	2805	2832	1966	1987	2106	2487	2769	2767	2989	1210	2808	2834	1937	488	980	503	303	123	401	399	328	708	104	86	617	166	457	152	526	525	322	902	1270	588	372	543	393					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	156440	2450	2147	1893	2364	2069	2121	2129	1787	1913	2048	1615	1687	1760	1796	2132	2452	2057	2075	1724	1880	1928	2579	1400	2567	2181	1979	2004	2574	2634	1978	1289	1998	1941	1916	2667	797	721	490	488	1166	655	91	315	348	1522	2619	1603	2511	2450	2523	2185	1709	2563	2057	1995	2024	1833	1934	1523	2610	2468	2670	2618	2511	2548	1739	1809	1935	2274	2118	2408	2607	1076	2473	2528	1719	488	860	489	306	130	400	388	320	623	95	88	532	162	454	154	465	489	326	830	1124	496	367	506	381					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	97396	1399	1248	1041	1042	1264	1317	1468	1024	1260	1309	942	1054	1069	1126	1253	1535	1256	1355	1071	1238	1088	1476	1400	1474	1519	1116	1186	1521	1655	1278	581	867	1167	878	1502	488	458	282	279	627	391	55	232	299	886	1580	1007	1504	1269	1491	1331	910	1611	1320	1347	1203	1197	1354	1027	1607	1695	1702	1807	1666	1608	1178	1057	1237	1512	1738	1550	1733	713	1367	1392	1135	231	563	267	222	72	220	334	256	428	82	80	404	106	303	109	346	437	293	629	847	464	302	292	285					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3105	30	32	15	30	5	19	10	11	13	37	24	22	23	36	48	25	30	34	43	18	60	37	0	108	33	33	72	46	42	32	31	23	29	21	32	64	31	90	145	64	43	11	20	11	19	39	19	23	32	22	17	31	41	16	10	263	36	34	25	13	17	27	18	17	14	10	14	11	15	7	14	20	13	21	27	19	11	33	69	8	8	53	17	30	33	11	0	12	5	28	9	20	29	14	53	35	32	33	36	39					
6	Число погашенных избирательных бюллетеней	55920	1021	867	837	1292	800	785	651	752	640	702	649	611	668	634	831	892	771	685	610	624	780	1066	0	985	629	829	746	1007	937	668	677	1108	745	1017	1133	245	232	118	64	475	221	25	63	38	617	1000	577	984	1149	1010	837	768	911	721	638	558	600	546	471	989	753	941	793	828	926	551	738	687	747	373	844	853	350	1073	1109	565	246	264	153	76	50	127	37	34	162	2	8	116	51	123	36	99	23	19	148	242	0	32	178	57					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3105	30	32	15	30	5	19	10	11	13	37	24	22	23	36	48	25	30	34	43	18	60	37	0	108	33	33	72	46	42	32	31	23	29	21	32	64	31	90	145	64	43	11	20	11	19	39	19	23	32	22	17	31	41	16	10	263	36	34	25	13	17	27	18	17	14	10	14	11	15	7	14	20	13	21	27	19	11	33	69	8	8	53	17	30	33	11	0	12	5	28	9	20	29	14	53	35	32	33	36	39					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	97040	1399	1248	1041	1042	1264	1317	1468	1021	1260	1305	942	1054	1069	1126	1253	1535	1256	1355	1071	1238	1085	1475	1400	1472	1519	1116	1186	1518	1655	1276	581	867	1167	878	1200	486	458	282	279	627	391	55	232	299	886	1580	1007	1504	1269	1491	1331	910	1611	1315	1345	1201	1197	1353	1027	1606	1694	1698	1802	1659	1606	1176	1056	1237	1512	1737	1550	1733	713	1367	1392	1135	231	563	267	222	72	220	334	256	428	82	80	404	106	303	109	346	437	293	629	847	464	302	292	285					
9	Число недействительных избирательных бюллетеней	1817	21	13	26	14	23	19	25	21	11	19	12	17	29	34	19	33	26	26	22	32	44	12	21	33	24	16	23	24	29	51	10	9	21	15	21	11	8	8	1	11	9	1	0	4	19	36	23	33	14	38	17	27	55	26	16	35	14	23	22	16	49	26	46	20	25	20	23	23	17	30	22	19	10	23	53	17	12	10	1	2	0	3	10	1	7	0	1	5	7	7	7	12	7	0	16	9	7	3	4	1					
10	Число действительных избирательных бюллетеней	98328	1408	1267	1030	1058	1246	1317	1453	1011	1262	1323	954	1059	1063	1128	1282	1527	1260	1363	1092	1224	1101	1500	1379	1547	1528	1133	1235	1540	1668	1257	602	881	1175	884	1211	539	481	364	423	680	425	65	252	306	886	1583	1003	1494	1287	1475	1331	914	1597	1305	1339	1429	1219	1364	1030	1603	1662	1699	1774	1656	1595	1166	1047	1225	1510	1714	1542	1734	716	1365	1366	1137	230	586	335	228	80	270	341	285	454	93	79	411	104	324	111	354	459	307	666	873	489	332	324	323					
