Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва												
Дата голосования: 04.12.2011												
												
Наименование Избирательной комиссии:    Тунгиро-Олекминская												
												
Сводная таблица результатов выборов												
												
		Сумма	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251					
1	"Число избирателей, внесенных в список избирателей"	1016	670	201	70	47	28					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	1180	786	234	72	58	30					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	817	520	168	56	47	26					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	51	41	10	0	0	0					
6	Число погашенных избирательных бюллетеней	312	225	56	16	11	4					
7	Число избирательных бюллетеней в переносных ящиках для голосования	51	41	10	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	817	520	168	56	47	26					
9	Число недействительных избирательных бюллетеней	11	7	1	1	2	0					
10	Число действительных избирательных бюллетеней	857	554	177	55	45	26					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	182	125	45	5	5	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	148	105	41	1	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	17	12	5	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	34	20	4	4	4	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	16	1	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0					
												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	72	56	7	6	2	1					
		8.29%	9.98%	3.93%	10.71%	4.26%	3.85%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	151	118	18	4	1	10					
		17.40%	21.03%	10.11%	7.14%	2.13%	38.46%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	7	7	0	0	0	0					
		0.81%	1.25%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	52	32	10	4	6	0					
		5.99%	5.70%	5.62%	7.14%	12.77%	0.00%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	5	4	1	0	0	0					
		0.58%	0.71%	0.56%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	564	334	140	39	36	15					
		64.98%	59.54%	78.65%	69.64%	76.60%	57.69%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	6	3	1	2	0	0					
		0.69%	0.53%	0.56%	3.57%	0.00%	0.00%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
