Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
"Наименование Избирательной комиссии:    Нижний Тагил, Тагилстроевская"																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №681	УИК №690	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №2268	УИК №2269	УИК №2270	УИК №2271	УИК №2272	УИК №2273	УИК №2274	УИК №2275	УИК №2276	УИК №2277	УИК №2278	УИК №2279	УИК №2280	УИК №2281	УИК №2282	УИК №2283	УИК №2284	УИК №2285	УИК №2286	УИК №2287	УИК №2288	УИК №2289	УИК №2290	УИК №2632									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	97927	169	511	586	1962	2143	1778	1704	1654	1838	2215	1476	1537	2004	1735	1914	2286	1817	1552	424	754	1823	2044	2346	335	1597	968	1290	1454	1424	1503	1282	1423	2127	2141	2343	2341	1887	2459	2515	2207	2254	1901	1979	2274	2433	1519	1758	1715	1826	1611	2679	2603	391	2340	2151	2925									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	89200	150	500	500	1850	2000	1600	1550	1500	1650	2000	1400	1400	1850	1600	1800	2100	1650	1400	300	700	1600	1700	2200	300	1450	850	1100	1250	1250	1400	1150	1250	1950	2000	2150	2150	1700	2250	2350	2000	2100	1700	1800	2100	2250	1400	1600	1500	1700	1450	2450	2400	350	2350	2000	2500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	38836	113	225	234	694	624	624	628	615	644	688	450	504	844	649	620	850	701	606	115	237	492	825	886	119	665	460	532	564	551	625	612	607	859	827	998	727	770	986	919	990	986	817	940	1008	1121	695	803	721	791	652	1126	1012	294	945	993	1253									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1235	7	45	225	24	22	14	10	5	13	20	5	9	12	13	13	11	11	27	66	32	43	144	9	8	27	12	2	8	12	6	6	16	29	25	31	12	10	13	19	10	13	14	7	13	7	9	8	84	7	11	11	5	0	3	5	12									
6	Число погашенных избирательных бюллетеней	49129	30	230	41	1132	1354	962	912	880	993	1292	945	887	994	938	1167	1239	938	767	119	431	1065	731	1305	173	758	378	566	678	687	769	532	627	1062	1148	1121	1411	920	1251	1412	1000	1101	869	853	1079	1122	696	789	695	902	787	1313	1383	56	1402	1002	1235									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1235	7	45	225	24	22	14	10	5	13	20	5	9	12	13	13	11	11	27	66	32	43	144	9	8	27	12	2	8	12	6	6	16	29	25	31	12	10	13	19	10	13	14	7	13	7	9	8	84	7	11	11	5	0	3	5	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	38802	113	225	234	694	624	624	628	615	644	688	450	504	844	649	607	850	701	605	115	237	492	824	886	119	665	459	530	564	551	625	612	607	859	826	998	727	770	986	919	989	986	817	940	1008	1120	694	803	721	784	652	1126	1012	289	945	993	1253									
9	Число недействительных избирательных бюллетеней	1275	0	2	20	25	24	24	26	22	26	33	25	11	41	22	15	26	24	14	3	8	6	26	22	11	13	12	22	26	12	24	25	18	20	42	28	27	35	25	41	46	27	32	22	22	34	17	24	22	10	17	24	18	53	25	29	27									
10	Число действительных избирательных бюллетеней	38762	120	268	439	693	622	614	612	598	631	675	430	502	815	640	605	835	688	618	178	261	529	942	873	116	679	459	510	546	551	607	593	605	868	809	1001	712	745	974	897	953	972	799	925	999	1093	686	787	783	781	646	1113	999	236	923	969	1238									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1535	15	15	0	25	30	25	25	25	25	40	25	25	30	25	25	40	25	25	15	15	25	25	40	15	25	15	25	25	25	25	25	25	30	30	40	40	25	40	40	30	30	25	30	30	40	25	25	25	25	35	50	40	0	40	30	40									
