Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Петровская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	34152	1188	143	1054	1104	1257	1238	1137	1254	572	736	1318	1292	758	998	1068	116	1069	452	390	1079	1002	1328	195	691	847	1143	476	553	201	371	510	215	696	221	370	555	606	480	1162	979	676	236	367	101	360	417	345	256	358	212									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	33083	1130	135	1020	1060	1200	1180	1090	1232	571	710	1260	1240	730	950	1010	110	1030	440	370	1030	970	1260	185	675	810	1100	460	569	200	360	500	205	690	200	360	550	635	470	1186	950	660	230	360	100	350	410	330	250	350	210									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18610	465	65	385	536	656	460	535	538	237	474	717	850	356	692	429	51	576	205	241	466	383	474	87	231	248	368	235	370	158	147	252	163	567	156	256	321	502	406	819	907	559	224	317	92	257	288	215	198	301	175									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1210	23	5	28	50	45	15	15	45	5	11	15	7	2	35	16	8	27	6	4	16	15	10	5	11	19	28	2	90	17	18	40	10	52	16	44	42	52	32	47	43	49	6	22	4	38	25	29	11	30	25									
6	Число погашенных избирательных бюллетеней	13263	642	65	607	474	499	705	540	649	329	225	528	383	372	223	565	51	427	229	125	548	572	776	93	433	543	704	223	109	25	195	208	32	71	28	60	187	81	32	320	0	52	0	21	4	55	97	86	41	19	10									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1209	23	5	28	50	45	15	15	45	5	11	15	7	2	35	16	8	27	6	4	16	15	10	5	11	19	28	2	90	17	18	40	10	52	15	44	42	52	32	47	43	49	6	22	4	38	25	29	11	30	25									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18602	463	65	385	536	656	460	535	538	235	473	715	850	356	692	429	50	576	205	241	466	383	474	87	231	248	368	235	370	158	147	252	163	567	156	256	321	502	406	819	907	559	224	317	92	257	288	215	198	301	175									
9	Число недействительных избирательных бюллетеней	241	3	0	3	10	8	15	9	12	4	7	8	14	2	9	10	1	10	2	3	18	15	2	3	1	0	15	5	4	0	3	4	0	0	4	0	5	10	0	16	0	0	0	1	1	0	4	0	0	0	0									
10	Число действительных избирательных бюллетеней	19570	483	70	410	576	693	460	541	571	236	477	722	843	356	718	435	57	593	209	242	464	383	482	89	241	267	381	232	456	175	162	288	173	619	167	300	358	544	438	850	950	608	230	338	95	295	309	244	209	331	200									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	444	20	2	15	10	10	10	20	20	7	7	20	18	12	15	10	1	10	11	5	15	10	10	2	10	16	15	11	6	2	5	6	5	14	2	6	6	6	5	15	10	10	3	5	1	5	6	5	2	5	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	348	17	2	15	10	10	10	18	15	4	5	18	18	9	12	8	0	5	9	1	11	7	7	0	7	12	11	6	6	1	5	6	3	12	2	3	6	6	1	11	10	10	3	1	0	5	1	1	1	5	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	288	9	4	5	4	4	6	4	19	2	4	11	9	13	3	4	4	3	2	1	1	3	17	0	7	2	5	5	1	1	0	0	3	0	14	1	0	51	2	57	0	2	1	0	0	2	0	2	0	0	0									
