Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва													
Дата голосования: 07.12.2003 0:00:00													
													
Наименование Избирательной комиссии:    Анабарская													
													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)													
													
		Сумма	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67					
1	"Число избирателей, внесенных в списки"	2313	49	506	621	524	127	486					
2	"Число бюллетеней, полученных участковыми комиссиями"	2500	65	535	630	550	220	500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	299	0	71	89	65	54	20					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	1654	45	345	386	367	71	440					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	127	0	27	49	36	0	15					
6	Число погашенных бюллетеней	420	20	92	106	82	95	25					
7	Число бюллетеней в переносных ящиках для голосования	426	0	98	138	101	54	35					
8	Число бюллетеней в стационарных ящиках для голосования	1654	45	345	386	367	71	440					
9	Число недействительных бюллетеней	37	0	23	9	2	1	2					
10	Число действительных бюллетеней	2043	45	420	515	466	124	473					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	90	8	12	10	20	20	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	44	7	12	4	14	0	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	10	0	2	6	0	2	0					
14	Число погашенных открепительных удостоверений	46	1	0	6	6	20	13					
15	Число открепительных удостоверений выданных ТИК	7	2	2	3	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0					
													
18	"1. ""ЕДИНЕНИЕ"""	83	0	18	28	24	0	13					
		3.99%	0.0%	4.06%	5.34%	5.12%	0.0%	2.73%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	144	1	40	49	46	2	6					
		6.92%	2.22%	9.02%	9.35%	9.82%	1.6%	1.26%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	67	4	11	17	21	4	10					
		3.22%	8.88%	2.48%	3.24%	4.48%	3.2%	2.10%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	23	0	3	5	8	2	5					
		1.10%	0.0%	0.67%	0.95%	1.70%	1.6%	1.05%					
22	"5. ""За Русь Святую"""	9	0	4	2	2	1	0					
		0.43%	0.0%	0.90%	0.38%	0.42%	0.8%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	4	0	2	0	2	0	0					
		0.19%	0.0%	0.45%	0.0%	0.42%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	7	0	3	2	1	0	1					
		0.33%	0.0%	0.67%	0.38%	0.21%	0.0%	0.21%					
25	"8. ""Народно-республиканская партия России"""	7	0	1	3	2	0	1					
		0.33%	0.0%	0.22%	0.57%	0.42%	0.0%	0.21%					
26	"9. ""Российская экологическая партия ""Зеленые"""	8	1	2	3	2	0	0					
		0.38%	2.22%	0.45%	0.57%	0.42%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	24	1	3	6	4	4	6					
		1.15%	2.22%	0.67%	1.14%	0.85%	3.2%	1.26%					
28	"11. ""Истинные патриоты России"""	2	0	0	0	1	1	0					
		0.09%	0.0%	0.0%	0.0%	0.21%	0.8%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	11	0	2	0	6	2	1					
		0.52%	0.0%	0.45%	0.0%	1.28%	1.6%	0.21%					
30	"13. ""Демократическая партия России"""	3	0	0	1	2	0	0					
		0.14%	0.0%	0.0%	0.19%	0.42%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	10	0	1	6	2	1	0					
		0.48%	0.0%	0.22%	1.14%	0.42%	0.8%	0.0%					
32	"15. ""Партия СЛОН"""	3	0	1	0	2	0	0					
		0.14%	0.0%	0.22%	0.0%	0.42%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	295	0	97	100	73	1	24					
		14.18%	0.0%	21.89%	19.08%	15.59%	0.8%	5.05%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	11	0	2	4	3	0	2					
		0.52%	0.0%	0.45%	0.76%	0.64%	0.0%	0.42%					
35	"18. ""ЛДПР"""	134	10	17	14	6	13	74					
		6.44%	22.22%	3.83%	2.67%	1.28%	10.4%	15.57%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	24	0	6	4	6	1	7					
		1.15%	0.0%	1.35%	0.76%	1.28%	0.8%	1.47%					
37	"20. ""Политическая партия ""Единая Россия"""	950	25	160	216	205	74	270					
		45.67%	55.55%	36.11%	41.22%	43.80%	59.2%	56.84%					
38	"21. ""Российская Конституционно-демократическая партия"""	5	0	0	1	1	0	3					
		0.24%	0.0%	0.0%	0.19%	0.21%	0.0%	0.63%					
39	"22. ""Развитие предпринимательства"""	4	0	0	3	0	0	1					
		0.19%	0.0%	0.0%	0.57%	0.0%	0.0%	0.21%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	124	3	23	37	25	8	28					
		5.96%	6.66%	5.19%	7.06%	5.34%	6.4%	5.89%					
													
41	Против всех	91	0	24	14	22	10	21					
		4.37%	0.0%	5.41%	2.67%	4.70%	8.0%	4.42%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
