Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																												
Дата голосования: 04.12.2011																																																												
																																																												
Наименование Избирательной комиссии:    Рузаевская																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556					
1	"Число избирателей, внесенных в список избирателей"	52155	1680	834	1646	1861	948	701	1607	631	1741	950	736	1651	1725	1590	550	319	553	377	565	817	594	532	601	953	798	409	1299	1848	1920	1888	798	902	1774	2053	1847	1207	1890	509	206	161	1395	475	892	386	313	95	1345	1273	613	273	444	401	579					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	52410	1638	831	1627	1841	931	697	1569	708	1727	940	727	1652	1689	1579	551	324	552	370	567	834	624	539	604	974	805	401	1296	1850	1889	1873	1019	906	1753	2086	1808	1220	1889	510	212	164	1413	481	936	386	309	96	1344	1285	635	273	466	415	595					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	41824	1521	750	1007	1412	756	569	1313	393	1457	756	499	1120	1216	1102	427	269	531	355	494	734	534	496	541	852	679	333	1211	1320	1353	1286	551	568	1588	1602	1562	868	1272	483	202	142	1312	433	831	343	260	72	1210	1161	598	256	354	356	514					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3449	109	43	47	115	107	83	92	18	107	51	14	118	75	329	43	47	18	15	64	46	49	19	51	78	69	15	56	49	73	82	57	60	92	336	137	51	24	21	0	19	69	36	53	36	48	22	94	91	15	13	28	11	54					
6	Число погашенных избирательных бюллетеней	7137	8	38	573	314	68	45	164	297	163	133	214	414	398	148	81	8	3	0	9	54	41	24	12	44	57	53	29	481	463	505	411	278	73	148	109	301	593	6	10	3	32	12	52	7	1	2	40	33	22	4	84	48	27					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3449	109	43	47	115	107	83	92	18	107	51	14	118	75	329	43	47	18	15	64	46	49	19	51	78	69	15	56	49	73	82	57	60	92	336	137	51	24	21	0	19	69	36	53	36	48	22	94	91	15	13	28	11	54					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	41800	1521	750	992	1412	756	569	1313	393	1456	756	497	1120	1216	1102	427	269	531	355	494	732	534	496	541	852	679	333	1211	1320	1353	1286	551	568	1588	1602	1562	868	1268	483	202	142	1312	433	831	343	260	72	1210	1161	598	256	354	356	514					
9	Число недействительных избирательных бюллетеней	299	1	0	26	11	2	6	5	11	18	10	8	5	16	10	5	0	22	0	2	4	0	0	0	1	0	0	1	19	30	0	21	4	2	0	8	3	16	0	0	0	0	2	0	0	0	1	12	0	0	0	5	12	0					
10	Число действительных избирательных бюллетеней	44950	1629	793	1013	1516	861	646	1400	400	1545	797	503	1233	1275	1421	465	316	527	370	556	774	583	515	592	929	748	348	1266	1350	1396	1368	587	624	1678	1938	1691	916	1276	504	202	161	1381	467	884	379	308	93	1292	1252	613	269	377	355	568					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1069	30	15	30	30	15	15	30	15	30	15	12	30	30	15	12	8	10	8	10	15	35	10	10	30	20	8	25	30	30	30	20	20	30	30	30	30	40	10	7	5	25	10	50	10	5	5	30	30	20	5	30	9	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	754	17	13	24	30	15	3	16	10	14	15	9	18	22	10	8	3	4	7	10	15	35	7	3	25	20	1	8	27	15	17	20	20	15	29	25	30	39	3	0	1	15	3	50	3	0	0	6	13	9	5	30	9	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	451	1	9	13	11	4	3	18	5	6	8	6	9	8	181	0	1	3	16	5	3	6	3	2	3	0	3	5	4	3	6	4	2	7	10	7	6	18	3	2	0	3	3	2	9	2	1	2	2	0	3	15	4	1					
14	Число погашенных неиспользованных открепительных удостоверений	315	13	2	6	0	0	12	14	5	16	0	3	12	8	5	4	5	6	1	0	0	0	3	7	5	0	7	17	3	15	13	0	0	15	1	5	0	1	7	7	4	10	7	0	7	5	5	24	17	11	0	0	0	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1057	17	4	51	90	5	8	46	33	66	13	26	3	28	51	19	5	0	0	3	5	4	0	2	26	8	5	7	105	94	14	41	15	30	12	20	65	57	1	5	0	2	3	0	2	5	0	32	0	1	2	13	8	5					
		2.34%	1.04%	0.50%	4.91%	5.89%	0.58%	1.23%	3.27%	8.03%	4.22%	1.61%	5.09%	0.24%	2.17%	3.56%	4.04%	1.58%	0.00%	0.00%	0.54%	0.64%	0.69%	0.00%	0.34%	2.80%	1.07%	1.44%	0.55%	7.67%	6.59%	1.02%	6.74%	2.39%	1.79%	0.62%	1.18%	7.07%	4.41%	0.20%	2.48%	0.00%	0.14%	0.64%	0.00%	0.53%	1.62%	0.00%	2.45%	0.00%	0.16%	0.74%	3.40%	2.18%	0.88%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1274	15	7	102	81	7	6	10	47	67	14	68	8	28	80	32	2	5	4	3	2	5	2	3	25	4	6	5	103	107	6	68	34	25	4	38	59	67	2	14	0	3	1	0	10	7	5	48	3	2	1	19	7	3					
