Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Горно-Алтайская городская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23					
1	"Число избирателей, внесенных в списки"	38064	1911	1787	1496	1450	1975	1781	1569	1958	2142	1912	1747	1936	1852	2166	1854	1211	1829	1533	1653	1655	1644	582	421					
2	"Число бюллетеней, полученных участковыми комиссиями"	35683	1794	1751	1513	1389	1797	1704	1518	1831	1978	1804	1641	1801	1737	1958	1527	1115	1716	1428	1566	1575	1527	513	500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	19323	973	926	812	595	952	856	933	1072	972	1014	949	988	1013	1008	1122	634	850	682	786	798	880	262	246					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	927	33	17	24	130	25	42	17	22	46	7	45	19	31	30	30	31	41	36	41	46	23	16	175					
6	Число погашенных бюллетеней	15433	788	808	677	664	820	806	568	737	960	783	647	794	693	920	375	450	825	710	739	731	624	235	79					
7	Число бюллетеней в переносных ящиках для голосования	927	33	17	24	130	25	42	17	22	46	7	45	19	31	30	30	31	41	36	41	46	23	16	175					
8	Число бюллетеней в стационарных ящиках для голосования	19321	973	926	812	595	952	856	932	1072	972	1014	949	988	1013	1008	1122	633	850	682	786	798	880	262	246					
9	Число недействительных бюллетеней	214	4	8	4	3	9	8	10	13	5	4	9	13	7	24	12	7	26	2	4	12	10	3	17					
10	Число действительных бюллетеней	20034	1002	935	832	722	968	890	939	1081	1013	1017	985	994	1037	1014	1140	657	865	716	823	832	893	275	404					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	298	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	8	10	10	10	15	5	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	125	5	10	6	2	6	8	3	2	12	8	3	7	8	5	4	4	4	4	6	6	9	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	115	2	4	8	2	4	6	10	8	9	5	7	14	9	2	8	4	2	3	0	4	4	0	0					
14	Число погашенных открепительных удостоверений	173	10	5	9	13	9	7	12	13	3	7	12	8	7	10	11	11	4	6	4	4	6	2	0					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
18	"1. ""ЕДИНЕНИЕ"""	276	16	11	9	7	9	15	8	5	16	15	11	16	7	22	13	7	18	16	8	7	21	8	11					
		1.36%	1.59%	1.16%	1.07%	0.96%	0.92%	1.67%	0.84%	0.45%	1.57%	1.46%	1.10%	1.58%	0.67%	2.11%	1.12%	1.05%	2.02%	2.22%	0.96%	0.82%	2.32%	2.87%	2.61%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	739	35	28	34	24	28	28	49	42	44	47	52	40	45	37	29	20	34	25	24	29	30	9	6					
		3.64%	3.47%	2.96%	4.06%	3.31%	2.86%	3.11%	5.16%	3.83%	4.32%	4.60%	5.23%	3.97%	4.31%	3.56%	2.51%	3.01%	3.81%	3.48%	2.90%	3.43%	3.32%	3.23%	1.42%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	317	19	9	13	14	14	12	14	13	9	15	17	26	17	16	15	15	12	12	9	19	13	4	10					
		1.56%	1.88%	0.95%	1.55%	1.93%	1.43%	1.33%	1.47%	1.18%	0.88%	1.46%	1.71%	2.58%	1.62%	1.54%	1.30%	2.25%	1.34%	1.67%	1.08%	2.25%	1.43%	1.43%	2.37%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1085	55	46	48	47	38	52	70	64	35	42	86	65	57	51	43	33	72	42	51	42	24	11	11					
		5.35%	5.46%	4.87%	5.74%	6.48%	3.88%	5.79%	7.37%	5.85%	3.43%	4.11%	8.65%	6.45%	5.45%	4.91%	3.73%	4.96%	8.08%	5.84%	6.16%	4.97%	2.65%	3.95%	2.61%					
22	"5. ""За Русь Святую"""	61	4	2	2	1	3	4	1	2	6	5	3	2	1	1	3	0	3	3	4	1	5	0	5					
		0.30%	0.39%	0.21%	0.23%	0.13%	0.30%	0.44%	0.10%	0.18%	0.58%	0.48%	0.30%	0.19%	0.09%	0.09%	0.26%	0.0%	0.33%	0.41%	0.48%	0.11%	0.55%	0.0%	1.18%					
23	"6. ""Объединенная Российская партия ""Русь"""	46	1	2	1	1	4	1	0	4	1	3	2	4	3	3	1	2	2	3	1	1	4	0	2					
		0.22%	0.09%	0.21%	0.11%	0.13%	0.40%	0.11%	0.0%	0.36%	0.09%	0.29%	0.20%	0.39%	0.28%	0.28%	0.08%	0.30%	0.22%	0.41%	0.12%	0.11%	0.44%	0.0%	0.47%					
24	"7. ""Новый курс - Автомобильная Россия"""	94	6	9	1	0	3	7	3	5	7	4	8	2	1	7	7	4	1	4	1	8	5	0	1					
		0.46%	0.59%	0.95%	0.11%	0.0%	0.30%	0.77%	0.31%	0.45%	0.68%	0.39%	0.80%	0.19%	0.09%	0.67%	0.60%	0.60%	0.11%	0.55%	0.12%	0.94%	0.55%	0.0%	0.23%					
25	"8. ""Народно-республиканская партия России"""	49	6	1	1	6	1	1	0	0	1	2	0	6	1	4	2	3	2	1	5	2	1	2	1					
		0.24%	0.59%	0.10%	0.11%	0.82%	0.10%	0.11%	0.0%	0.0%	0.09%	0.19%	0.0%	0.59%	0.09%	0.38%	0.17%	0.45%	0.22%	0.13%	0.60%	0.23%	0.11%	0.71%	0.23%					
26	"9. ""Российская экологическая партия ""Зеленые"""	97	2	8	3	1	2	2	7	5	6	4	6	6	6	7	3	4	2	2	6	4	5	1	5					
		0.47%	0.19%	0.84%	0.35%	0.13%	0.20%	0.22%	0.73%	0.45%	0.58%	0.39%	0.60%	0.59%	0.57%	0.67%	0.26%	0.60%	0.22%	0.27%	0.72%	0.47%	0.55%	0.35%	1.18%					
27	"10. ""Аграрная партия России"""	3309	139	132	130	100	197	152	129	169	202	255	143	178	189	148	256	99	94	99	120	116	102	63	97					
		16.34%	13.81%	13.99%	15.55%	13.79%	20.16%	16.92%	13.59%	15.44%	19.84%	24.97%	14.38%	17.67%	18.10%	14.25%	22.22%	14.90%	10.54%	13.78%	14.51%	13.74%	11.29%	22.66%	23.04%					
28	"11. ""Истинные патриоты России"""	31	2	3	0	1	0	0	2	0	3	2	0	1	2	1	4	2	1	0	1	2	3	0	1					
		0.15%	0.19%	0.31%	0.0%	0.13%	0.0%	0.0%	0.21%	0.0%	0.29%	0.19%	0.0%	0.09%	0.19%	0.09%	0.34%	0.30%	0.11%	0.0%	0.12%	0.23%	0.33%	0.0%	0.23%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	292	8	17	4	5	16	10	20	15	14	19	2	20	22	22	31	10	6	9	11	8	10	9	4					
		1.44%	0.79%	1.80%	0.47%	0.68%	1.63%	1.11%	2.10%	1.37%	1.37%	1.86%	0.20%	1.98%	2.10%	2.11%	2.69%	1.50%	0.67%	1.25%	1.33%	0.94%	1.10%	3.23%	0.95%					
30	"13. ""Демократическая партия России"""	38	1	2	3	0	1	0	1	4	0	0	0	1	3	1	1	3	4	2	1	4	3	2	1					
		0.18%	0.09%	0.21%	0.35%	0.0%	0.10%	0.0%	0.10%	0.36%	0.0%	0.0%	0.0%	0.09%	0.28%	0.09%	0.08%	0.45%	0.44%	0.27%	0.12%	0.47%	0.33%	0.71%	0.23%					
31	"14. ""Великая Россия - Евразийский Союз"""	25	0	2	0	1	1	2	4	4	0	0	1	1	0	0	2	1	0	1	0	1	2	1	1					
		0.12%	0.0%	0.21%	0.0%	0.13%	0.10%	0.22%	0.42%	0.36%	0.0%	0.0%	0.10%	0.09%	0.0%	0.0%	0.17%	0.15%	0.0%	0.13%	0.0%	0.11%	0.22%	0.35%	0.23%					
32	"15. ""Партия СЛОН"""	20	0	1	1	1	1	0	0	0	1	1	2	0	0	2	4	0	0	1	0	3	1	0	1					
		0.09%	0.0%	0.10%	0.11%	0.13%	0.10%	0.0%	0.0%	0.0%	0.09%	0.09%	0.20%	0.0%	0.0%	0.19%	0.34%	0.0%	0.0%	0.13%	0.0%	0.35%	0.11%	0.0%	0.23%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1051	58	54	43	45	46	36	50	65	55	51	62	55	49	52	53	30	30	49	49	35	56	12	16					
		5.19%	5.76%	5.72%	5.14%	6.20%	4.70%	4.00%	5.26%	5.94%	5.40%	4.99%	6.23%	5.46%	4.69%	5.00%	4.60%	4.51%	3.36%	6.82%	5.92%	4.14%	6.20%	4.31%	3.80%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	42	1	3	1	1	1	1	2	3	1	2	2	1	0	1	3	0	4	3	2	4	2	2	2					
		0.20%	0.09%	0.31%	0.11%	0.13%	0.10%	0.11%	0.21%	0.27%	0.09%	0.19%	0.20%	0.09%	0.0%	0.09%	0.26%	0.0%	0.44%	0.41%	0.24%	0.47%	0.22%	0.71%	0.47%					
