Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																													
Дата голосования: 07.12.2003 0:00:00																																																													
																																																													
Наименование Избирательной комиссии:    Тетюшская																																																													
																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																													
																																																													
		Сумма	УИК №2642	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653	УИК №2654	УИК №2655	УИК №2656	УИК №2657	УИК №2658	УИК №2659	УИК №2660	УИК №2661	УИК №2662	УИК №2663	УИК №2664	УИК №2665	УИК №2666	УИК №2667	УИК №2668	УИК №2669	УИК №2670	УИК №2671	УИК №2672	УИК №2673	УИК №2674	УИК №2675	УИК №2676	УИК №2677	УИК №2678	УИК №2679	УИК №2680	УИК №2681	УИК №2682	УИК №2683	УИК №2684	УИК №2685	УИК №2686	УИК №2687	УИК №2688	УИК №2689	УИК №2690	УИК №2691	УИК №2692	УИК №2693	УИК №2694	УИК №2695					
1	"Число избирателей, внесенных в списки"	19435	973	693	639	907	936	879	199	747	954	1247	158	371	252	207	579	420	375	207	448	148	322	270	572	187	176	274	158	271	205	155	355	381	320	111	125	148	107	275	148	254	413	191	228	198	266	261	372	116	443	124	110	280	176	104					
2	"Число бюллетеней, полученных участковыми комиссиями"	19440	929	685	646	901	925	873	198	690	968	1286	164	370	253	209	602	408	375	207	439	150	327	265	573	187	176	275	150	278	204	155	356	384	320	116	124	149	117	275	152	254	418	192	224	202	266	262	379	118	460	128	108	284	175	109					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16458	762	503	508	694	899	627	179	487	737	1021	136	359	252	178	404	341	369	192	386	128	285	265	377	181	176	240	145	255	189	131	334	291	317	111	124	144	98	275	148	233	368	155	224	161	265	250	364	105	372	106	92	252	162	101					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1451	96	44	106	50	21	56	9	52	51	87	22	5	0	22	88	53	5	13	23	20	37	0	109	4	0	34	3	16	11	18	21	80	3	0	0	2	9	0	0	9	45	19	0	37	0	11	8	11	69	15	15	28	11	3					
6	Число погашенных бюллетеней	1531	71	138	32	157	5	190	10	151	180	178	6	6	1	9	110	14	1	2	30	2	5	0	87	2	0	1	2	7	4	6	1	13	0	5	0	3	10	0	4	12	5	18	0	4	1	1	7	2	19	7	1	4	2	5					
7	Число бюллетеней в переносных ящиках для голосования	1451	96	44	106	50	21	56	9	52	51	87	22	5	0	22	88	53	5	13	23	20	37	0	109	4	0	34	3	16	11	18	21	80	3	0	0	2	9	0	0	9	45	19	0	37	0	11	8	11	69	15	15	28	11	3					
8	Число бюллетеней в стационарных ящиках для голосования	16371	762	503	508	694	899	627	179	487	737	934	136	359	252	178	404	341	369	192	386	128	285	265	377	181	176	240	145	255	189	131	334	291	317	111	124	144	98	275	148	233	368	155	224	161	265	250	364	105	372	106	92	252	162	101					
9	Число недействительных бюллетеней	423	5	79	4	0	7	0	8	7	4	1	0	0	2	4	25	26	0	0	9	5	4	2	9	0	0	0	3	0	5	8	0	80	0	0	2	1	1	1	0	8	8	5	0	3	3	37	11	0	1	0	0	43	2	0					
10	Число действительных бюллетеней	17399	853	468	610	744	913	683	180	532	784	1020	158	364	250	196	467	368	374	205	400	143	318	263	477	185	176	274	145	271	195	141	355	291	320	111	122	145	106	274	148	234	405	169	224	195	262	224	361	116	440	121	107	237	171	104					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	10	12	10	10	10	10	10	10	20	30	7	3	5	3	5	5	3	6	5	10	6	3	5	3	3	3	3	3	3	3	3	3	3	3	3	5	3	3	0	3	3	3	3	3	3	5	3	3	3	3	5	3	5	7					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	154	10	11	8	10	10	9	4	5	13	21	2	3	0	0	0	1	1	4	2	0	0	2	0	0	0	1	2	0	0	3	1	1	1	1	0	2	3	0	0	3	2	0	0	3	1	0	3	0	3	0	0	3	1	4					
