Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Кудымкарская районная																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №5101	УИК №5102	УИК №5103	УИК №5104	УИК №5105	УИК №5106	УИК №5107	УИК №5108	УИК №5109	УИК №5110	УИК №5111	УИК №5112	УИК №5113	УИК №5114	УИК №5115	УИК №5116	УИК №5117	УИК №5118	УИК №5119	УИК №5120	УИК №5121	УИК №5122	УИК №5123	УИК №5124	УИК №5125	УИК №5126	УИК №5127	УИК №5129	УИК №5130	УИК №5131	УИК №5132	УИК №5133	УИК №5134	УИК №5135	УИК №5137	УИК №5138	УИК №5139	УИК №5140	УИК №5141	УИК №5142									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19428	1528	268	307	188	145	189	864	179	182	148	1393	216	465	387	392	540	179	184	262	844	612	238	325	447	320	745	888	142	106	375	931	455	253	545	220	128	1154	1200	413	1071									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18000	1400	250	300	170	140	180	800	170	170	140	1300	200	450	370	370	500	160	170	250	800	580	200	300	430	300	700	850	120	100	350	900	400	250	500	200	130	1000	1000	400	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6572	420	89	77	65	48	55	255	42	68	52	426	74	168	147	154	187	54	83	96	306	195	62	148	194	149	254	306	78	52	137	377	187	98	189	119	60	321	351	139	290									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	973	28	22	23	3	14	10	17	12	9	9	103	44	18	27	26	44	8	10	22	57	27	21	17	14	19	31	14	5	7	15	50	22	10	42	14	2	27	39	23	68									
6	Число погашенных избирательных бюллетеней	10455	952	139	200	102	78	115	528	116	93	79	771	82	264	196	190	269	98	77	132	437	358	117	135	222	132	415	530	37	41	198	473	191	142	269	67	68	652	610	238	642									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	973	28	22	23	3	14	10	17	12	9	9	103	44	18	27	26	44	8	10	22	57	27	21	17	14	19	31	14	5	7	15	50	22	10	42	14	2	27	39	23	68									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6572	420	89	77	65	48	55	255	42	68	52	426	74	168	147	154	187	54	83	96	306	195	62	148	194	149	254	306	78	52	137	377	187	98	189	119	60	321	351	139	290									
9	Число недействительных избирательных бюллетеней	398	15	4	2	7	4	3	10	2	2	3	20	3	26	10	8	22	2	1	2	18	14	4	12	14	6	18	18	1	3	8	30	7	7	7	3	0	28	24	8	22									
10	Число действительных избирательных бюллетеней	7147	433	107	98	61	58	62	262	52	75	58	509	115	160	164	172	209	60	92	116	345	208	79	153	194	162	267	302	82	56	144	397	202	101	224	130	62	320	366	154	336									
