Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
"Наименование Избирательной комиссии:    Иркутск, Иркутская городская N 3 "																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №1820	УИК №1821	УИК №1908	УИК №8210	УИК №8218	УИК №8219	УИК №8220	УИК №8222	УИК №8223									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	98707	1663	1002	1750	1541	1839	1649	815	1095	1839	1112	2105	1777	1962	966	2458	1222	1355	2710	2298	2545	2134	1933	1952	2002	1736	2312	2738	1891	1161	808	1496	966	2278	1039	1700	2544	2782	1920	2640	1770	1879	2106	1541	1339	2065	1318	470	725	335	5654	2646	3917	1896	1311									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	118350	1500	800	1600	1400	1700	1500	700	1000	1700	1000	1900	1600	1800	900	2300	1100	1200	2600	2100	2400	2000	1800	1800	1800	1600	2100	2600	1700	1000	800	1400	900	2000	900	1600	2400	2400	1600	2400	1500	1700	2000	1400	1200	1900	1200	400	750	6800	7100	6500	7300	6900	8100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	41239	614	327	690	576	753	533	197	437	475	473	559	520	664	279	790	458	443	878	603	642	601	570	631	654	683	809	964	542	275	211	376	195	556	260	386	506	543	360	544	576	630	640	607	519	1244	265	180	646	204	5588	2569	3844	1859	1291									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1554	54	33	15	29	34	55	51	54	10	4	90	15	11	3	13	13	15	7	6	16	12	14	9	16	4	24	12	24	5	6	7	3	2	40	3	13	174	50	3	6	8	4	0	1	92	9	2	79	131	66	77	73	37	20									
6	Число погашенных избирательных бюллетеней	75557	832	440	895	795	913	912	452	509	1215	523	1251	1065	1125	618	1497	629	742	1715	1491	1742	1387	1216	1160	1130	913	1267	1624	1134	720	583	1017	702	1442	600	1211	1881	1683	1190	1853	918	1062	1356	793	680	564	926	218	25	6465	1446	3854	3383	5004	6789									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1552	54	33	15	29	34	55	51	54	10	4	90	15	11	3	13	13	15	7	6	16	12	14	9	16	4	24	10	24	5	6	7	3	2	40	3	13	174	50	3	6	8	4	0	1	92	9	2	79	131	66	77	73	37	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	41112	614	327	690	576	753	533	197	437	475	473	559	520	661	279	789	458	443	871	603	642	601	570	631	653	683	808	964	531	275	211	376	195	556	260	386	506	543	359	544	576	622	640	607	518	1152	265	180	646	204	5588	2569	3844	1859	1290									
9	Число недействительных избирательных бюллетеней	886	10	2	9	6	21	9	4	7	7	9	13	12	17	3	9	9	7	17	14	12	11	29	26	41	31	43	54	26	10	3	6	2	14	37	3	4	10	8	18	10	13	17	11	10	14	7	2	51	0	75	36	37	23	7									
10	Число действительных избирательных бюллетеней	41778	658	358	696	599	766	579	244	484	478	468	636	523	655	279	793	462	451	861	595	646	602	555	614	628	656	789	920	529	270	214	377	196	544	263	386	515	707	401	529	572	617	627	596	509	1230	267	180	674	335	5579	2610	3880	1873	1303									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3115	60	40	70	60	70	60	30	40	70	40	80	70	70	40	90	50	50	100	90	90	80	70	70	70	60	90	100	70	50	30	60	30	80	40	60	90	90	60	90	70	70	80	60	50	140	50	20	0	3	0	3	3	3	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	782	17	11	13	14	9	18	7	10	13	9	16	13	17	4	27	14	14	24	25	20	14	10	14	19	26	12	19	11	5	9	13	5	10	13	19	21	14	11	17	12	12	43	24	12	113	5	4	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	720	50	9	14	21	26	30	10	27	7	13	11	9	14	12	15	9	4	14	14	16	16	7	9	8	18	11	9	13	10	10	8	5	11	12	7	21	4	5	6	16	3	11	18	17	62	10	5	62	0	0	0	1	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	2333	43	29	57	46	61	42	23	30	57	31	64	57	53	36	63	36	36	76	65	70	66	60	56	51	34	78	81	59	45	21	47	25	70	27	41	69	76	49	73	58	58	37	36	38	27	45	16	0	3	0	3	3	3	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	101	1	0	1	0	0	1	0	1	2	0	1	0	2	0	1	1	0	0	0	2	1	0	2	0	5	0	0	2	0	0	0	0	0	0	2	0	2	0	0	1	1	12	3	3	50	1	0	0	0	0	0	0	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	781	11	0	20	19	22	11	5	9	7	8	9	4	17	2	12	9	4	19	11	7	12	12	6	10	14	9	13	3	6	4	7	3	10	2	4	4	9	8	14	12	10	12	13	7	22	3	3	6	2	144	52	85	45	9									
		1.83%	1.65%	0.00%	2.84%	3.14%	2.80%	1.87%	2.02%	1.83%	1.44%	1.68%	1.39%	0.75%	2.53%	0.71%	1.50%	1.91%	0.87%	2.16%	1.81%	1.06%	1.96%	2.05%	0.94%	1.49%	2.04%	1.08%	1.33%	0.54%	2.14%	1.84%	1.83%	1.52%	1.79%	0.67%	1.03%	0.77%	1.26%	1.96%	2.56%	2.06%	1.59%	1.86%	2.14%	1.35%	1.77%	1.09%	1.65%	0.83%	0.60%	2.55%	1.97%	2.17%	2.37%	0.69%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	851	10	9	7	11	23	8	11	7	6	14	19	8	13	1	22	10	15	25	19	16	16	16	24	20	18	23	37	16	9	10	16	12	14	5	14	24	27	8	12	19	12	18	21	13	24	9	5	9	0	39	30	39	23	15									
