Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																										
Дата голосования: 18.09.2016																																																																										
																																																																										
"Наименование Избирательной комиссии:    Саратов, Кировская"																																																																										
																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																										
																																																																										
		Сумма	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №1885	УИК №1886									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	109068	2288	1853	1767	51	1500	2041	2462	1412	1260	2065	588	2687	1360	2043	2195	1770	967	1467	1997	2017	2249	2033	2672	2220	2520	2659	1722	1812	2022	1205	1593	1188	2162	2019	1531	2580	1808	1792	807	1956	2211	2194	1352	1069	1060	829	2281	1122	1444	1120	1551	2080	2087	1160	2195	1169	2579	855	1755	1898	2230	918	1569									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	94386	1950	1950	1500	600	1350	1900	2100	1150	1100	1700	684	2250	1200	1700	1850	1550	800	1250	1650	1650	1900	1750	2150	2134	2150	2300	1450	1650	1850	1000	1350	1000	1800	1700	1300	2150	1500	1500	700	1600	1900	1684	1150	934	900	1000	1900	1000	1250	950	1300	2300	1700	1000	1800	950	2100	750	1450	1600	1850	800	1300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	64400	1369	1248	1020	51	885	1179	1469	817	702	1246	491	1645	930	1412	1335	967	653	897	1283	1280	1547	1236	1622	1380	1575	1300	730	912	1218	642	768	818	1268	1160	918	1453	1061	989	500	1111	1078	1552	787	669	572	829	1379	563	900	446	847	1235	1270	889	909	354	1008	508	1321	1132	1467	624	974									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	7909	139	75	138	0	105	151	157	126	130	158	51	96	100	122	155	247	57	167	134	160	103	71	9	70	72	87	56	265	116	47	35	127	207	88	77	200	114	177	55	138	444	84	184	52	123	0	187	179	54	42	153	139	149	13	270	406	651	42	1	101	5	0	48									
6	Число погашенных избирательных бюллетеней	22077	442	627	342	549	360	570	474	207	268	296	142	509	170	166	360	336	90	186	233	210	250	443	519	684	503	913	664	473	516	311	547	55	325	452	305	497	325	334	145	351	378	48	179	213	205	171	334	258	296	462	300	926	281	98	621	190	441	200	128	367	378	176	278									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	7909	139	75	138	0	105	151	157	126	130	158	51	96	100	122	155	247	57	167	134	160	103	71	9	70	72	87	56	265	116	47	35	127	207	88	77	200	114	177	55	138	444	84	184	52	123	0	187	179	54	42	153	139	149	13	270	406	651	42	1	101	5	0	48									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	64329	1369	1248	1020	51	885	1179	1469	817	702	1246	491	1645	930	1412	1335	967	653	897	1283	1280	1547	1236	1622	1310	1575	1300	730	912	1218	642	768	818	1268	1160	918	1453	1061	989	500	1111	1078	1552	787	669	572	829	1379	563	900	446	847	1235	1270	889	908	354	1008	508	1321	1132	1467	624	974									
9	Число недействительных избирательных бюллетеней	284	0	0	5	0	10	1	0	4	0	6	12	13	0	0	0	3	5	5	0	0	0	0	15	23	13	26	5	9	0	4	9	0	30	10	8	0	5	2	2	0	1	0	0	0	6	0	20	0	11	5	0	1	2	2	10	0	0	0	0	1	0	0	0									
10	Число действительных избирательных бюллетеней	71954	1508	1323	1153	51	980	1329	1626	939	832	1398	530	1728	1030	1534	1490	1211	705	1059	1417	1440	1650	1307	1616	1357	1634	1361	781	1168	1334	685	794	945	1445	1238	987	1653	1170	1164	553	1249	1521	1636	971	721	689	829	1546	742	943	483	1000	1373	1417	900	1168	760	1659	550	1322	1232	1472	624	1022									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2750	50	50	30	0	30	30	50	30	50	50	50	80	50	50	50	150	30	50	30	30	50	50	50	50	30	50	50	30	30	50	50	50	30	30	50	50	30	50	50	50	30	160	30	30	30	0	30	30	50	30	30	30	30	50	30	30	30	30	50	50	50	50	50									
