Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
Наименование Избирательной комиссии:    Шенкурская																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026					
1	"Число избирателей, внесенных в списки"	14012	508	152	53	272	421	109	144	141	142	516	105	95	888	282	81	161	199	170	75	142	54	370	126	76	521	725	209	438	258	106	76	780	104	283	220	1668	1911	1431					
2	"Число бюллетеней, полученных участковыми комиссиями"	13980	540	145	55	260	400	105	150	145	150	500	95	100	930	270	80	175	200	165	70	145	60	340	120	80	510	720	205	420	270	110	80	800	160	300	225	1650	1850	1400					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7560	242	79	46	200	234	84	61	95	75	277	71	33	523	142	47	97	134	102	50	69	43	208	76	0	296	412	125	257	139	67	60	384	69	150	119	799	984	711					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1172	52	21	0	0	41	1	62	15	12	11	10	24	95	38	22	21	13	34	4	55	0	35	18	0	23	85	47	36	12	5	3	60	35	36	31	70	56	89					
6	Число погашенных бюллетеней	5182	246	45	9	60	125	20	27	35	63	212	14	43	312	90	11	57	53	29	16	21	17	97	26	14	191	223	33	127	119	38	17	356	56	114	75	781	810	600					
7	Число бюллетеней в переносных ящиках для голосования	1172	52	21	0	0	41	1	62	15	12	11	10	24	95	38	22	21	13	34	4	55	0	35	18	0	23	85	47	36	12	5	3	60	35	36	31	70	56	89					
8	Число бюллетеней в стационарных ящиках для голосования	7625	242	79	46	200	234	84	61	95	75	277	71	33	523	142	47	97	134	102	49	69	43	208	76	66	296	412	125	257	139	67	60	384	69	150	119	799	984	711					
9	Число недействительных бюллетеней	113	8	0	0	5	1	1	1	2	2	6	0	2	3	3	1	0	2	3	0	0	0	3	3	0	3	11	4	6	2	0	2	3	0	0	0	11	16	9					
10	Число действительных бюллетеней	8684	286	100	46	195	274	84	122	108	85	282	81	55	615	177	68	118	145	133	53	124	43	240	91	66	316	486	168	287	149	72	61	441	104	186	150	858	1024	791					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	405	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	15	25	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	79	1	1	0	0	3	0	3	1	1	6	0	2	7	1	0	3	5	0	0	0	0	1	0	0	3	1	0	1	2	0	1	1	2	2	2	5	18	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	59	9	0	0	2	4	2	2	0	4	1	1	0	2	1	1	3	0	1	1	1	0	2	1	0	1	1	1	1	1	0	0	0	0	0	3	2	4	7					
14	Число погашенных открепительных удостоверений	326	9	9	10	10	7	10	7	9	9	4	10	8	3	9	10	7	5	10	10	10	10	9	10	10	7	9	10	9	8	10	9	9	8	8	8	10	7	9					
15	Число открепительных удостоверений выданных ТИК	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
